AAPL price,AAPL shares,MSFT price,MSFT shares,AMZN price,AMZN shares,FB price,FB shares,net worth
178.24,100,109.28,100,1656.58,100,136.41,100,209051.0
178.45,100,109.4,100,1661.7,100,136.75,100,209630.0
178.24,100,109.4,100,1661.7,100,136.41,100,209575.0
178.255,101,109.4,101,1661.7,100,136.9,101,209625.5
178.24,101,109.4,101,1662.2775,100,136.41,101,209632.24500000002
178.24,102,109.4,102,1660.73,100,136.41,102,209477.495
177.9093,102,109.48,102,1659.02,100,136.41,102,209280.9236
178.24,102,109.4,103,1661.7,100,136.41,102,209574.495
177.7505,102,109.4,103,1659.87,100,136.41,102,209341.566
178.24,102,109.4,103,1661.7,100,137.17,102,209652.01499999998
178.24,102,109.4,103,1662.89,100,136.41,102,209693.495
178.24,102,109.4,103,1661.7,100,137.43,102,209678.53499999997
178.3,102,109.4,103,1661.7,100,137.4423,102,209685.90959999998
178.24,102,109.4,103,1664.0,100,137.4,102,209905.47499999998
178.24,102,109.4,103,1663.97,100,136.41,102,209801.495
178.24,102,109.4,103,1664.08,100,136.41,102,209812.495
178.18,102,109.4,103,1661.7,100,136.41,102,209568.375
178.24,102,109.4,103,1664.87,100,136.41,102,209891.495
178.24,102,109.4,103,1663.76,100,136.41,102,209780.495
177.94,102,109.4,103,1663.1625,100,136.41,102,209690.14500000002
