Approx net worth,Base case net worth,Difference
100220491.01,100218286.0999,2204.9100999981165
100220613.0869,100216202.0336,4411.053299993277
100220583.3733,100213966.48,6616.893299996853
100220615.38329999,100216204.66,4410.723299995065
100220531.10329998,100213915.07000001,6616.033299967647
100220851.68829997,100216444.27,4407.418299973011
100220729.67829998,100214114.89,6614.788299977779
100220536.75499998,100216127.3478,4409.407199978828
100220825.32579997,100214207.59290001,6617.732899963856
100220511.46289997,100216098.82,4412.642899975181
100220431.51449996,100213814.59740001,6616.917099952698
100220445.12359998,100216032.621,4412.502599969506
100220764.55459997,100214144.37799999,6620.176599979401
100220758.83159998,100216346.26999998,4412.561599999666
100220883.9874,100214262.5337,6621.453699991107
100220925.14449999,100216513.0072,4412.1372999846935
100220898.40029998,100214277.2195,6621.180799975991
100221022.16259997,100216611.3012,4410.861399963498
100220954.68959996,100214334.19729999,6620.492299973965
100221075.85229996,100216666.24000001,4409.612299948931
100220898.96229997,100214280.27499999,6618.687299981713
100220872.28729996,100216462.4,4409.887299954891
100220786.38049994,100214168.5698,6617.810699939728
100220547.63439994,100216135.2858,4412.348599940538
100220435.70859994,100213819.04,6616.668599933386
100220352.60869993,100212405.5368,7947.071899935603
100220128.36149995,100214382.4247,5745.936799943447
100220306.83949994,100216763.87,3542.9694999307394
100220361.96169993,100219022.5211,1339.4405999332666
100220366.01059993,100221230.13999999,-864.1294000595808
100220522.30179991,100223591.5568,-3069.2550000846386
100220659.87999992,100225935.61999999,-5275.740000069141
100220707.07999992,100228189.77,-7482.690000072122
100220599.12439993,100230287.7192,-9688.594800069928
100220531.42219993,100232425.2715,-11893.849300071597
100220321.65069993,100234418.75999999,-14097.10930006206
100220248.98549992,100236548.6706,-16299.685100078583
100219967.82489993,100238467.47,-18499.645100072026
100219987.01489994,100240686.78999999,-20699.775100052357
100219417.15809993,100242311.84799999,-22894.689900055528
100219225.23009993,100244313.08,-25087.849900066853
100220032.65009993,100247320.92,-27288.26990006864
100220030.35009992,100249519.02000001,-29488.669900089502
100219929.96079995,100251618.1446,-31688.183800056577
100220001.98019993,100253890.31030001,-33888.33010007441
100220243.49629994,100256334.06560001,-36090.569300070405
100220319.37729995,100258612.8339,-38293.4566000551
100220515.63839994,100261013.66000001,-40498.021600067616
100220457.19839995,100263159.291,-42702.09260004759
100220623.26359996,100265530.8162,-44907.55260004103
100220715.50739996,100267829.28999999,-47113.7826000303
100220491.96239994,100269810.13,-49318.16760005057
100220418.07239996,100271940.02,-51521.94760003686
100220358.91239998,100274084.16,-53725.24760001898
100220256.69479999,100276184.42,-55927.725200012326
100220372.96479999,100278504.1,-58131.13520000875
100220186.58579999,100280519.65450001,-60333.068700015545
100220161.21670002,100282696.018,-62534.80129998922
100220000.8427,100284736.1268,-64735.28409999609
100220046.8218,100286982.94340001,-66936.12160001695
100220078.33339998,100289215.5339,-69137.20050001144
100220109.06199999,100291447.575,-71338.51300001144
100219903.467,100293441.735,-73538.26800000668
100220080.91499999,100295820.2728,-75739.35780000687
100220259.75219998,100298201.535,-77941.78280001879
100219908.02219999,100300049.63,-80141.60780000687
100220546.58219998,100302892.69500001,-82346.1128000319
100220644.73459998,100305196.0676,-84551.33300001919
100220871.06699999,100307629.25999999,-86758.1930000037
100220900.58699998,100309865.85,-88965.26300001144
100220693.077,100311863.93,-91170.85300000012
100220863.4591,100314241.10679999,-93377.64769999683
100220861.0323,100316445.46,-95584.42769999802
100220861.13230002,100318652.34,-97791.20769998431
100220590.19230002,100320586.30000001,-99996.10769999027
100220600.40930003,100322801.488,-102201.0786999762
100220505.38490002,100324910.7843,-104405.3993999809
100220434.34060003,100327043.58,-106609.23939996958
100220416.18060003,100329229.13999999,-108812.95939995348
100220220.66370003,100331236.03119999,-111015.36749996245
100220297.96290001,100333516.2531,-113218.29019998014
100220268.36700001,100335689.3866,-115421.01959998906
