Approx net worth,Base case net worth,Difference
100018230.01,100018047.7099,182.30009999871254
100018239.90010001,100017875.2,364.700100004673
100018240.8801,100017693.77,547.1101000010967
100018237.0001,100017872.26,364.74009999632835
100018234.06009999,100018051.66,182.40009999275208
100018246.9301,100017882.06,364.87009999156
100018250.8501,100017703.47,547.3800999969244
100018248.9101,100017884.02,364.8901000022888
100018245.97010002,100018063.54,182.43010000884533
100018214.29010001,100018214.0,0.29010000824928284
100018210.29010001,100018392.1,-181.80989998579025
100018201.2001,100018565.02,-363.81989999115467
100018225.57810001,100018407.149,-181.57089999318123
100018235.7791,100018235.0,0.7791000008583069
100018234.7791,100018416.34,-181.56090000271797
100018240.9805,100018240.14,0.840499997138977
100018236.8405,100018418.36,-181.51950000226498
100018234.8205,100018598.68,-363.85950000584126
100018229.72049999,100018775.87,-546.1495000123978
100018236.93049999,100018600.72,-363.7895000129938
100018229.79049999,100018775.87,-546.0795000195503
100018240.09049998,100018603.78,-363.6895000189543
100018240.19249998,100018421.491,-181.29850001633167
100018213.53859998,100018576.9642,-363.42560002207756
100018199.55439998,100018744.97,-545.4156000167131
100018187.19439998,100018914.48,-727.2856000214815
100018179.91439998,100019089.0,-909.0856000185013
100018186.98089999,100018914.1992,-727.2183000147343
100018182.06169999,100019091.1,-909.0383000075817
100018179.96169999,100019270.8,-1090.8383000046015
100018180.5553,100019089.588,-909.0327000021935
100018187.8423,100018915.0,-727.1577000021935
100018183.1623,100019092.15,-908.9877000004053
100018175.8123,100019266.56,-1090.7477000057697
100018172.0493,100019444.5215,-1272.4722000062466
100018159.79779999,100019613.88,-1454.0822000056505
100018164.1178,100019436.55,-1272.43219999969
100018119.7128,100019573.38,-1453.667199999094
100018149.4128,100019421.57,-1272.1571999937296
100018126.94280002,100019580.4,-1453.4571999907494
100018146.38280001,100019418.36,-1271.977199986577
100018197.74280001,100019287.76,-1090.0171999931335
100018199.86280002,100019107.9,-908.0371999889612
100018195.66280001,100019285.64,-1089.977199986577
100018187.18280001,100019459.02,-1271.837199985981
100018205.37280002,100019295.18,-1089.807199984789
100018220.21280001,100019127.85,-907.6371999830008
100018221.26280002,100018946.72,-725.4571999758482
100018216.06280003,100019123.65,-907.5871999710798
100018226.03780003,100018951.4,-725.3621999770403
100018228.63780002,100018771.75,-543.1121999770403
100018222.45780003,100018947.76,-725.3021999746561
100018224.53780001,100018767.63,-543.0921999812126
100018224.53780001,100018585.42,-360.8821999877691
100018224.5378,100018403.21,-178.67219999432564
100018220.49780001,100018581.34,-360.8421999961138
100018210.2978,100018753.21,-542.9121999889612
100018213.38780001,100018574.2,-360.8121999949217
100018204.2078,100018747.03,-542.8222000002861
100018205.0215,100018565.8258,-360.80429999530315
100018207.27570002,100018386.04,-178.76429998874664
100018212.7398,100018209.41,3.329800009727478
100018213.32980001,100018027.9,185.429800003767
100018213.3298,100017845.8,367.52979999780655
100018212.34979999,100018026.91,185.43979999423027
100018197.4998,100018194.0,3.499799996614456
100018257.4998,100018071.46,186.03980000317097
100018262.4498,100017893.82,368.62980000674725
100018263.4298,100017712.2,551.2298000007868
100018269.2498,100017535.36,733.8897999972105
100018266.3698,100017715.11,551.2598000019789
100018279.9498,100017545.92,734.0297999978065
100018272.2698,100017720.93,551.3398000001907
100018275.1798,100017541.12,734.0597999989986
100018272.3094,100017720.9397,551.36969999969
100018276.17,100017542.0704,734.0996000021696
100018271.4468,100017720.0279,551.4188999980688
100018269.43890001,100017900.68,368.7589000016451
100018263.55890001,100018077.4,186.15890000760555
100018262.6976,100018259.13,3.5676000118255615
100018267.56760001,100018081.36,186.2076000124216
100018264.58770001,100018260.99,3.5977000147104263
