Approx net worth,Base case net worth,Difference
100220491.01,100218286.0999,2204.9100999981165
100220613.0869,100216202.0336,4411.053299993277
100220583.37329999,100218378.16,2205.2132999897003
100220616.04329999,100219742.44,873.6032999902964
100220530.12329999,100218325.69000001,2204.433299973607
100220857.3183,100220351.11,506.2082999944687
100220732.9883,100218894.65,1838.3382999897003
100220536.04719998,100220538.11000001,-2.062800034880638
100220830.50719999,100218989.1643,1841.342899993062
100220509.53289999,100220873.28,-363.74710001051426
100220427.87290001,100222709.56419998,-2281.6912999749184
100220441.9532,100220805.47,-363.5168000012636
100220768.3812,100219210.724,1557.6571999937296
100220762.78220001,100221126.2,-363.4177999943495
100220890.4722,100219331.7779,1558.6943000108004
100220932.50070001,100217451.17000002,3481.33069999516
100220906.17490001,100219346.9571,1559.2178000062704
100221032.7372,100217550.41880001,3482.3183999955654
100220964.93020001,100219405.14090002,1559.789299994707
100221088.78930001,100217605.28,3483.509300008416
100220911.27929999,100219349.925,1561.354299992323
100220884.07429999,100221244.78,-360.70570001006126
100220796.41629998,100223078.40540001,-2281.989100024104
100220547.6572,100224748.8284,-4201.1712000072
100220431.12879999,100226550.46000001,-6119.331200018525
100220342.70869997,100228379.3632,-8036.654500022531
100220102.0359,100230054.0855,-9952.04960000515
100220291.85149999,100231860.0738,-11568.22230000794
100220350.56109999,100230001.6945,-9651.133400008082
100220354.61659999,100228088.7,-7734.083400011063
100220514.99899998,100226330.81679998,-5815.81780000031
100220654.73719998,100224551.07,-3896.332800015807
100220702.30719997,100222678.63,-1976.322800025344
100220596.90199998,100224492.18959999,-3895.2876000106335
100220530.57139997,100226344.0735,-5813.502100035548
100220325.33789997,100228055.14,-7729.802100032568
100220254.76109996,100229900.359,-9645.597900032997
100219981.26209997,100231540.28,-11559.017900034785
100219998.52209997,100233471.00999998,-13472.48790000379
100219444.02569997,100234825.2784,-15381.252700030804
100219252.02729997,100236539.99999999,-17287.97270001471
100220041.22729997,100238942.4,-18901.172700032592
100220039.78729999,100240267.54,-20227.752700015903
100219942.97019999,100242083.81679998,-22140.84659999609
100220013.26099998,100240240.46710001,-20227.206100031734
100220241.50709999,100238553.2978,-18311.790700018406
100220310.0929,100240236.75109999,-19926.658199995756
100220496.6968,100238505.73,-18009.033200010657
100220442.84279999,100240369.00500001,-19926.162200018764
100220592.68299998,100238600.68520002,-18008.00220003724
100220678.59779997,100236767.49,-16088.892200022936
100220478.77279998,100238485.03,-18006.25720001757
100220412.9428,100240336.08,-19923.137199997902
100220360.7028,100242200.38000001,-21839.67720000446
100220270.55400002,100244026.1488,-23755.59479998052
100220378.03520001,100242216.6,-21838.56479997933
100220213.92720005,100243968.06549999,-23754.138299942017
100220190.24990004,100245859.685,-25669.435099959373
100220049.44170004,100247632.95960002,-27583.51789997518
100220087.60800004,100245756.90699999,-25669.29899995029
100220113.66360006,100243868.6437,-23754.98009994626
100220139.31980005,100241979.8042,-21840.484399944544
100219965.19560005,100243718.67500001,-23753.479399964213
100220116.71200004,100241955.8012,-21839.08919996023
100220266.65080005,100240189.995,-19923.344199955463
100219981.83080004,100241818.60999998,-21836.779199942946
100220497.42080005,100240416.375,-19918.954199954867
100220576.14800006,100238576.58199999,-18000.433999925852
100220756.44600005,100236836.7,-16080.253999948502
100220777.97600006,100238476.00999999,-17698.033999934793
100220616.82600005,100240233.85,-19617.02399994433
100220748.07070006,100238444.98,-17696.90929993987
100220748.11070004,100236524.8,-15776.689299955964
100220747.67070006,100238444.54,-17696.869299948215
100220542.03110005,100240157.3206,-19615.28949995339
100220550.58130005,100238247.2798,-17696.698499947786
100220479.33290005,100240093.95210001,-19614.619199961424
100220428.20080006,100241960.44,-21532.23919993639
100220417.12080006,100240031.69999999,-19614.579199925065
100220271.78110006,100241802.7482,-21530.967099934816
100220328.83210006,100239942.94190001,-19614.109799951315
100220309.88840008,100237721.2688,-17411.380399927497
