Approx net worth,Base case net worth,Difference
102943960.00000003,102943960.0,2.9802322387695312e-08
102943720.24000002,102943720.0,0.24000002443790436
102941374.94000003,102941370.0,4.940000027418137
102942521.49000002,102942520.0,1.4900000244379044
102941137.13000005,102941130.0,7.130000054836273
102948077.02000003,102948100.0,-22.979999974370003
102947451.02,102947470.0,-18.980000004172325
102950027.74999999,102950060.0,-32.25000001490116
102947811.38999999,102947830.0,-18.610000014305115
102951004.93999997,102951040.0,-35.06000003218651
102951958.11999996,102952000.0,-41.88000003993511
102949841.92999996,102949870.0,-28.070000037550926
102956069.04999994,102956130.0,-60.95000006258488
102957999.64999995,102958070.0,-70.35000005364418
102955615.12999994,102955670.0,-54.870000064373016
102953686.32999992,102953730.0,-43.670000076293945
102953017.92999992,102953060.0,-42.07000008225441
102954260.65999992,102954310.0,-49.340000078082085
102955115.79999992,102955170.0,-54.20000007748604
102953139.66999993,102953180.0,-40.33000007271767
102950882.8299999,102950910.0,-27.170000106096268
102951827.7399999,102951860.0,-32.260000094771385
102951810.31999989,102951840.0,-29.680000111460686
102951993.23999989,102952020.0,-26.760000109672546
102956082.2799999,102956150.0,-67.72000010311604
102956507.6299999,102956580.0,-72.37000009417534
102957318.6699999,102957400.0,-81.33000010251999
102957026.3699999,102957100.0,-73.63000009953976
102952746.1099999,102952780.0,-33.890000104904175
102953672.2499999,102953700.0,-27.75000010430813
102950258.9699999,102950240.0,18.96999989449978
102950414.22999988,102950400.0,14.229999884963036
102948703.40999988,102948670.0,33.40999987721443
102947669.53999986,102947620.0,49.5399998575449
102948500.95999984,102948460.0,40.95999984443188
102948346.49999984,102948320.0,26.499999836087227
102949217.47999983,102949190.0,27.47999982535839
102947436.05999981,102947370.0,66.05999980866909
102948841.2999998,102948800.0,41.29999980330467
102949020.23999982,102949000.0,20.239999815821648
102949952.31999981,102949940.0,12.319999814033508
102946705.52999982,102946650.0,55.52999982237816
102947050.7099998,102947000.0,50.709999799728394
102945873.4199998,102945810.0,63.41999979317188
102946396.65999982,102946340.0,56.65999981760979
102942731.11999983,102942640.0,91.11999982595444
102943332.55999982,102943250.0,82.55999982357025
