Approx net worth,Base case net worth,Difference
102906139.99999999,102906140.0,-1.4901161193847656e-08
102905690.44999999,102905690.0,0.44999998807907104
102911818.17,102911830.0,-11.82999999821186
102913203.99999997,102913220.0,-16.000000029802322
102916866.1,102916890.0,-23.900000005960464
102919972.28999998,102920000.0,-27.71000002324581
102914468.82999998,102914490.0,-21.1700000166893
102914650.13,102914670.0,-19.87000000476837
102917882.06999998,102917900.0,-17.93000002205372
102907063.41,102907100.0,-36.59000000357628
102909278.90999998,102909310.0,-31.09000001847744
102901091.72999997,102901150.0,-58.27000002563
102902925.90999998,102902980.0,-54.09000001847744
102902330.96,102902390.0,-59.04000000655651
102905924.32000001,102905960.0,-35.679999992251396
102905120.66000001,102905160.0,-39.33999998867512
102903883.38000001,102903930.0,-46.61999998986721
102901667.94000003,102901730.0,-62.05999997258186
102896769.62000005,102896880.0,-110.37999995052814
102892918.55000007,102893070.0,-151.44999992847443
102884189.51000006,102884450.0,-260.48999993503094
102883619.02000006,102883880.0,-260.9799999445677
102889809.64000005,102889990.0,-180.35999995470047
102892108.13000004,102892260.0,-151.8699999600649
102892479.49000002,102892630.0,-150.5099999755621
102892339.01000004,102892490.0,-150.98999996483326
102890013.65000005,102890200.0,-186.34999994933605
102885303.91000004,102885560.0,-256.0899999588728
102885354.33000007,102885610.0,-255.66999992728233
102889320.23000008,102889510.0,-189.76999992132187
102885658.57000007,102885910.0,-251.42999993264675
102879653.23000005,102880030.0,-376.7699999511242
102887435.53000005,102887650.0,-214.46999995410442
102884623.70000008,102884900.0,-276.29999992251396
102880852.86000009,102881210.0,-357.1399999111891
102876084.70000008,102876550.0,-465.29999992251396
102873740.90000007,102874260.0,-519.0999999344349
102871577.02000007,102872160.0,-582.9799999296665
102873965.82000004,102874490.0,-524.1799999624491
102878244.08000001,102878650.0,-405.919999986887
102875147.44000001,102875640.0,-492.559999987483
102868089.68000002,102868780.0,-690.3199999779463
102858490.77999999,102859460.0,-969.2200000137091
102863648.83,102864470.0,-821.1700000017881
102865301.09,102866080.0,-778.9099999964237
102865535.33,102866320.0,-784.6700000017881
102866368.03000002,102867130.0,-761.9699999839067
102874401.72000003,102874920.0,-518.2799999713898
102877185.02000004,102877590.0,-404.97999995946884
102885998.16000003,102886130.0,-131.83999997377396
102889136.64000003,102889170.0,-33.35999996960163
102888269.15000002,102888320.0,-50.849999979138374
102890351.49000002,102890350.0,1.4900000244379044
102899165.40999998,102898930.0,235.40999998152256
102898477.78999999,102898270.0,207.78999999165535
102900723.53,102900470.0,253.5300000011921
102896651.59000002,102896490.0,161.59000001847744
