Approx net worth,Base case net worth,Difference
102977950.0,102977950.0,0.0
102972815.14,102972810.0,5.1400000005960464
102978763.21999998,102978770.0,-6.780000016093254
102980777.16,102980790.0,-12.840000003576279
102977942.83999999,102977950.0,-7.1600000113248825
102974556.22999997,102974560.0,-3.7700000256299973
102973426.71,102973430.0,-3.290000006556511
102970685.86999996,102970690.0,-4.130000039935112
102966137.66999999,102966150.0,-12.330000013113022
102965684.64,102965700.0,-15.359999999403954
102965015.39999999,102965030.0,-14.600000008940697
102964285.16999999,102964300.0,-14.830000013113022
102969728.17000002,102969740.0,-11.8299999833107
102968438.40000002,102968450.0,-11.599999979138374
102974058.08000001,102974080.0,-21.919999986886978
102975900.69000001,102975930.0,-29.309999987483025
102976022.09000002,102976040.0,-17.90999998152256
102972100.74000001,102972110.0,-9.259999990463257
102970653.58000003,102970660.0,-6.419999971985817
102967631.70000002,102967640.0,-8.299999982118607
102974563.10000004,102974580.0,-16.89999996125698
102972917.83000003,102972930.0,-12.169999971985817
102971316.17000005,102971320.0,-3.829999953508377
102974600.80000004,102974610.0,-9.199999958276749
102978786.30000003,102978800.0,-13.69999997317791
102978052.84000002,102978060.0,-7.15999998152256
102973459.22000003,102973460.0,-0.7799999713897705
102973368.63000003,102973370.0,-1.3699999749660492
102972651.13000001,102972640.0,11.13000001013279
102971044.60000001,102971030.0,14.600000008940697
102972822.04000002,102972810.0,12.040000021457672
102965938.18000004,102965930.0,8.18000003695488
102960648.76000005,102960640.0,8.760000050067902
102964371.29000005,102964350.0,21.290000051259995
102965612.99000005,102965590.0,22.990000054240227
102964779.34000005,102964760.0,19.340000048279762
102964831.70000002,102964810.0,21.700000017881393
102969294.10000004,102969250.0,44.10000003874302
102965301.02000006,102965270.0,31.02000005543232
102968929.36000006,102968890.0,39.3600000590086
102970228.80000007,102970180.0,48.800000071525574
102975214.57000008,102975150.0,64.57000008225441
102974629.19000006,102974570.0,59.19000005722046
102977671.72000006,102977600.0,71.72000005841255
102978020.34000003,102977950.0,70.3400000333786
102980687.37000006,102980620.0,67.37000006437302
102979551.41000006,102979480.0,71.41000005602837
102975013.04000004,102974930.0,83.04000003635883
102976536.08000001,102976460.0,76.08000001311302
102977959.49000004,102977890.0,69.49000003933907
102977702.33000001,102977630.0,72.33000001311302
102976457.94,102976380.0,77.93999999761581
102976933.86,102976860.0,73.85999999940395
102977828.73999998,102977760.0,68.73999997973442
102979617.47999997,102979550.0,67.47999997437
102979261.23999996,102979190.0,71.23999996483326
102981714.95999996,102981650.0,64.95999996364117
102980539.45999998,102980470.0,69.45999997854233
102990408.77999997,102990400.0,8.77999997138977
102990957.68999997,102990950.0,7.689999967813492
102989370.98999996,102989350.0,20.98999996483326
102989287.68999997,102989270.0,17.689999967813492
102986636.28999998,102986600.0,36.28999997675419
102984781.42999999,102984720.0,61.429999992251396
102980661.97,102980560.0,101.9699999988079
102982314.89,102982220.0,94.89000000059605
102980673.13,102980570.0,103.12999999523163
102979949.74000002,102979840.0,109.7400000244379
102977161.68000005,102977050.0,111.68000005185604
102975060.42000005,102974930.0,130.42000004649162
102975453.92000005,102975320.0,133.92000004649162
102973568.37000006,102973430.0,138.37000006437302
102976547.73000006,102976400.0,147.73000006377697
102979540.09000005,102979400.0,140.09000004827976
102968274.09000006,102968130.0,144.09000006318092
102969918.11000004,102969770.0,148.11000004410744
102967232.83000001,102967090.0,142.83000001311302
102961323.49000001,102961190.0,133.49000000953674
102963464.57000004,102963320.0,144.57000003755093
102964886.19000004,102964740.0,146.1900000423193
102962637.93000004,102962490.0,147.93000003695488
102966263.48000002,102966100.0,163.4800000190735
102966803.50000003,102966640.0,163.50000002980232
102967874.08000004,102967700.0,174.08000004291534
102965435.72000003,102965270.0,165.72000002861023
102969781.70000002,102969590.0,191.7000000178814
102968552.02000003,102968370.0,182.02000002563
102968242.83000003,102968060.0,182.83000002801418
102964820.79000002,102964650.0,170.79000002145767
102968532.22000003,102968340.0,192.22000002861023
102964683.44000004,102964510.0,173.4400000423193
102964283.57000004,102964120.0,163.57000003755093
102964558.61000003,102964390.0,168.61000002920628
102967385.46000001,102967200.0,185.46000000834465
102967886.88000001,102967700.0,186.8800000101328
102966367.06,102966200.0,167.0600000023842
102965854.39999999,102965690.0,164.3999999910593
102964236.41,102964080.0,156.40999999642372
102962212.16999999,102962060.0,152.16999998688698
102960987.12,102960850.0,137.12000000476837
102959037.77999999,102958910.0,127.77999998629093
102958786.00999999,102958660.0,126.00999999046326
102959002.66999997,102958880.0,122.66999997198582
102962225.91999996,102962070.0,155.91999995708466
102965162.09999996,102964980.0,182.0999999642372
102963209.1,102963040.0,169.09999999403954
102966516.66000001,102966320.0,196.66000001132488
102966675.24000002,102966480.0,195.2400000244379
102969540.66000003,102969330.0,210.66000002622604
102969689.40000002,102969470.0,219.40000002086163
102972941.94000001,102972700.0,241.94000001251698
102971148.04,102970920.0,228.0400000065565
102971865.30000001,102971650.0,215.30000001192093
102973700.64,102973470.0,230.64000000059605
102972135.74000001,102971910.0,225.74000000953674
102972040.77000001,102971820.0,220.77000001072884
102972138.39,102971920.0,218.39000000059605
102969334.35000001,102969120.0,214.3500000089407
102968288.61000001,102968080.0,208.61000001430511
102968990.72999999,102968760.0,230.72999998927116
102967701.21,102967480.0,221.2099999934435
102968333.22999997,102968100.0,233.22999997437
102972197.72999997,102971960.0,237.72999997437
102970205.68999995,102969980.0,225.68999995291233
102969599.42999996,102969380.0,219.42999996244907
102971496.51999997,102971270.0,226.51999996602535
102971296.97999996,102971070.0,226.97999995946884
102966731.97999996,102966530.0,201.97999995946884
102966289.77999996,102966070.0,219.7799999564886
102966123.23999994,102965890.0,233.23999993503094
102967709.23999992,102967480.0,229.23999992012978
