Approx net worth,Base case net worth,Difference
100018230.01,100018230.01,0.0
100018239.90010001,100018240.0,-0.09989999234676361
100018240.8801,100018241.0,-0.11990000307559967
100018237.0001,100018237.0,0.00010000169277191162
100018234.06009999,100018234.0,0.06009998917579651
100018246.9301,100018247.0,-0.06990000605583191
100018250.8501,100018251.0,-0.14990000426769257
100018248.9101,100018249.0,-0.08990000188350677
100018245.97010002,100018246.0,-0.02989998459815979
100018214.29010001,100018214.0,0.29010000824928284
100018210.29010001,100018210.0,0.29010000824928284
100018201.2001,100018201.0,0.20010000467300415
100018225.57810001,100018224.9,0.6781000047922134
100018235.7791,100018235.0,0.7791000008583069
100018234.7791,100018234.0,0.7791000008583069
100018240.9805,100018240.14,0.840499997138977
100018236.8405,100018236.0,0.840499997138977
100018234.8205,100018234.0,0.8205000013113022
100018229.72049999,100018229.0,0.7204999923706055
100018236.93049999,100018236.0,0.9304999858140945
100018229.79049999,100018229.0,0.7904999852180481
100018240.09049998,100018239.0,1.0904999822378159
100018240.19249998,100018239.1,1.0924999862909317
100018213.53859998,100018212.71,0.8285999894142151
100018199.55439998,100018199.0,0.5543999820947647
100018187.19439998,100018187.0,0.19439998269081116
100018179.91439998,100018180.0,-0.08560001850128174
100018186.98089999,100018186.73,0.2508999854326248
100018182.06169999,100018182.0,0.06169998645782471
100018179.96169999,100018180.0,-0.038300007581710815
100018180.5553,100018180.56,-0.004700005054473877
100018187.8423,100018187.5,0.3422999978065491
100018183.1623,100018183.0,0.1623000055551529
100018175.8123,100018176.0,-0.18770000338554382
100018172.0493,100018172.45,-0.40070000290870667
100018159.79779999,100018161.0,-1.202200010418892
100018164.1178,100018165.0,-0.8822000026702881
100018119.7128,100018123.5,-3.787200003862381
100018149.4128,100018151.0,-1.5872000008821487
100018126.94280002,100018130.0,-3.0571999847888947
100018146.38280001,100018148.0,-1.6171999871730804
100018197.74280001,100018196.0,1.742800012230873
100018199.86280002,100018198.0,1.8628000169992447
100018195.66280001,100018194.0,1.6628000140190125
100018187.18280001,100018186.0,1.1828000098466873
100018205.37280002,100018203.0,2.3728000223636627
100018220.21280001,100018217.0,3.21280001103878
100018221.26280002,100018218.0,3.262800022959709
100018216.06280003,100018213.0,3.062800034880638
100018226.03780003,100018222.5,3.5378000289201736
100018228.63780002,100018225.0,3.637800022959709
100018222.45780003,100018219.0,3.457800030708313
100018224.53780001,100018221.0,3.5378000140190125
100018224.53780001,100018221.0,3.5378000140190125
100018224.5378,100018221.0,3.5377999991178513
100018220.49780001,100018217.0,3.4978000074625015
100018210.2978,100018207.0,3.2978000044822693
100018213.38780001,100018210.0,3.387800008058548
100018204.2078,100018201.0,3.2078000009059906
100018205.0215,100018201.79,3.2314999997615814
100018207.27570002,100018204.0,3.275700017809868
100018212.7398,100018209.41,3.329800009727478
100018213.32980001,100018210.0,3.329800009727478
100018213.3298,100018210.0,3.329799994826317
100018212.34979999,100018209.0,3.3497999906539917
100018197.4998,100018194.0,3.499799996614456
100018257.4998,100018254.0,3.499799996614456
100018262.4498,100018259.0,3.4497999995946884
100018263.4298,100018260.0,3.4298000037670135
100018269.2498,100018266.0,3.249799996614456
100018266.3698,100018263.0,3.3698000013828278
100018279.9498,100018277.0,2.9497999995946884
100018272.2698,100018269.0,3.2698000073432922
100018275.1798,100018272.0,3.1798000037670135
100018272.3094,100018269.01,3.2994000017642975
100018276.17,100018272.99,3.1800000071525574
100018271.4468,100018268.07,3.376800000667572
100018269.43890001,100018266.0,3.4389000087976456
100018263.55890001,100018260.0,3.558900013566017
100018262.6976,100018259.13,3.5676000118255615
100018267.56760001,100018264.0,3.5676000118255615
100018264.58770001,100018260.99,3.5977000147104263
