Approx net worth,Base case net worth,Difference
100220491.01,100220491.01,0.0
100220613.0869,100220614.32000001,-1.2331000119447708
100220583.37329999,100220584.0,-0.6267000138759613
100220616.04329999,100220617.0,-0.956700012087822
100220530.12329999,100220531.0,-0.8767000138759613
100220857.3183,100220861.5,-4.1817000061273575
100220732.9883,100220737.0,-4.011700004339218
100220536.04719998,100220538.11000001,-2.062800034880638
100220830.50719999,100220832.57,-2.0628000050783157
100220509.53289999,100220509.0,0.5328999906778336
100220427.87290001,100220427.42,0.4529000073671341
100220441.9532,100220441.45,0.5031999945640564
100220768.3812,100220767.4,0.9811999946832657
100220762.78220001,100220761.5,1.2822000086307526
100220890.4722,100220889.21,1.2622000128030777
100220932.50070001,100220931.64,0.8607000112533569
100220906.17490001,100220904.35,1.8249000161886215
100221032.7372,100221031.94,0.797200009226799
100220964.93020001,100220963.09,1.8402000069618225
100221088.78930001,100221088.0,0.7893000096082687
100220911.27929999,100220907.5,3.7792999893426895
100220884.07429999,100220880.0,4.074299991130829
100220796.41629998,100220792.33999999,4.076299995183945
100220547.6572,100220546.21,1.4472000002861023
100220431.12879999,100220432.0,-0.8712000101804733
100220342.70869997,100220346.33,-3.6213000267744064
100220102.0359,100220113.51,-11.47410000860691
100220291.85149999,100220296.73,-4.878500014543533
100220350.56109999,100220352.89,-2.328900009393692
100220354.61659999,100220357.0,-2.38340000808239
100220514.99899998,100220512.56,2.438999980688095
100220654.73719998,100220648.5,6.237199977040291
100220702.30719997,100220695.0,7.3071999698877335
100220596.90199998,100220590.48,6.421999976038933
100220530.57139997,100220525.45,5.121399968862534
100220325.33789997,100220326.0,-0.6621000319719315
100220254.76109996,100220257.58,-2.8189000338315964
100219981.26209997,100219996.0,-14.737900033593178
100219998.52209997,100220013.0,-14.47790002822876
100219444.02569997,100219491.48,-47.45430003106594
100219252.02729997,100219316.0,-63.97270002961159
100220041.22729997,100220042.0,-0.7727000266313553
100220039.78729999,100220040.0,-0.2127000093460083
100219942.97019999,100219951.39,-8.419800013303757
100220013.26099998,100220014.63000001,-1.369000032544136
100220241.50709999,100220223.92,17.587099984288216
100220310.0929,100220288.72999999,21.362900003790855
100220496.6968,100220456.5,40.196799993515015
100220442.84279999,100220407.1,35.74279999732971
100220592.68299998,100220546.0,46.68299998342991
100220678.59779997,100220623.0,55.597799971699715
100220478.77279998,100220438.5,40.272799983620644
100220412.9428,100220378.0,34.942800000309944
100220360.7028,100220330.0,30.702800005674362
100220270.55400002,100220247.76,22.794000014662743
100220378.03520001,100220341.0,37.035200014710426
100220213.92720005,100220193.35,20.577200055122375
100220190.24990004,100220173.26,16.989900037646294
100220049.44170004,100220048.28,1.161700040102005
100220087.60800004,100220083.75000001,3.85800002515316
100220113.66360006,100220107.89,5.773600056767464
100220139.31980005,100220131.25,8.069800049066544
100219965.19560005,100219975.5,-10.304399952292442
100220116.71200004,100220108.98,7.732000038027763
100220266.65080005,100220242.5,24.150800049304962
100219981.83080004,100219982.5,-0.6691999584436417
100220497.42080005,100220450.5,46.92080004513264
100220576.14800006,100220522.02,54.12800006568432
100220756.44600005,100220686.0,70.44600005447865
100220777.97600006,100220707.0,70.97600005567074
100220616.82600005,100220559.0,57.826000049710274
100220748.07070006,100220679.47,68.60070006549358
100220748.11070004,100220678.0,70.11070004105568
100220747.67070006,100220678.0,69.67070005834103
100220542.03110005,100220490.0,52.031100049614906
100220550.58130005,100220497.1,53.48130005598068
100220479.33290005,100220432.07,47.2629000544548
100220428.20080006,100220384.0,44.20080006122589
100220417.12080006,100220372.0,45.12080006301403
100220271.78110006,100220240.81,30.97110006213188
100220328.83210006,100220292.27,36.56210006773472
100220309.88840008,100220272.94,36.94840008020401
