Approx net worth,Base case net worth,Difference
102943960.00000003,102943960.0,2.9802322387695312e-08
102943720.24000002,102943720.0,0.24000002443790436
102941374.94000003,102941370.0,4.940000027418137
102942521.49000002,102942520.0,1.4900000244379044
102941137.05000003,102941130.0,7.05000002682209
102948072.74000001,102948100.0,-27.259999990463257
102947446.91999999,102947470.0,-23.080000013113022
102950021.54999997,102950060.0,-38.450000032782555
102947802.60999995,102947830.0,-27.39000004529953
102950996.75999996,102951040.0,-43.240000039339066
102951951.03999996,102952000.0,-48.96000003814697
102949834.44999999,102949870.0,-35.55000001192093
102956054.06999996,102956130.0,-75.93000003695488
102957969.36999996,102958070.0,-100.63000003993511
102955585.54999997,102955670.0,-84.45000003278255
102953668.35,102953730.0,-61.650000005960464
102953004.84999998,102953060.0,-55.150000020861626
102954239.67999998,102954310.0,-70.32000002264977
102955090.45999998,102955170.0,-79.54000002145767
102953124.10999995,102953180.0,-55.89000004529953
102950871.76999994,102950910.0,-38.23000006377697
102951818.97999994,102951860.0,-41.02000005543232
102951804.47999991,102951840.0,-35.52000008523464
102951992.3999999,102952020.0,-27.600000098347664
102956060.99999988,102956150.0,-89.00000011920929
102956486.30999988,102956580.0,-93.6900001168251
102957287.52999988,102957400.0,-112.4700001180172
102957001.26999986,102957100.0,-98.73000013828278
102952747.52999985,102952780.0,-32.47000014781952
102953680.16999985,102953700.0,-19.830000147223473
102950302.28999986,102950240.0,62.2899998575449
102950451.56999986,102950400.0,51.56999985873699
102948757.68999985,102948670.0,87.6899998486042
102947737.75999986,102947620.0,117.7599998563528
102948568.49999985,102948460.0,108.49999985098839
102948406.41999985,102948320.0,86.41999985277653
102949276.33999984,102949190.0,86.3399998396635
102947507.27999982,102947370.0,137.27999982237816
102948905.07999982,102948800.0,105.07999981939793
102949080.83999984,102949000.0,80.8399998396635
102950019.47999983,102949940.0,79.47999982535839
102946797.98999983,102946650.0,147.9899998307228
102947142.8499998,102947000.0,142.84999980032444
102945962.35999982,102945810.0,152.35999982059002
102946477.63999984,102946340.0,137.63999983668327
102942844.93999985,102942640.0,204.9399998486042
102943437.41999985,102943250.0,187.41999985277653
