Approx net worth,Base case net worth,Difference
100140110.0,100140110.0,0.0
100140100.00999999,100140100.0,0.009999990463256836
100140429.35,100140430.0,-0.6500000059604645
100140399.44,100140400.0,-0.5600000023841858
100140489.26,100140490.0,-0.739999994635582
100140619.13,100140620.0,-0.8700000047683716
100140489.13,100140490.0,-0.8700000047683716
100140338.98,100140340.0,-1.0199999958276749
100140559.42,100140560.0,-0.5799999982118607
100140067.95,100140070.0,-2.0499999970197678
100140288.83,100140290.0,-1.1700000017881393
100140208.43,100140210.0,-1.5699999928474426
100140208.43,100140210.0,-1.5699999928474426
100140107.73,100140110.0,-2.269999995827675
100140158.13000001,100140160.0,-1.8699999898672104
100140269.12000002,100140270.0,-0.8799999803304672
100140269.12000002,100140270.0,-0.8799999803304672
100140077.03000002,100140080.0,-2.969999983906746
100139844.27000003,100139850.0,-5.729999974370003
100139611.28000003,100139620.0,-8.719999969005585
100139388.20000002,100139400.0,-11.799999982118607
100139296.85000001,100139310.0,-13.149999991059303
100139561.01000002,100139570.0,-8.98999997973442
100139622.03000003,100139630.0,-7.969999969005585
100139642.39000002,100139650.0,-7.609999984502792
100139713.72000003,100139720.0,-6.2799999713897705
100139703.52000003,100139710.0,-6.479999974370003
100139509.53000003,100139520.0,-10.469999969005585
100139478.87000003,100139490.0,-11.129999965429306
100139796.00000004,100139800.0,-3.9999999552965164
100139550.24000004,100139560.0,-9.759999960660934
100139724.49000004,100139730.0,-5.5099999606609344
100139960.47000004,100139960.0,0.4700000435113907
100139929.66000004,100139930.0,-0.3399999588727951
100139878.26000004,100139880.0,-1.7399999648332596
100139754.78000003,100139760.0,-5.219999969005585
100139682.68000004,100139690.0,-7.31999996304512
100139682.68000004,100139690.0,-7.31999996304512
100139723.96000004,100139730.0,-6.039999961853027
100139744.62000003,100139750.0,-5.379999965429306
100139579.18000004,100139590.0,-10.81999996304512
100139258.33000003,100139280.0,-21.669999971985817
100139144.37000003,100139170.0,-25.629999965429306
100139134.00000003,100139160.0,-25.999999970197678
100139341.60000004,100139360.0,-18.39999996125698
100139164.97000003,100139190.0,-25.02999997138977
100139331.37000003,100139350.0,-18.629999965429306
100139758.18000004,100139760.0,-1.8199999630451202
100139779.02000004,100139780.0,-0.9799999594688416
100140112.78000005,100140100.0,12.780000045895576
100140081.46000005,100140070.0,11.460000053048134
100139997.86000004,100139990.0,7.860000044107437
100140154.46000004,100140140.0,14.460000038146973
100140769.83000004,100140730.0,39.830000042915344
100140655.21000005,100140620.0,35.210000053048134
100140717.67000006,100140680.0,37.670000061392784
100140644.87000006,100140610.0,34.870000064373016
100140499.41000006,100140470.0,29.410000056028366
100140509.79000007,100140480.0,29.790000066161156
100140385.35000005,100140360.0,25.35000005364418
