Approx net worth,Base case net worth,Difference
102906139.99999999,102906140.0,-1.4901161193847656e-08
102905690.44999999,102905690.0,0.44999998807907104
102911818.17,102911830.0,-11.82999999821186
102913203.99999997,102913220.0,-16.000000029802322
102916866.33999997,102916890.0,-23.660000026226044
102919973.26999997,102920000.0,-26.730000033974648
102914463.26999997,102914490.0,-26.730000033974648
102914643.02999997,102914670.0,-26.97000002861023
102917878.32999997,102917900.0,-21.67000003159046
102907048.33,102907100.0,-51.67000000178814
102909266.72999997,102909310.0,-43.27000002563
102901070.02999999,102901150.0,-79.97000001370907
102902908.61,102902980.0,-71.39000000059605
102902314.72,102902390.0,-75.2800000011921
102905909.84000002,102905960.0,-50.15999998152256
102905106.06000002,102905160.0,-53.93999998271465
102903870.28000002,102903930.0,-59.719999983906746
102901652.82000002,102901730.0,-77.17999997735023
102896753.16000004,102896880.0,-126.8399999588728
102892898.17000006,102893070.0,-171.82999993860722
102884162.37000006,102884450.0,-287.629999935627
102883582.56000005,102883880.0,-297.43999995291233
102889783.20000006,102889990.0,-206.79999993741512
102892092.01000008,102892260.0,-167.98999992012978
102892462.43000005,102892630.0,-167.56999994814396
102892318.99000005,102892490.0,-171.00999994575977
102889979.07000007,102890200.0,-220.92999993264675
102885256.57000008,102885560.0,-303.4299999177456
102885305.67000009,102885610.0,-304.3299999088049
102889282.3300001,102889510.0,-227.66999989748
102885609.55000009,102885910.0,-300.44999991357327
102879575.19000009,102880030.0,-454.8099999129772
102887388.4100001,102887650.0,-261.58999989926815
102884564.4600001,102884900.0,-335.5399999022484
102880775.7400001,102881210.0,-434.2599999010563
102875995.70000009,102876550.0,-554.2999999076128
102873645.4400001,102874260.0,-614.5599998980761
102871472.32000011,102872160.0,-687.6799998879433
102873870.8600001,102874490.0,-619.1399998962879
102878167.22000012,102878650.0,-482.7799998819828
102875054.36000012,102875640.0,-585.6399998813868
102867960.06000014,102868780.0,-819.9399998635054
102858314.48000011,102859460.0,-1145.5199998915195
102863499.87000012,102864470.0,-970.1299998760223
102865161.87000014,102866080.0,-918.1299998611212
102865414.67000012,102866320.0,-905.3299998790026
102866260.53000012,102867130.0,-869.4699998795986
102874333.9400001,102874920.0,-586.0599998980761
102877121.6000001,102877590.0,-468.39999990165234
102886021.52000012,102886130.0,-108.47999988496304
102889203.18000011,102889170.0,33.180000111460686
102888322.63000011,102888320.0,2.630000114440918
102890448.43000011,102890350.0,98.43000011146069
102899405.09000012,102898930.0,475.09000012278557
102898691.63000011,102898270.0,421.6300001144409
102900977.05000013,102900470.0,507.0500001311302
102896827.07000013,102896490.0,337.0700001269579
