Approx net worth,Base case net worth,Difference
102906139.99999999,102906140.0,-1.4901161193847656e-08
102905690.44999999,102905690.0,0.44999998807907104
102911818.17,102911830.0,-11.82999999821186
102913203.99999997,102913220.0,-16.000000029802322
102916866.33999997,102916890.0,-23.660000026226044
102919973.24999999,102920000.0,-26.75000001490116
102914474.27,102914490.0,-15.730000004172325
102914653.73,102914670.0,-16.269999995827675
102917877.37,102917900.0,-22.62999999523163
102907088.28999998,102907100.0,-11.710000023245811
102909293.87,102909310.0,-16.12999999523163
102901158.34999998,102901150.0,8.349999979138374
102902984.76999998,102902980.0,4.769999980926514
102902395.37999998,102902390.0,5.379999980330467
102905958.23999996,102905960.0,-1.7600000351667404
102905160.63999996,102905160.0,0.6399999558925629
102903933.05999994,102903930.0,3.059999942779541
102901735.39999993,102901730.0,5.3999999314546585
102896895.09999992,102896880.0,15.09999991953373
102893096.52999994,102893070.0,26.529999941587448
102884493.80999994,102884450.0,43.80999994277954
102883924.27999996,102883880.0,44.27999995648861
102890022.05999996,102889990.0,32.0599999576807
102892285.24999997,102892260.0,25.249999970197678
102892654.50999998,102892630.0,24.509999975562096
102892514.38999997,102892490.0,24.389999970793724
102890228.96999997,102890200.0,28.969999969005585
102885602.88999997,102885560.0,42.889999970793724
102885652.78999999,102885610.0,42.78999999165535
102889548.66999999,102889510.0,38.66999998688698
102885948.84999998,102885910.0,38.849999979138374
102880074.32999997,102880030.0,44.32999996840954
102887686.16999997,102887650.0,36.16999997198582
102884937.17999998,102884900.0,37.179999977350235
102881243.58,102881210.0,33.57999999821186
102876577.03999999,102876550.0,27.03999999165535
102874281.53999998,102874260.0,21.53999997675419
102872175.43999998,102872160.0,15.439999982714653
102874513.75999998,102874490.0,23.759999975562096
102878693.07999995,102878650.0,43.07999995350838
102875667.69999993,102875640.0,27.699999928474426
102868779.31999995,102868780.0,-0.680000051856041
102859427.93999995,102859460.0,-32.06000004708767
102864450.62999997,102864470.0,-19.370000034570694
102866065.44999997,102866080.0,-14.55000002682209
102866296.00999998,102866320.0,-23.990000024437904
102867105.69,102867130.0,-24.310000002384186
102874938.22,102874920.0,18.219999998807907
102877638.86,102877590.0,48.85999999940395
102886237.27999997,102886130.0,107.27999997138977
102889298.77999997,102889170.0,128.77999997138977
102888449.30999999,102888320.0,129.30999998748302
102890482.24999999,102890350.0,132.24999998509884
102899096.56999996,102898930.0,166.56999996304512
102898436.70999998,102898270.0,166.70999997854233
102900643.07,102900470.0,173.06999999284744
102896659.99,102896490.0,169.98999999463558
102893522.95999996,102893360.0,162.95999996364117
102896622.15999997,102896450.0,172.1599999666214
