Approx net worth,Base case net worth,Difference
102906139.99999999,102906140.0,-1.4901161193847656e-08
102905690.44999999,102905690.0,0.44999998807907104
102911818.17,102911830.0,-11.82999999821186
102913203.99999997,102913220.0,-16.000000029802322
102916866.33999997,102916890.0,-23.660000026226044
102919973.24999999,102920000.0,-26.75000001490116
102914474.27,102914490.0,-15.730000004172325
102914653.73,102914670.0,-16.269999995827675
102917877.37,102917900.0,-22.62999999523163
102907088.28999998,102907100.0,-11.710000023245811
102909293.87,102909310.0,-16.12999999523163
102901158.34999998,102901150.0,8.349999979138374
102902984.76999998,102902980.0,4.769999980926514
102902395.37999998,102902390.0,5.379999980330467
102905958.23999996,102905960.0,-1.7600000351667404
102905160.63999996,102905160.0,0.6399999558925629
102903933.05999994,102903930.0,3.059999942779541
102901735.39999993,102901730.0,5.3999999314546585
102896895.09999992,102896880.0,15.09999991953373
102893096.52999994,102893070.0,26.529999941587448
102884493.80999994,102884450.0,43.80999994277954
102883924.27999996,102883880.0,44.27999995648861
102890022.05999996,102889990.0,32.0599999576807
102892285.24999997,102892260.0,25.249999970197678
102892654.50999998,102892630.0,24.509999975562096
102892514.38999997,102892490.0,24.389999970793724
102890228.96999997,102890200.0,28.969999969005585
102885602.88999997,102885560.0,42.889999970793724
102885652.78999999,102885610.0,42.78999999165535
102889548.66999999,102889510.0,38.66999998688698
102885955.86999999,102885910.0,45.86999998986721
102880093.50999998,102880030.0,63.509999975562096
102887698.42999999,102887650.0,48.429999992251396
102884951.1,102884900.0,51.099999994039536
102881268.47999999,102881210.0,58.479999989271164
102876622.45999998,102876550.0,72.45999997854233
102874337.21999998,102874260.0,77.21999998390675
102872239.31999998,102872160.0,79.31999997794628
102874564.65999998,102874490.0,74.65999998152256
102878712.17999999,102878650.0,62.179999992251396
102875708.16,102875640.0,68.15999999642372
102868854.86,102868780.0,74.85999999940395
102859535.52,102859460.0,75.51999999582767
102864543.80999999,102864470.0,73.80999998748302
102866153.64999998,102866080.0,73.64999997615814
102866395.08999996,102866320.0,75.0899999588728
102867205.66999997,102867130.0,75.66999997198582
102875008.17999996,102874920.0,88.17999996244907
102877684.55999996,102877590.0,94.5599999576807
102886252.87999995,102886130.0,122.87999995052814
102889302.03999993,102889170.0,132.0399999320507
102888444.80999994,102888320.0,124.80999994277954
102890484.10999992,102890350.0,134.10999992489815
102899119.94999994,102898930.0,189.9499999433756
102898452.66999993,102898270.0,182.66999992728233
102900663.36999992,102900470.0,193.3699999153614
102896655.86999993,102896490.0,165.86999993026257
102893506.99999994,102893360.0,146.99999994039536
102896616.97999993,102896450.0,166.97999992966652
