Approx net worth,Base case net worth,Difference
100165420.0,100165420.0,0.0
100165280.14,100165280.0,0.14000000059604645
100165729.24000001,100165730.0,-0.7599999904632568
100165789.06,100165790.0,-0.9399999976158142
100165848.94000001,100165850.0,-1.0599999874830246
100166008.78,100166010.0,-1.219999998807907
100166008.78,100166010.0,-1.219999998807907
100166218.99,100166220.0,-1.010000005364418
100166559.67,100166560.0,-0.32999999821186066
100166198.58999999,100166200.0,-1.4100000113248825
100166409.42999999,100166410.0,-0.5700000077486038
100165927.03,100165930.0,-2.969999998807907
100166117.79,100166120.0,-2.209999993443489
100166087.70000002,100166090.0,-2.2999999821186066
100166217.96000001,100166220.0,-2.0399999916553497
100166137.88000001,100166140.0,-2.1199999898672104
100165817.88000001,100165820.0,-2.1199999898672104
100165568.13,100165570.0,-1.8700000047683716
100165188.89,100165190.0,-1.1099999994039536
100165049.30999999,100165050.0,-0.6900000125169754
100164909.86999999,100164910.0,-0.1300000101327896
100164929.77,100164930.0,-0.23000000417232513
100165208.08999999,100165210.0,-1.9100000113248825
100165128.64999998,100165130.0,-1.350000023841858
100165327.04999998,100165330.0,-2.9500000178813934
100165158.24,100165160.0,-1.760000005364418
100165207.94,100165210.0,-2.060000002384186
100164979.08999999,100164980.0,-0.9100000113248825
100165078.69,100165080.0,-1.3100000023841858
100165307.99999999,100165310.0,-2.000000014901161
100164998.61999999,100165000.0,-1.3800000101327896
100165098.52,100165100.0,-1.4800000041723251
100165348.52,100165350.0,-1.4800000041723251
100165238.41000001,100165240.0,-1.5899999886751175
100165068.07000001,100165070.0,-1.9299999922513962
100164837.38000003,100164840.0,-2.619999974966049
100164777.26000002,100164780.0,-2.7399999797344208
100164967.45000002,100164970.0,-2.5499999821186066
100165017.55000003,100165020.0,-2.44999997317791
100165037.61000001,100165040.0,-2.3899999856948853
100164957.29000002,100164960.0,-2.709999978542328
100164776.39000003,100164780.0,-3.609999969601631
100164675.79000002,100164680.0,-4.209999978542328
100164937.61000001,100164940.0,-2.3899999856948853
100164937.61000001,100164940.0,-2.3899999856948853
100164927.52000001,100164930.0,-2.479999989271164
100164877.02000003,100164880.0,-2.9799999743700027
100165230.87000002,100165230.0,0.8700000196695328
100165109.43000002,100165110.0,-0.5699999779462814
100165180.34,100165180.0,0.3400000035762787
100165089.08,100165090.0,-0.9200000017881393
100164977.43,100164980.0,-2.5699999928474426
100164794.55,100164800.0,-5.450000002980232
100165159.95,100165160.0,-0.04999999701976776
100165251.39,100165250.0,1.3900000005960464
100165322.58000001,100165320.0,2.580000013113022
100165241.14000002,100165240.0,1.1400000154972076
100165098.48,100165100.0,-1.5199999958276749
100164905.06,100164910.0,-4.939999997615814
100164772.85000001,100164780.0,-7.149999991059303
100164976.05000001,100164980.0,-3.949999988079071
100165280.55000001,100165280.0,0.550000011920929
100165148.47,100165150.0,-1.530000001192093
100165036.60000001,100165040.0,-3.3999999910593033
100165189.00000001,100165190.0,-0.9999999850988388
100165066.96000001,100165070.0,-3.0399999916553497
100164995.84,100165000.0,-4.159999996423721
100165158.24000001,100165160.0,-1.7599999904632568
100165087.12,100165090.0,-2.8799999952316284
100165046.44,100165050.0,-3.560000002384186
100165198.84,100165200.0,-1.1599999964237213
100165331.05,100165330.0,1.0499999970197678
100165239.43,100165240.0,-0.5699999928474426
100165198.67,100165200.0,-1.3299999982118607
100165035.79000002,100165040.0,-4.209999978542328
100164974.77000003,100164980.0,-5.229999974370003
100165167.81000002,100165170.0,-2.189999982714653
100164974.58000003,100164980.0,-5.419999971985817
100164812.02000001,100164820.0,-7.979999989271164
100164558.27000001,100164570.0,-11.729999989271164
100164527.85000001,100164540.0,-12.149999991059303
100164649.41000001,100164660.0,-10.589999988675117
100164629.17000002,100164640.0,-10.8299999833107
100164841.48000002,100164850.0,-8.519999980926514
100164881.96000001,100164890.0,-8.03999999165535
100164871.83000001,100164880.0,-8.169999986886978
100164942.81000002,100164950.0,-7.189999982714653
100164810.86000003,100164820.0,-9.139999970793724
100165034.38000003,100165040.0,-5.619999974966049
100165217.44000001,100165220.0,-2.5599999874830246
100165288.70000002,100165290.0,-1.2999999821186066
100165217.37000002,100165220.0,-2.6299999803304672
100165003.17000002,100165010.0,-6.8299999833106995
100165003.17000003,100165010.0,-6.829999968409538
100165115.15000002,100165120.0,-4.849999979138374
100164941.92000002,100164950.0,-8.0799999833107
100165043.72000001,100165050.0,-6.279999986290932
100164942.02000003,100164950.0,-7.979999974370003
100164850.58000003,100164860.0,-9.419999971985817
100164870.88000001,100164880.0,-9.11999998986721
100164728.92000002,100164740.0,-11.0799999833107
100164789.7,100164800.0,-10.299999997019768
100165073.06000002,100165080.0,-6.939999982714653
100164779.29000002,100164790.0,-10.709999978542328
100164850.13000003,100164860.0,-9.86999997496605
100164698.18,100164710.0,-11.819999992847443
100164789.26000002,100164800.0,-10.73999997973442
100165204.59000002,100165210.0,-5.40999998152256
100165589.91000001,100165590.0,-0.08999998867511749
100165386.91000001,100165390.0,-3.0899999886751175
100165996.51000002,100165990.0,6.510000020265579
100166332.12000003,100166320.0,12.120000034570694
100166769.86000003,100166750.0,19.860000029206276
100167228.41000003,100167200.0,28.410000026226044
100167279.41000003,100167250.0,29.410000026226044
100167065.00000001,100167040.0,25.00000001490116
100167208.08000003,100167180.0,28.080000028014183
100167504.17000003,100167470.0,34.17000003159046
100167289.97000003,100167260.0,29.97000002861023
100167677.19000003,100167640.0,37.19000002741814
100167870.61000003,100167830.0,40.610000029206276
100167779.08000003,100167740.0,39.08000002801418
100167687.64000003,100167650.0,37.64000003039837
100168063.19000003,100168020.0,43.19000002741814
100168276.13000003,100168230.0,46.13000002503395
100168721.85000004,100168670.0,51.85000003874302
100168873.65000002,100168820.0,53.650000020861626
100169207.28000003,100169150.0,57.280000030994415
100169075.98000003,100169020.0,55.98000003397465
100169166.79000002,100169110.0,56.79000002145767
100169307.91000003,100169250.0,57.910000026226044
100168965.53000002,100168910.0,55.530000016093254
100168774.39000002,100168720.0,54.39000001549721
100168744.24000002,100168690.0,54.240000024437904
100168864.72000003,100168810.0,54.72000002861023
100168794.51000002,100168740.0,54.51000002026558
100168413.75000001,100168360.0,53.75000001490116
100168343.68000002,100168290.0,53.68000002205372
100168493.68000002,100168440.0,53.68000002205372
100168393.78000002,100168340.0,53.780000016093254
100168274.02000003,100168220.0,54.02000002563
100168283.99000002,100168230.0,53.990000024437904
100168005.11000003,100167950.0,55.110000029206276
100168025.01000004,100167970.0,55.01000003516674
100168939.49000002,100168890.0,49.490000024437904
100168959.39000003,100168910.0,49.39000003039837
100168829.91000003,100168780.0,49.910000026226044
100168790.11000003,100168740.0,50.110000029206276
100168899.45000002,100168850.0,49.45000001788139
100168760.43,100168710.0,50.43000000715256
100168750.51000002,100168700.0,50.51000002026558
100169097.36000001,100169050.0,47.360000014305115
100169136.96000002,100169090.0,46.96000002324581
100169008.39000002,100168960.0,48.39000001549721
100168781.15000002,100168730.0,51.150000020861626
100168494.92000002,100168440.0,54.9200000166893
100168554.08000001,100168500.0,54.08000001311302
100168297.98,100168240.0,57.980000004172325
100168435.74000001,100168380.0,55.74000000953674
100168465.23,100168410.0,55.230000004172325
100168268.83,100168210.0,58.82999999821186
100168062.82,100168000.0,62.81999999284744
100168072.62,100168010.0,62.62000000476837
100168268.41999999,100168210.0,58.41999998688698
100168591.15999998,100168540.0,51.15999998152256
100168806.53999998,100168760.0,46.53999997675419
100168855.53999998,100168810.0,45.53999997675419
100168865.34999998,100168820.0,45.349999979138374
100169474.18999998,100169440.0,34.18999998271465
100169818.23999998,100169790.0,28.23999997973442
100169365.59999998,100169330.0,35.599999979138374
100169404.99999997,100169370.0,34.99999997019768
100169404.99999999,100169370.0,34.99999998509884
100169385.29999998,100169350.0,35.29999998211861
100169336.09999998,100169300.0,36.099999979138374
100169336.09999996,100169300.0,36.09999996423721
100169061.13999997,100169020.0,41.139999970793724
100168982.65999997,100168940.0,42.6599999666214
100168933.65999997,100168890.0,43.6599999666214
100169070.71999997,100169030.0,40.719999969005585
100169041.37999997,100169000.0,41.379999965429306
100169178.15999997,100169140.0,38.1599999666214
100169305.03999996,100169270.0,35.03999996185303
100169314.78999996,100169280.0,34.78999996185303
100169519.32999997,100169490.0,29.32999996840954
100169392.57999997,100169360.0,32.57999996840954
100169373.09999996,100169340.0,33.09999996423721
100169304.98999996,100169270.0,34.98999996483326
100169227.22999996,100169190.0,37.22999995946884
100169256.35999997,100169220.0,36.35999996960163
100169178.75999996,100169140.0,38.759999960660934
100169159.37999997,100169120.0,39.379999965429306
100169159.37999998,100169120.0,39.37999998033047
100169304.42999996,100169270.0,34.429999962449074
100169101.56999998,100169060.0,41.56999997794628
100168966.46999997,100168920.0,46.469999969005585
100169120.70999998,100169080.0,40.70999997854233
100169178.48999998,100169140.0,38.48999997973442
100169322.78999996,100169290.0,32.78999996185303
100169438.34999996,100169410.0,28.349999964237213
100169187.70999998,100169150.0,37.70999997854233
100169216.59999998,100169180.0,36.599999979138374
100169245.45999998,100169210.0,35.45999997854233
100168995.59999998,100168950.0,45.599999979138374
100168813.19999999,100168760.0,53.19999998807907
100169072.12999998,100169030.0,42.12999998033047
100168861.36999999,100168810.0,51.36999998986721
100168727.38999999,100168670.0,57.389999985694885
100168756.07,100168700.0,56.06999999284744
100168813.37,100168760.0,53.37000000476837
100168765.66999999,100168710.0,55.66999998688698
100168632.24999999,100168570.0,62.24999998509884
100168851.21,100168800.0,51.20999999344349
100169137.11,100169100.0,37.10999999940395
100168984.47,100168940.0,44.46999999880791
100169041.77,100169000.0,41.769999995827675
100169175.61,100169140.0,35.60999999940395
100169070.33999999,100169030.0,40.33999998867512
100169319.41999999,100169290.0,29.419999986886978
100169165.97999999,100169130.0,35.979999989271164
100169511.58,100169490.0,21.57999999821186
100169847.92999999,100169840.0,7.929999992251396
100169867.17,100169860.0,7.170000001788139
100169896.05999999,100169890.0,6.059999987483025
100169818.94,100169810.0,8.939999997615814
100169751.38999999,100169740.0,11.389999985694885
100169693.55,100169680.0,13.549999997019768
100169635.77,100169620.0,15.769999995827675
100169520.33,100169500.0,20.32999999821186
100169674.08999999,100169660.0,14.089999988675117
100169616.49,100169600.0,16.489999994635582
100169837.05999999,100169830.0,7.059999987483025
100169808.31999998,100169800.0,8.319999977946281
100169693.47999999,100169680.0,13.479999989271164
100169703.03999999,100169690.0,13.03999999165535
100169731.68999998,100169720.0,11.689999982714653
100169607.66999999,100169590.0,17.669999986886978
100169407.53999999,100169380.0,27.53999999165535
100169674.09999998,100169660.0,14.099999979138374
100169655.07999998,100169640.0,15.0799999833107
100169569.57999998,100169550.0,19.5799999833107
100169569.57999998,100169550.0,19.5799999833107
100169588.53999998,100169570.0,18.53999997675419
100169758.99999997,100169750.0,8.999999970197678
100169161.75999998,100169120.0,41.759999975562096
100169038.64999998,100168990.0,48.64999997615814
100169114.32999997,100169070.0,44.32999996840954
100169010.37999995,100168960.0,50.379999950528145
100168925.41999996,100168870.0,55.419999957084656
100169010.28999995,100168960.0,50.289999946951866
100169076.22999996,100169030.0,46.22999995946884
