Approx net worth,Base case net worth,Difference
100165690.0,100165690.0,0.0
100165729.96000001,100165730.0,-0.03999999165534973
100165420.58,100165420.0,0.5799999982118607
100165281.0,100165280.0,1.0
100165261.04,100165260.0,1.040000006556511
100165051.67,100165050.0,1.6700000017881393
100165499.87,100165500.0,-0.12999999523162842
100165818.91,100165820.0,-1.0900000035762787
100165530.07,100165530.0,0.06999999284744263
100165629.57000001,100165630.0,-0.4299999922513962
100165679.37,100165680.0,-0.6299999952316284
100165739.07000001,100165740.0,-0.9299999922513962
100166086.97000001,100166090.0,-3.0299999862909317
100166067.11,100166070.0,-2.8900000005960464
100166027.43,100166030.0,-2.5699999928474426
100166017.5,100166020.0,-2.5
100166057.26,100166060.0,-2.739999994635582
100165739.50000001,100165740.0,-0.4999999850988388
100165868.72000001,100165870.0,-1.2799999862909317
100165680.05000001,100165680.0,0.050000011920928955
100165580.65,100165580.0,0.6500000059604645
100165331.90000002,100165330.0,1.9000000208616257
100165361.78000002,100165360.0,1.780000016093254
100165491.13000001,100165490.0,1.1300000101327896
100165640.23,100165640.0,0.23000000417232513
100165312.54,100165310.0,2.540000006556511
100165093.86,100165090.0,3.8599999994039536
100165203.31,100165200.0,3.310000002384186
100165312.65,100165310.0,2.6500000059604645
100165431.81000002,100165430.0,1.810000017285347
100165362.37000002,100165360.0,2.3700000196695328
100165342.51,100165340.0,2.510000005364418
100165272.93000002,100165270.0,2.9300000220537186
100165044.08000001,100165040.0,4.080000013113022
100165064.00000001,100165060.0,4.000000014901161
100165382.4,100165380.0,2.4000000059604645
100165432.10000001,100165430.0,2.1000000089406967
100165422.17000002,100165420.0,2.1700000166893005
100165283.01,100165280.0,3.010000005364418
100165730.76000002,100165730.0,0.7600000202655792
100165790.40000002,100165790.0,0.40000002086162567
100165849.98000002,100165850.0,-0.019999980926513672
100166008.70000002,100166010.0,-1.2999999821186066
100166008.70000003,100166010.0,-1.2999999672174454
100166216.60000002,100166220.0,-3.399999976158142
100166552.86000003,100166560.0,-7.139999970793724
100166197.18000002,100166200.0,-2.8199999779462814
100166404.87000002,100166410.0,-5.129999980330467
100165930.63000001,100165930.0,0.6300000101327896
100166118.54000002,100166120.0,-1.4599999785423279
100166088.90000002,100166090.0,-1.0999999791383743
100166217.47000001,100166220.0,-2.5299999862909317
100166138.43,100166140.0,-1.5699999928474426
100165821.95000002,100165820.0,1.9500000178813934
100165574.45000003,100165570.0,4.450000032782555
100165197.87000003,100165190.0,7.870000034570694
100165058.99000004,100165050.0,8.990000039339066
100164919.97000004,100164910.0,9.97000004351139
100164939.85000004,100164930.0,9.850000038743019
100165217.89000003,100165210.0,7.890000030398369
100165138.53000005,100165130.0,8.530000045895576
100165337.13000004,100165330.0,7.130000039935112
100165168.49000004,100165160.0,8.490000039339066
100165218.14000003,100165210.0,8.140000030398369
100164989.98000003,100164980.0,9.980000033974648
100165089.28000003,100165080.0,9.280000030994415
100165317.44000003,100165310.0,7.440000027418137
100165010.23000003,100165000.0,10.230000033974648
100165109.43000002,100165100.0,9.430000022053719
100165357.18000002,100165350.0,7.180000022053719
100165248.28000003,100165240.0,8.280000030994415
100165079.81000003,100165070.0,9.810000032186508
100164851.65000004,100164840.0,11.650000035762787
100164792.07000002,100164780.0,12.070000022649765
100164980.93000002,100164970.0,10.930000022053719
100165030.58000003,100165020.0,10.580000028014183
100165050.42000003,100165040.0,10.420000031590462
100164971.14000003,100164960.0,11.140000030398369
100164792.58000004,100164780.0,12.580000042915344
100164693.28000003,100164680.0,13.280000030994415
100164951.72000003,100164940.0,11.72000002861023
100164951.72000003,100164940.0,11.72000002861023
100164941.80000001,100164930.0,11.800000011920929
100164892.15000002,100164880.0,12.150000020861626
100165240.05000003,100165230.0,10.05000002682209
100165120.89000003,100165110.0,10.890000030398369
100165190.47000003,100165180.0,10.47000002861023
100165101.10000002,100165090.0,11.100000023841858
100164991.76000002,100164980.0,11.76000002026558
100164812.66000003,100164800.0,12.660000026226044
100165171.22000003,100165160.0,11.22000002861023
100165260.77000003,100165250.0,10.770000025629997
100165330.35000002,100165320.0,10.350000023841858
100165250.91000003,100165240.0,10.910000026226044
100165111.75000003,100165100.0,11.750000029802322
100164922.70000003,100164910.0,12.700000032782555
100164793.22000003,100164780.0,13.22000002861023
100164992.62000003,100164980.0,12.620000034570694
100165291.42000003,100165280.0,11.420000031590462
100165162.07000004,100165150.0,12.070000037550926
100165052.51000002,100165040.0,12.51000002026558
100165202.06000002,100165190.0,12.060000017285347
100165082.54000004,100165070.0,12.540000036358833
100165012.75000003,100165000.0,12.750000029802322
100165172.43000002,100165160.0,12.430000022053719
100165102.64000002,100165090.0,12.640000015497208
100165062.72000003,100165050.0,12.72000002861023
100165212.57000002,100165200.0,12.570000022649765
100165342.31000003,100165330.0,12.310000032186508
100165252.58000003,100165240.0,12.580000028014183
100165212.66000003,100165200.0,12.660000026226044
100165052.82000002,100165040.0,12.820000022649765
100164992.82000002,100164980.0,12.820000022649765
100165183.01000002,100165170.0,13.01000002026558
100164993.01000002,100164980.0,13.01000002026558
100164832.85000002,100164820.0,12.850000023841858
100164582.35000002,100164570.0,12.350000023841858
100164552.26000002,100164540.0,12.26000002026558
100164672.74000002,100164660.0,12.740000024437904
100164652.68000002,100164640.0,12.680000022053719
100164863.52000001,100164850.0,13.520000010728836
100164903.64000002,100164890.0,13.640000015497208
100164893.62000002,100164880.0,13.620000019669533
100164963.83000003,100164950.0,13.830000028014183
100164833.57000002,100164820.0,13.570000022649765
100165054.23000003,100165040.0,14.230000033974648
100165234.59000003,100165220.0,14.590000033378601
100165304.66000004,100165290.0,14.660000041127205
100165234.66000004,100165220.0,14.660000041127205
100165024.45000003,100165010.0,14.450000032782555
100165024.45000005,100165010.0,14.450000047683716
100165134.56000005,100165120.0,14.56000004708767
100164964.56000005,100164950.0,14.56000004708767
100165064.66000004,100165050.0,14.660000041127205
100164964.66000004,100164950.0,14.660000041127205
100164874.57000004,100164860.0,14.570000037550926
100164894.61000003,100164880.0,14.610000029206276
100164754.47000004,100164740.0,14.47000004351139
100164814.59000003,100164800.0,14.590000033378601
100165094.87000003,100165080.0,14.870000034570694
100164804.87000003,100164790.0,14.870000034570694
100164874.94000003,100164860.0,14.940000027418137
100164724.94000003,100164710.0,14.940000027418137
100164815.03000003,100164800.0,15.030000030994415
100165225.03000003,100165210.0,15.030000030994415
100165604.65000002,100165590.0,14.650000020861626
100165405.05000003,100165390.0,15.05000002682209
100166004.45000002,100165990.0,14.450000017881393
100166333.79000002,100166320.0,13.790000021457672
100166762.50000001,100166750.0,12.500000014901161
100167210.70000002,100167200.0,10.700000017881393
100167260.45000002,100167250.0,10.450000017881393
100167051.71000001,100167040.0,11.71000000834465
100167191.01000002,100167180.0,11.01000002026558
100167479.27000001,100167470.0,9.270000010728836
100167270.74000001,100167260.0,10.740000009536743
100167648.46000001,100167640.0,8.46000000834465
100167837.13000001,100167830.0,7.13000001013279
100167747.85000001,100167740.0,7.850000008940697
100167658.48,100167650.0,8.480000004172325
100168026.26,100168020.0,6.260000005364418
100168234.79,100168230.0,4.790000006556511
100168671.27000001,100168670.0,1.270000010728836
100168819.92,100168820.0,-0.07999999821186066
100169146.62,100169150.0,-3.3799999952316284
100169018.05000001,100169020.0,-1.949999988079071
100169107.15000002,100169110.0,-2.8499999791383743
100169245.61000001,100169250.0,-4.389999985694885
100168909.69000001,100168910.0,-0.3099999874830246
100168721.78000002,100168720.0,1.780000016093254
100168692.08000003,100168690.0,2.080000028014183
100168811.00000003,100168810.0,1.0000000298023224
100168741.70000003,100168740.0,1.7000000327825546
100168365.12000003,100168360.0,5.120000034570694
100168295.68000002,100168290.0,5.680000022053719
100168444.63000003,100168440.0,4.630000025033951
100168345.43000002,100168340.0,5.430000022053719
100168226.27000003,100168220.0,6.270000025629997
100168236.21000002,100168230.0,6.2100000232458115
100167958.17000002,100167950.0,8.1700000166893
100167978.05000001,100167970.0,8.050000011920929
100168891.61000001,100168890.0,1.6100000143051147
100168911.45000002,100168910.0,1.4500000178813934
100168782.62000002,100168780.0,2.6200000196695328
100168742.94000001,100168740.0,2.9400000125169754
100168852.17000002,100168850.0,2.1700000166893005
100168713.29000002,100168710.0,3.290000021457672
100168703.36000001,100168700.0,3.3600000143051147
100169051.26000002,100169050.0,1.2600000202655792
100169090.98000002,100169090.0,0.9800000190734863
100168962.02000003,100168960.0,2.0200000256299973
100168733.63000003,100168730.0,3.630000025033951
100168445.37000002,100168440.0,5.370000019669533
100168505.07000002,100168500.0,5.070000022649765
100168246.63000003,100168240.0,6.630000025033951
100168385.93000002,100168380.0,5.930000022053719
100168415.75000001,100168410.0,5.750000014901161
100168217.15000002,100168210.0,7.150000020861626
100168008.41000003,100168000.0,8.410000026226044
100168018.36000003,100168010.0,8.360000029206276
100168217.16000003,100168210.0,7.160000026226044
100168544.85000004,100168540.0,4.850000038743019
100168763.09000003,100168760.0,3.090000033378601
100168812.64000005,100168810.0,2.64000004529953
100168822.54000004,100168820.0,2.5400000363588333
100169435.72000003,100169440.0,-4.2799999713897705
100169781.52000004,100169790.0,-8.479999959468842
100169327.50000004,100169330.0,-2.4999999552965164
100169367.02000004,100169370.0,-2.9799999594688416
100169367.02000004,100169370.0,-2.9799999594688416
100169347.30000006,100169350.0,-2.6999999433755875
100169297.95000006,100169300.0,-2.049999937415123
100169297.95000005,100169300.0,-2.049999952316284
100169021.59000006,100169020.0,1.5900000631809235
100168942.55000006,100168940.0,2.5500000566244125
100168893.10000005,100168890.0,3.1000000536441803
100169031.70000006,100169030.0,1.700000062584877
100169002.03000006,100169000.0,2.0300000607967377
100169140.63000005,100169140.0,0.6300000548362732
100169269.20000006,100169270.0,-0.799999937415123
100169279.08000006,100169280.0,-0.9199999421834946
100169486.35000005,100169490.0,-3.6499999463558197
100169358.17000005,100169360.0,-1.829999953508377
100169338.43000005,100169340.0,-1.569999948143959
100169269.27000006,100169270.0,-0.7299999445676804
100169190.15000005,100169190.0,0.15000005066394806
100169219.85000005,100169220.0,-0.1499999463558197
100169140.73000005,100169140.0,0.7300000488758087
100169120.93000005,100169120.0,0.930000051856041
100169120.93000005,100169120.0,0.930000051856041
100169269.43000005,100169270.0,-0.569999948143959
100169061.74000005,100169060.0,1.7400000542402267
100168923.14000005,100168920.0,3.14000004529953
100169081.70000005,100169080.0,1.7000000476837158
100169141.10000004,100169140.0,1.100000038743019
100169289.45000005,100169290.0,-0.5499999523162842
100169408.01000005,100169410.0,-1.9899999499320984
100169151.39000005,100169150.0,1.39000004529953
100169181.03000005,100169180.0,1.0300000458955765
100169210.64000005,100169210.0,0.64000004529953
100168954.28000005,100168950.0,4.2800000458955765
100168766.75000003,100168760.0,6.750000029802322
100169033.51000004,100169030.0,3.5100000351667404
100168816.37000003,100168810.0,6.370000034570694
100168678.05000003,100168670.0,8.05000002682209
100168707.72000003,100168700.0,7.7200000286102295
100168767.00000004,100168760.0,7.000000044703484
100168717.65000005,100168710.0,7.650000050663948
100168579.33000006,100168570.0,9.330000057816505
100168806.80000006,100168800.0,6.8000000566244125
100169103.20000005,100169100.0,3.200000047683716
100168945.28000005,100168940.0,5.2800000458955765
100169004.56000005,100169000.0,4.560000047087669
100169142.74000005,100169140.0,2.7400000542402267
100169034.28000005,100169030.0,4.2800000458955765
100169290.90000005,100169290.0,0.9000000506639481
100169133.14000006,100169130.0,3.1400000602006912
100169488.46000005,100169490.0,-1.5399999469518661
100169833.56000006,100169840.0,-6.439999938011169
