Approx net worth,Base case net worth,Difference,APPL price,SMA,MACD,EMA_12,EMA_26
102927890.0,102927890.0,0.0,165.69,165.7,0.0,0.0,0.0
102924992.9,102924990.0,2.9000000059604645,165.73,165.71,0.0,0.0,0.0
102918775.36000001,102918760.0,15.360000014305115,165.42,165.6375,0.0,0.0,0.0
102918017.64000002,102918000.0,17.640000015497208,165.28,165.56599999999997,0.0,0.0,0.0
102921284.52,102921280.0,4.519999995827675,165.26,165.515,0.0,0.0,0.0
102915812.01999998,102915780.0,32.019999980926514,165.05,165.44857142857146,0.0,0.0,0.0
102928286.71999998,102928330.0,-43.280000016093254,165.5,165.455,0.0,0.0,0.0
102938206.78999998,102938320.0,-113.21000002324581,165.82,165.49555555555557,0.0,0.0,0.0
102928505.02999996,102928540.0,-34.97000004351139,165.53,165.49900000000002,0.0,0.0,0.0
102934104.17999996,102934190.0,-85.82000003755093,165.63,165.491,0.0,0.0,0.0
102933252.78,102933330.0,-77.2199999988079,165.68,165.49,0.0,0.0,0.0
102933064.87,102933140.0,-75.12999999523163,165.74,165.491,0.0,0.0,0.0
102934951.95,102935050.0,-98.04999999701977,166.09,165.558,0.0,0.0,0.0
102939156.57000001,102939310.0,-153.4299999922514,166.07,165.637,0.0,0.0,0.0
102937657.85000001,102937790.0,-132.1499999910593,166.03,165.714,0.0,0.0,0.0
102937057.0,102937180.0,-123.0,166.02,165.811,0.0,0.0,0.0
102940825.72,102941010.0,-184.2800000011921,166.06,165.86700000000002,0.0,0.0,0.0
102935370.07,102935460.0,-89.93000000715256,165.74,165.85899999999998,0.0,0.0,0.0
102932836.50999999,102932880.0,-43.49000000953674,165.87,165.89299999999997,0.0,0.0,0.0
102929471.68,102929450.0,21.680000007152557,165.68,165.898,0.0,0.0,0.0
102924855.88,102924740.0,115.87999999523163,165.58,165.88799999999998,0.0,0.0,0.0
102918649.02000001,102918400.0,249.02000001072884,165.33,165.84699999999998,0.0,0.0,0.0
102918267.60000001,102918010.0,257.6000000089407,165.36,165.774,0.0,0.0,0.0
102921188.83000003,102921000.0,188.83000002801418,165.49,165.716,0.0,0.0,0.0
102925580.83000004,102925500.0,80.83000004291534,165.64,165.67700000000002,0.0,0.0,0.0
102919282.33000004,102919040.0,242.33000004291534,165.31,165.60600000000002,0.0,0.0,0.0
102917684.97000006,102917400.0,284.97000005841255,165.09,165.509,-0.05704415954417641,165.51942307692306,165.57646723646724
102916721.70000003,102916410.0,311.70000003278255,165.2,165.455,-0.07829970941793363,165.47028106508876,165.5485807745067
102921251.22000003,102921070.0,181.22000002861023,165.31,165.399,-0.08528568485274945,165.44562243969048,165.53090812454323
102922261.06000006,102922110.0,151.06000006198883,165.43,165.37399999999997,-0.08021446122072007,165.4432189874304,165.52343344865113
102923163.16000009,102923040.0,123.16000008583069,165.36,165.352,-0.08091120098228544,165.43041606628728,165.51132726726956
102921360.8200001,102921180.0,180.82000009715557,165.34,165.353,-0.08213045633985416,165.41650590224307,165.49863635858293
102915572.1800001,102915200.0,372.1800000965595,165.27,165.344,-0.08773379935402659,165.3939665326672,165.48170033202123
102906840.17000009,102906170.0,670.1700000911951,165.04,165.29899999999998,-0.10947164588245073,165.3395101430261,165.44898178890855
