Approx net worth,Base case net worth,Difference
102977950.0,102977950.0,0.0
102972815.14,102972810.0,5.1400000005960464
102978763.21999998,102978770.0,-6.780000016093254
102980777.16,102980790.0,-12.840000003576279
102977942.83999999,102977950.0,-7.1600000113248825
102974556.22999999,102974560.0,-3.770000010728836
102973426.19000001,102973430.0,-3.8099999874830246
102970685.70999998,102970690.0,-4.290000021457672
102966138.68999998,102966150.0,-11.310000017285347
102965686.26,102965700.0,-13.739999994635582
102965018.08,102965030.0,-11.92000000178814
102964288.52999999,102964300.0,-11.470000013709068
102969729.51,102969740.0,-10.489999994635582
102968439.64,102968450.0,-10.359999999403954
102974061.84000002,102974080.0,-18.15999998152256
102975905.49000002,102975930.0,-24.509999975562096
102976024.63000003,102976040.0,-15.36999997496605
102972082.74000002,102972110.0,-27.259999975562096
102970633.92000005,102970660.0,-26.079999953508377
102967604.46000005,102967640.0,-35.539999946951866
102974550.98000006,102974580.0,-29.01999993622303
102972902.43000008,102972930.0,-27.569999918341637
102971293.23000008,102971320.0,-26.76999992132187
102974583.46000008,102974610.0,-26.539999917149544
102978807.5400001,102978800.0,7.540000095963478
102978071.86000007,102978060.0,11.86000007390976
102973418.02000007,102973460.0,-41.97999992966652
102973325.77000006,102973370.0,-44.22999994456768
102972614.85000008,102972640.0,-25.149999916553497
102970994.1600001,102971030.0,-35.83999989926815
102972776.8000001,102972810.0,-33.199999898672104
102965814.64000012,102965930.0,-115.35999988019466
102960472.28000012,102960640.0,-167.71999987959862
102964239.65000014,102964350.0,-110.34999985992908
102965488.57000016,102965590.0,-101.42999984323978
102964643.78000015,102964760.0,-116.2199998497963
102964698.88000014,102964810.0,-111.11999985575676
102969208.96000014,102969250.0,-41.0399998575449
102965168.12000015,102965270.0,-101.87999984622002
102968830.74000016,102968890.0,-59.259999841451645
102970149.80000016,102970180.0,-30.19999983906746
102975207.93000016,102975150.0,57.93000015616417
102974597.65000017,102974570.0,27.650000169873238
102977713.68000017,102977600.0,113.68000017106533
102978070.1400002,102977950.0,120.14000019431114
102980796.9700002,102980620.0,176.97000020742416
102979638.03000022,102979480.0,158.0300002247095
102975020.0200002,102974930.0,90.02000020444393
102976553.9000002,102976460.0,93.90000019967556
102977996.49000022,102977890.0,106.490000218153
102977750.71000023,102977630.0,120.71000023186207
102976468.86000021,102976380.0,88.86000020802021
102976961.7200002,102976860.0,101.72000020742416
102977862.26000018,102977760.0,102.26000018417835
102979689.72000018,102979550.0,139.72000017762184
102979314.54000019,102979190.0,124.54000018537045
102981789.7000002,102981650.0,139.70000019669533
102980596.14000022,102980470.0,126.14000022411346
102990617.48000024,102990400.0,217.4800002425909
102991177.15000024,102990950.0,227.15000024437904
102989573.45000023,102989350.0,223.45000022649765
102989509.95000021,102989270.0,239.9500002115965
102986805.75000021,102986600.0,205.75000020861626
102984911.35000022,102984720.0,191.35000021755695
102980732.39000021,102980560.0,172.3900002092123
102982414.0100002,102982220.0,194.0100001990795
102980754.6700002,102980570.0,184.67000019550323
102980024.98000018,102979840.0,184.98000018298626
102977229.98000017,102977050.0,179.9800001680851
102975106.44000019,102974930.0,176.4400001913309
102975499.3600002,102975320.0,179.36000019311905
102973609.69000018,102973430.0,179.69000017642975
102976584.45000017,102976400.0,184.450000166893
102979588.25000016,102979400.0,188.25000016391277
102968281.99000017,102968130.0,151.99000017344952
102969929.09000018,102969770.0,159.0900001823902
102967240.77000017,102967090.0,150.7700001746416
102961301.99000016,102961190.0,111.99000015854836
102963456.03000015,102963320.0,136.0300001502037
102964882.33000016,102964740.0,142.33000016212463
102962624.55000013,102962490.0,134.55000013113022
102966263.96000011,102966100.0,163.96000011265278
102966814.88000011,102966640.0,174.88000011444092
102967888.74000013,102967700.0,188.74000012874603
102965431.34000012,102965270.0,161.34000012278557
102969799.18000013,102969590.0,209.18000012636185
102968548.56000012,102968370.0,178.56000012159348
102968233.27000013,102968060.0,173.27000012993813
102964771.91000015,102964650.0,121.91000014543533
102968520.32000016,102968340.0,180.32000015676022
102964628.64000016,102964510.0,118.64000016450882
102964239.13000017,102964120.0,119.13000017404556
102964520.69000019,102964390.0,130.6900001913309
102967364.48000018,102967200.0,164.48000018298626
102967891.32000016,102967700.0,191.32000015676022
102966368.78000014,102966200.0,168.78000013530254
102965842.00000013,102965690.0,152.00000013411045
102964198.67000015,102964080.0,118.67000015079975
102962124.13000014,102962060.0,64.13000014424324
102960888.32000016,102960850.0,38.320000156760216
102958912.54000016,102958910.0,2.540000155568123
102958639.87000015,102958660.0,-20.129999846220016
102958861.67000015,102958880.0,-18.32999984920025
102962131.86000013,102962070.0,61.860000133514404
102965101.78000015,102964980.0,121.7800001502037
102963129.60000017,102963040.0,89.60000017285347
102966498.88000017,102966320.0,178.88000017404556
102966677.44000018,102966480.0,197.44000017642975
102969593.38000017,102969330.0,263.38000017404556
102969739.22000018,102969470.0,269.22000017762184
102973049.34000018,102972700.0,349.3400001823902
102971223.6400002,102970920.0,303.64000019431114
102971987.60000022,102971650.0,337.60000021755695
102973841.32000023,102973470.0,371.320000231266
102972224.88000023,102971910.0,314.8800002336502
102972136.59000023,102971820.0,316.5900002270937
102972249.39000022,102971920.0,329.39000022411346
102969360.03000022,102969120.0,240.0300002247095
102968289.75000021,102968080.0,209.75000020861626
102968980.09000021,102968760.0,220.09000021219254
102967682.67000021,102967480.0,202.6700002104044
102968306.31000023,102968100.0,206.3100002259016
102972259.6300002,102971960.0,299.6300002038479
102970230.5500002,102969980.0,250.55000020563602
102969612.2900002,102969380.0,232.2900002002716
102971548.46000019,102971270.0,278.4600001871586
102971342.08000019,102971070.0,272.08000019192696
102966699.3600002,102966530.0,169.36000019311905
102966244.60000019,102966070.0,174.60000018775463
102966071.66000019,102965890.0,181.66000019013882
