AAPL percent,boston humidity,WEN price,microsoft trend,MSFT price,SHAK price,MSFT volume,TSLA percent,AMZN price,apple trend,MCD price,AMZN percent,MCD volume,AAPL volume,SHAK volume,new york city humidity,WEN percent,NFLX percent,MCD percent,FB price,AAPL price,boston temperature,TSLA price,NFLX price,TSLA volume,AMZN volume,amazon trend,FB volume,los angeles temperature,FB percent,SHAK percent,new york city temperature,los angeles humidity,MSFT percent,facebook trend,WEN volume,minutes,NFLX volume
0.0211,72.0,17.02,4.0,108.44,46.44,2181691.0,0.003,1632.77,14.0,184.65,0.0154,231716.0,3290841.0,52554.0,81.0,0.0044,0.017,0.0095,143.03,167.35,35.0,375.65,271.32,796528.0,368212.0,45.0,1295234.0,57.0,0.0137,0.0019,45.0,37.0,0.0093,52.0,95755.0,600,658458.0
0.0198,72.0,17.02,4.0,108.73,46.4,2395479.0,0.0001,1633.73,14.0,184.93,0.0149,263424.0,3354305.0,53154.0,81.0,0.0044,0.0139,0.008,143.09,167.56,35.0,376.76,272.18,813817.0,374272.0,45.0,1336595.0,57.0,0.0132,0.0011,45.0,37.0,0.0066,52.0,97055.0,601,669224.0
0.021,72.0,17.01,4.0,108.85,46.47,2499436.0,0.0003,1633.0,15.0,184.99,0.0153,279070.0,3422322.0,53954.0,81.0,0.0047,0.012,0.0077,143.15,167.36,35.0,376.9,272.71,829543.0,381472.0,42.0,1404881.0,57.0,0.0128,0.0026,45.0,37.0,0.0055,42.0,100655.0,603,705312.0
0.0193,72.0,17.02,4.0,108.79,46.28,2577929.0,0.0005,1634.67,15.0,184.88,0.0143,297472.0,3500783.0,57118.0,81.0,0.0041,0.0129,0.0083,143.09,167.65,35.0,376.62,272.46,876674.0,393115.0,42.0,1461965.0,57.0,0.0132,0.0015,45.0,37.0,0.006,42.0,112249.0,605,740441.0
0.0211,72.0,17.02,4.0,108.78,46.34,2635644.0,0.006,1631.08,14.0,185.15,0.0165,312260.0,3564450.0,60234.0,81.0,0.0044,0.0109,0.0069,143.06,167.34,35.0,374.55,273.0,922413.0,400340.0,48.0,1500943.0,57.0,0.0135,0.0002,45.0,37.0,0.0061,50.0,113325.0,607,781454.0
0.0211,72.0,17.01,4.0,108.84,46.38,2659669.0,0.0053,1632.57,14.0,185.05,0.0156,316860.0,3591818.0,62034.0,81.0,0.005,0.0109,0.0074,143.02,167.34,35.0,374.8,273.0,934533.0,402863.0,48.0,1524478.0,57.0,0.0137,0.0006,45.0,37.0,0.0056,50.0,114425.0,608,796534.0
0.0215,72.0,17.03,4.0,108.81,46.55,2682453.0,0.0048,1631.77,14.0,185.14,0.016,319950.0,3616391.0,64834.0,81.0,0.0038,0.0104,0.0069,143.08,167.28,35.0,375.0,273.16,939508.0,404763.0,48.0,1537000.0,57.0,0.0133,0.0043,45.0,37.0,0.0058,50.0,116095.0,609,820516.0
0.0222,72.0,17.04,4.0,108.76,46.5,2702336.0,0.0061,1629.93,13.0,185.03,0.0172,325750.0,3644068.0,65234.0,81.0,0.0029,0.0099,0.0075,143.03,167.16,35.0,374.5,273.29,957285.0,409671.0,48.0,1551955.0,57.0,0.0137,0.0032,45.0,37.0,0.0063,51.0,117795.0,610,830712.0
0.0225,72.0,17.03,4.0,108.76,46.39,2732170.0,0.0087,1628.15,13.0,185.07,0.0182,332350.0,3683199.0,66234.0,81.0,0.0035,0.0123,0.0073,142.84,167.11,35.0,373.5,272.62,983268.0,413612.0,48.0,1571523.0,57.0,0.015,0.0009,45.0,37.0,0.0063,51.0,118995.0,611,839801.0
0.0218,72.0,17.05,4.0,108.94,46.39,2759732.0,0.0074,1629.7,13.0,185.17,0.0173,337364.0,3710789.0,66234.0,81.0,0.0026,0.011,0.0068,143.01,167.22,35.0,374.0,272.98,991646.0,417087.0,48.0,1582199.0,57.0,0.0138,0.0009,45.0,37.0,0.0047,51.0,119495.0,612,844084.0
0.0223,72.0,17.04,4.0,108.77,46.54,2779922.0,0.0074,1629.23,13.0,185.08,0.0176,349388.0,3736890.0,66654.0,81.0,0.0032,0.0109,0.0073,142.97,167.15,35.0,374.0,273.0,1002761.0,418336.0,47.0,1588348.0,57.0,0.014,0.0041,45.0,37.0,0.0062,50.0,120395.0,613,853812.0
0.0228,72.0,17.02,4.0,108.77,46.54,2802072.0,0.0084,1629.22,13.0,185.0,0.0176,360760.0,3769778.0,66654.0,81.0,0.0041,0.0108,0.0077,143.03,167.06,35.0,373.63,273.04,1005961.0,419996.0,47.0,1602449.0,57.0,0.0137,0.0041,45.0,37.0,0.0062,50.0,122855.0,614,868181.0
0.0217,72.0,17.01,4.0,108.88,46.56,2830061.0,0.0068,1631.79,13.0,185.07,0.016,402640.0,3830746.0,67054.0,81.0,0.0047,0.0071,0.0073,143.16,167.24,35.0,374.22,274.06,1010676.0,424356.0,47.0,1664610.0,57.0,0.0128,0.0045,45.0,37.0,0.0052,50.0,124855.0,615,885805.0
0.0205,72.0,17.0,4.0,108.97,46.65,2866123.0,0.0064,1634.8,14.0,184.92,0.0142,409046.0,3868818.0,67454.0,81.0,0.0053,0.0051,0.0081,143.35,167.45,35.0,374.39,274.6,1014500.0,430452.0,48.0,1706962.0,57.0,0.0114,0.0065,45.0,37.0,0.0044,50.0,127755.0,616,903716.0
0.0193,72.0,16.98,4.0,109.15,46.74,2912815.0,0.0055,1635.86,14.0,185.02,0.0136,416646.0,3949959.0,68254.0,81.0,0.0067,0.0034,0.0076,143.41,167.65,35.0,374.72,275.07,1021051.0,438963.0,48.0,1751061.0,57.0,0.011,0.0084,45.0,37.0,0.0027,50.0,133605.0,617,915601.0
0.0198,72.0,16.96,4.0,109.08,46.62,2962408.0,0.0091,1634.0,14.0,184.98,0.0147,437658.0,4002240.0,68854.0,81.0,0.0076,0.0063,0.0078,143.4,167.56,35.0,373.37,274.27,1049701.0,442743.0,48.0,1757531.0,57.0,0.0111,0.0058,45.0,37.0,0.0034,50.0,135505.0,618,925254.0
0.0212,72.0,16.95,4.0,109.05,46.64,2988160.0,0.0075,1635.09,15.0,184.85,0.014,440908.0,4036314.0,72454.0,81.0,0.0082,0.0058,0.0085,143.48,167.33,35.0,373.95,274.42,1067593.0,445494.0,47.0,1764061.0,57.0,0.0106,0.0063,45.0,37.0,0.0037,50.0,136495.0,619,929811.0
0.0219,72.0,16.94,4.0,109.06,46.64,3007670.0,0.007,1633.01,15.0,184.7,0.0153,445716.0,4095305.0,72454.0,81.0,0.0091,0.006,0.0093,143.61,167.21,35.0,374.14,274.36,1076320.0,447224.0,47.0,1784462.0,57.0,0.0097,0.0063,45.0,37.0,0.0036,50.0,137695.0,620,935493.0
0.0223,72.0,16.94,4.0,109.0,46.49,3031196.0,0.0077,1633.07,15.0,184.5,0.0153,447984.0,4131362.0,75046.0,81.0,0.0091,0.0081,0.0104,143.41,167.14,35.0,373.87,273.79,1080120.0,449282.0,47.0,1812327.0,57.0,0.011,0.003,45.0,37.0,0.0041,50.0,138495.0,621,943031.0
0.0219,72.0,16.93,4.0,109.05,46.47,3051063.0,0.0086,1631.78,15.0,184.54,0.016,450080.0,4157547.0,78446.0,81.0,0.0094,0.01,0.0101,143.34,167.21,35.0,373.54,273.26,1085260.0,451382.0,46.0,1824777.0,57.0,0.0115,0.0026,45.0,37.0,0.0037,50.0,139395.0,622,956520.0
0.0216,72.0,16.93,4.0,109.09,46.47,3078472.0,0.0085,1633.99,15.0,184.68,0.0147,455280.0,4185433.0,78446.0,81.0,0.0094,0.0071,0.0094,143.49,167.26,35.0,373.58,274.07,1087370.0,453232.0,46.0,1843911.0,57.0,0.0105,0.0026,45.0,37.0,0.0033,50.0,141660.0,623,974693.0
0.0226,72.0,16.96,4.0,108.94,46.47,3108755.0,0.0083,1631.67,15.0,184.72,0.0161,458730.0,4249253.0,78446.0,81.0,0.0076,0.0083,0.0092,143.51,167.08,35.0,373.66,273.73,1090085.0,460099.0,46.0,1880511.0,57.0,0.0103,0.0026,45.0,37.0,0.0047,50.0,198298.0,624,982867.0
0.0239,72.0,16.98,4.0,108.86,46.47,3143769.0,0.0078,1631.0,15.0,184.8,0.0165,471946.0,4391537.0,78446.0,81.0,0.0064,0.0092,0.0087,143.56,166.86,35.0,373.87,273.48,1097415.0,466772.0,47.0,1899026.0,57.0,0.01,0.0026,45.0,37.0,0.0054,51.0,218836.0,625,987881.0
0.024,72.0,16.98,4.0,108.85,46.54,3168150.0,0.008,1631.0,15.0,184.91,0.0165,480716.0,4472933.0,78646.0,81.0,0.0064,0.0084,0.0082,143.62,166.83,35.0,373.76,273.7,1101562.0,469097.0,47.0,1917966.0,57.0,0.0096,0.0041,45.0,37.0,0.0055,51.0,228890.0,626,993862.0
0.0277,72.0,16.96,4.0,108.6,46.54,3228034.0,0.0081,1628.0,15.0,184.83,0.0183,488798.0,4719835.0,78646.0,81.0,0.0076,0.0127,0.0086,143.29,166.21,35.0,373.72,272.52,1108124.0,479879.0,47.0,1942845.0,57.0,0.0119,0.0041,45.0,37.0,0.0078,51.0,232024.0,627,1001081.0
0.0265,72.0,16.95,4.0,108.57,46.44,3270233.0,0.0069,1627.32,15.0,184.77,0.0187,492880.0,4830293.0,79046.0,81.0,0.0085,0.0118,0.0089,143.33,166.42,35.0,374.19,272.78,1113074.0,487495.0,45.0,1965560.0,57.0,0.0116,0.0019,45.0,37.0,0.008,51.0,233124.0,628,1015378.0
0.0271,72.0,16.95,4.0,108.45,46.5,3303887.0,0.0055,1627.16,15.0,184.79,0.0188,497080.0,4874559.0,79846.0,81.0,0.0085,0.0116,0.0088,143.18,166.32,35.0,374.73,272.83,1127968.0,494170.0,45.0,1986244.0,57.0,0.0126,0.0032,45.0,37.0,0.0091,51.0,233724.0,629,1019542.0
0.0273,72.0,16.93,4.0,108.42,46.51,3370357.0,0.0063,1627.44,15.0,184.64,0.0187,510880.0,4938060.0,80846.0,81.0,0.0092,0.0134,0.0096,143.31,166.28,35.0,374.4,272.32,1131918.0,498966.0,45.0,2004867.0,57.0,0.0117,0.0034,45.0,37.0,0.0095,51.0,238229.0,630,1034750.0
0.0281,72.0,16.91,4.0,108.35,46.44,3410730.0,0.0055,1626.66,15.0,184.63,0.0191,515680.0,5015463.0,81046.0,81.0,0.0108,0.0145,0.0097,143.19,166.15,35.0,374.7,272.02,1143918.0,503339.0,46.0,2016473.0,57.0,0.0126,0.0019,45.0,37.0,0.0101,49.0,256361.0,631,1049040.0
0.027,72.0,16.91,4.0,108.47,46.53,3454175.0,0.0048,1628.01,15.0,184.65,0.0183,521316.0,5070605.0,81246.0,81.0,0.0105,0.0132,0.0095,143.24,166.33,35.0,375.0,272.38,1149183.0,505285.0,46.0,2029499.0,57.0,0.0122,0.0039,45.0,37.0,0.009,49.0,258361.0,632,1054582.0
0.0273,72.0,16.91,4.0,108.43,46.5,3497802.0,0.0048,1627.2,15.0,184.53,0.0188,523716.0,5109602.0,81446.0,81.0,0.0105,0.0139,0.0102,143.18,166.28,35.0,374.99,272.18,1152887.0,506610.0,46.0,2113170.0,57.0,0.0126,0.0031,45.0,36.0,0.0093,49.0,259761.0,633,1057978.0
0.0276,72.0,16.89,4.0,108.44,46.46,3550307.0,0.0065,1626.02,15.0,184.33,0.0195,531598.0,5202275.0,82046.0,81.0,0.0114,0.0153,0.0113,142.96,166.24,35.0,374.35,271.8,1159341.0,518328.0,47.0,2145871.0,57.0,0.0141,0.0024,45.0,36.0,0.0092,51.0,264261.0,634,1064998.0
0.0277,66.0,16.89,4.0,108.4,46.44,3576578.0,0.0066,1627.44,15.0,184.32,0.0187,534988.0,5269623.0,82446.0,76.0,0.0117,0.0134,0.0113,142.99,166.22,39.0,374.3,272.32,1163581.0,523035.0,47.0,2169617.0,57.0,0.0139,0.0019,47.0,36.0,0.0096,51.0,266861.0,635,1069634.0
0.0269,66.0,16.9,4.0,108.38,46.44,3631198.0,0.0064,1626.98,15.0,184.31,0.0189,537788.0,5324222.0,82446.0,76.0,0.0114,0.0125,0.0114,143.06,166.35,39.0,374.37,272.57,1166735.0,528709.0,47.0,2176983.0,57.0,0.0134,0.0019,47.0,36.0,0.0098,51.0,269061.0,636,1074791.0
0.0259,66.0,16.91,4.0,108.47,46.51,3659002.0,0.0066,1626.53,15.0,184.14,0.0192,542788.0,5372548.0,82846.0,76.0,0.0105,0.0119,0.0123,142.96,166.52,39.0,374.31,272.74,1167425.0,531709.0,46.0,2198024.0,57.0,0.0141,0.0035,47.0,36.0,0.009,50.0,269561.0,637,1077753.0
0.0249,66.0,16.91,4.0,108.47,46.51,3691401.0,0.0049,1626.68,15.0,184.21,0.0191,550688.0,5419839.0,82846.0,76.0,0.0105,0.0118,0.0119,143.1,166.69,39.0,374.95,272.78,1171705.0,535555.0,46.0,2219602.0,57.0,0.0132,0.0035,47.0,36.0,0.009,50.0,272261.0,638,1083228.0
0.0252,66.0,16.94,4.0,108.43,46.61,3727225.0,0.0057,1625.34,15.0,184.26,0.0199,551888.0,5464666.0,83246.0,76.0,0.0091,0.0114,0.0116,143.04,166.65,39.0,374.65,272.86,1181699.0,547168.0,46.0,2253728.0,57.0,0.0136,0.0056,47.0,36.0,0.0093,50.0,278660.0,639,1087471.0
0.0238,66.0,16.96,4.0,108.49,46.61,3771947.0,0.0058,1627.59,15.0,184.31,0.0186,556888.0,5512191.0,83246.0,76.0,0.0079,0.0097,0.0114,143.04,166.88,39.0,374.67,273.35,1189553.0,555192.0,44.0,2288260.0,57.0,0.0136,0.0056,47.0,36.0,0.0087,51.0,282340.0,640,1091657.0
0.0236,66.0,16.95,4.0,108.54,46.54,3802060.0,0.0055,1630.0,15.0,184.23,0.0171,561708.0,5547364.0,83446.0,76.0,0.0085,0.0106,0.0118,142.98,166.92,39.0,374.7,273.1,1191503.0,560081.0,44.0,2311299.0,57.0,0.014,0.0041,47.0,36.0,0.0084,51.0,287022.0,641,1093761.0
0.023,66.0,16.95,4.0,108.48,46.54,3829127.0,0.0059,1629.02,15.0,184.32,0.0177,566512.0,5621543.0,83446.0,76.0,0.0082,0.008,0.0113,143.03,167.02,39.0,374.56,273.8,1192203.0,561631.0,44.0,2323023.0,57.0,0.0137,0.0041,47.0,36.0,0.0089,51.0,292222.0,642,1101149.0
