qLearning net worth,Base case net worth,Difference
102943960.00000003,102943960.0,2.9802322387695312e-08
102943720.24000002,102943720.0,0.24000002443790436
102941373.30000004,102941370.0,3.3000000417232513
102942521.49000002,102942520.0,1.4900000244379044
102941136.04000004,102941130.0,6.040000036358833
102948091.54000004,102948100.0,-8.459999963641167
102947461.23000005,102947470.0,-8.769999951124191
102950042.90000007,102950060.0,-17.09999993443489
102947821.94000009,102947830.0,-8.059999912977219
102951018.5400001,102951040.0,-21.459999904036522
102951974.9200001,102952000.0,-25.079999893903732
102949852.57000011,102949870.0,-17.429999887943268
102956089.90000013,102956130.0,-40.099999874830246
102958032.51000014,102958070.0,-37.48999986052513
102955637.62000011,102955670.0,-32.3799998909235
102953695.1800001,102953730.0,-34.819999903440475
102953025.9700001,102953060.0,-34.029999896883965
102954275.5300001,102954310.0,-34.46999989449978
102955134.4200001,102955170.0,-35.57999989390373
102953147.4300001,102953180.0,-32.569999903440475
102950888.49000008,102950910.0,-21.50999991595745
102951832.96000007,102951860.0,-27.039999932050705
102951810.74000005,102951840.0,-29.259999945759773
102951986.81000006,102952020.0,-33.18999993801117
102956092.88000005,102956150.0,-57.11999994516373
102956520.00000006,102956580.0,-59.999999940395355
102957335.09000006,102957400.0,-64.90999993681908
102957036.07000007,102957100.0,-63.92999993264675
102952747.09000006,102952780.0,-32.90999993681908
102953655.75000009,102953700.0,-44.24999991059303
102950220.49000008,102950240.0,-19.50999991595745
102950379.43000008,102950400.0,-20.569999918341637
102948665.58000009,102948670.0,-4.419999912381172
102947624.45000008,102947620.0,4.450000077486038
102948458.49000008,102948460.0,-1.5099999159574509
102948323.57000007,102948320.0,3.5700000673532486
102949184.73000006,102949190.0,-5.26999993622303
102947384.67000006,102947370.0,14.670000061392784
102948798.65000007,102948800.0,-1.3499999344348907
102948997.58000007,102949000.0,-2.4199999272823334
102949928.11000007,102949940.0,-11.88999992609024
102946686.26000006,102946650.0,36.26000006496906
102947030.50000009,102947000.0,30.500000089406967
102945855.28000008,102945810.0,45.2800000756979
102946375.64000008,102946340.0,35.64000007510185
102942739.24000008,102942640.0,99.24000008404255
102943336.64000008,102943250.0,86.64000007510185
