qLearning net worth,Base case net worth,Difference
102943959.99999999,102943960.0,-1.4901161193847656e-08
102943720.47,102943720.0,0.4699999988079071
102941370.82,102941370.0,0.8199999928474426
102942519.92,102942520.0,-0.07999999821186066
102941130.43,102941130.0,0.4300000071525574
102948101.90000002,102948100.0,1.9000000208616257
102947469.38000001,102947470.0,-0.6199999898672104
102950064.71000001,102950060.0,4.71000000834465
102947831.37000002,102947830.0,1.3700000196695328
102951046.83000003,102951040.0,6.830000028014183
102952007.28000003,102952000.0,7.280000030994415
102949875.40000002,102949870.0,5.400000020861626
102956140.90000004,102956130.0,10.900000035762787
102958086.20000002,102958070.0,16.200000017881393
102955683.80000003,102955670.0,13.80000002682209
102953738.25000001,102953730.0,8.250000014901161
102953067.03,102953060.0,7.030000001192093
102954318.66999999,102954310.0,8.669999986886978
102955177.02000001,102955170.0,7.020000010728836
102953183.01000002,102953180.0,3.0100000202655792
102950913.6,102950910.0,3.5999999940395355
102951863.38999999,102951860.0,3.3899999856948853
102951843.05999997,102951840.0,3.0599999725818634
102952020.02999999,102952020.0,0.0299999862909317
102956138.94000001,102956150.0,-11.059999987483025
102956569.85,102956580.0,-10.150000005960464
102957389.29999998,102957400.0,-10.700000017881393
102957088.43999998,102957100.0,-11.560000017285347
102952785.91999999,102952780.0,5.919999986886978
102953696.0,102953700.0,-4.0
102950244.92999999,102950240.0,4.929999992251396
102950406.02,102950400.0,6.019999995827675
102948683.5,102948670.0,13.5
102947636.89,102947620.0,16.890000000596046
102948470.08999999,102948460.0,10.089999988675117
102948340.87999997,102948320.0,20.879999965429306
102949202.76999997,102949190.0,12.769999966025352
102947393.77999996,102947370.0,23.77999995648861
102948810.35999995,102948800.0,10.35999995470047
102949015.32999995,102949000.0,15.329999953508377
102949943.97999994,102949940.0,3.9799999445676804
102946670.41999994,102946650.0,20.419999942183495
102947017.96999997,102947000.0,17.969999969005585
102945837.16999997,102945810.0,27.169999971985817
102946359.02999997,102946340.0,19.02999997138977
102942692.68999997,102942640.0,52.68999996781349
102943295.20999996,102943250.0,45.20999996364117
102942528.38999996,102942470.0,58.38999995589256
102944869.52999994,102944840.0,29.529999941587448
