qLearning net worth,Base case net worth,Difference
102906140.0,102906140.0,0.0
102905690.82000001,102905690.0,0.8200000077486038
102911828.99,102911830.0,-1.010000005364418
102913218.85999998,102913220.0,-1.1400000154972076
102916888.63,102916890.0,-1.3700000047683716
102919997.15999998,102920000.0,-2.84000001847744
102914489.76999998,102914490.0,-0.23000001907348633
102914668.52999999,102914670.0,-1.4700000137090683
102917898.28999998,102917900.0,-1.7100000232458115
102907119.35999998,102907100.0,19.359999984502792
102909327.32000001,102909310.0,17.320000007748604
102901190.61000001,102901150.0,40.610000014305115
102903018.57000002,102902980.0,38.570000022649765
102902432.40000002,102902390.0,42.400000020861626
102905989.12000002,102905960.0,29.120000019669533
102905188.77000001,102905160.0,28.770000010728836
102903961.11000001,102903930.0,31.110000014305115
102901762.08,102901730.0,32.07999999821186
102896914.74,102896880.0,34.73999999463558
102893106.44000001,102893070.0,36.440000012516975
102884488.13000001,102884450.0,38.13000001013279
102883914.31000003,102883880.0,34.31000003218651
102890023.99000004,102889990.0,33.990000039339066
102892296.93000004,102892260.0,36.93000003695488
102892666.25000003,102892630.0,36.25000002980232
102892523.50000003,102892490.0,33.50000002980232
102890224.71000002,102890200.0,24.71000002324581
102885576.74000004,102885560.0,16.740000039339066
102885625.75000003,102885610.0,15.750000029802322
102889534.50000004,102889510.0,24.500000044703484
102885926.78000005,102885910.0,16.780000045895576
102880020.02000003,102880030.0,-9.979999974370003
102887665.88000004,102887650.0,15.880000039935112
102884903.81000003,102884900.0,3.810000032186508
102881196.74000002,102881210.0,-13.259999975562096
102876519.86000001,102876550.0,-30.139999985694885
102874220.47000001,102874260.0,-39.52999998629093
102872107.57000001,102872160.0,-52.429999992251396
102874449.27000001,102874490.0,-40.729999989271164
102878629.96000004,102878650.0,-20.039999961853027
102875604.60000004,102875640.0,-35.39999996125698
102868703.01000004,102868780.0,-76.98999996483326
102859321.37000005,102859460.0,-138.62999995052814
102864361.77000006,102864470.0,-108.22999994456768
102865980.39000005,102866080.0,-99.60999995470047
102866226.52000004,102866320.0,-93.47999995946884
102867041.59000003,102867130.0,-88.4099999666214
102874865.29000004,102874920.0,-54.70999996364117
102877551.60000002,102877590.0,-38.39999997615814
102886141.33000003,102886130.0,11.330000028014183
102889203.48000002,102889170.0,33.480000019073486
102888350.21000002,102888320.0,30.21000002324581
102890398.57000004,102890350.0,48.570000037550926
102899033.65000005,102898930.0,103.65000005066395
102898366.57000005,102898270.0,96.57000005245209
102900588.73000003,102900470.0,118.73000003397465
102896568.32000004,102896490.0,78.32000003755093
102893405.48000003,102893360.0,45.48000003397465
102896533.36000001,102896450.0,83.36000001430511
102893733.25000001,102893670.0,63.25000001490116
102899248.58000003,102899130.0,118.58000002801418
102907528.30000003,102907340.0,188.3000000268221
102905914.56000002,102905740.0,174.56000001728535
102901198.80000004,102901070.0,128.80000004172325
102903860.85000004,102903710.0,150.85000003874302
102899149.60000002,102899040.0,109.60000002384186
102899194.58000003,102899090.0,104.58000002801418
102903518.88000003,102903370.0,148.88000002503395
102905869.33000004,102905700.0,169.33000004291534
