qLearning net worth,Base case net worth,Difference
102906140.00000001,102906140.0,1.4901161193847656e-08
102905689.39999999,102905690.0,-0.6000000089406967
102911829.45000002,102911830.0,-0.5499999821186066
102913219.59,102913220.0,-0.4099999964237213
102916890.49000002,102916890.0,0.49000002443790436
102920003.16000001,102920000.0,3.1600000113248825
102914493.90000002,102914490.0,3.9000000208616257
102914674.31,102914670.0,4.310000002384186
102917901.38000001,102917900.0,1.3800000101327896
102907105.70000002,102907100.0,5.700000017881393
102909313.32000002,102909310.0,3.320000022649765
102901159.58000003,102901150.0,9.580000028014183
102902983.92000005,102902980.0,3.920000046491623
102902395.17000003,102902390.0,5.170000031590462
102905957.29000004,102905960.0,-2.7099999636411667
102905159.64000005,102905160.0,-0.35999995470046997
102903932.91000004,102903930.0,2.910000041127205
102901740.47000006,102901730.0,10.470000058412552
102896902.93000007,102896880.0,22.930000066757202
102893108.26000008,102893070.0,38.260000079870224
102884515.56000008,102884450.0,65.56000007688999
102883950.39000009,102883880.0,70.39000009000301
102890032.10000008,102889990.0,42.1000000834465
102892287.85000008,102892260.0,27.850000083446503
102892657.21000008,102892630.0,27.210000082850456
102892516.2700001,102892490.0,26.270000100135803
102890240.2700001,102890200.0,40.2700001001358
102885622.2500001,102885560.0,62.25000010430813
102885672.72000012,102885610.0,62.7200001180172
102889554.77000013,102889510.0,44.770000129938126
102885970.64000013,102885910.0,60.6400001347065
102880103.76000014,102880030.0,73.76000013947487
102887694.51000014,102887650.0,44.51000013947487
102884954.69000013,102884900.0,54.690000131726265
102881283.54000014,102881210.0,73.54000014066696
102876643.09000015,102876550.0,93.09000015258789
102874365.59000017,102874260.0,105.59000016748905
102872275.56000017,102872160.0,115.56000016629696
102874588.31000018,102874490.0,98.31000018119812
102878722.1200002,102878650.0,72.12000019848347
102875729.2000002,102875640.0,89.20000019669533
102868913.1200002,102868780.0,133.12000019848347
102859661.09000021,102859460.0,201.09000021219254
102864629.32000019,102864470.0,159.32000018656254
102866224.44000018,102866080.0,144.44000017642975
102866461.85000017,102866320.0,141.85000017285347
102867264.6300002,102867130.0,134.63000020384789
102874965.88000019,102874920.0,45.880000188946724
102877599.91000018,102877590.0,9.910000175237656
102886042.43000019,102886130.0,-87.56999981403351
102889044.64000018,102889170.0,-125.35999982059002
102888202.30000018,102888320.0,-117.6999998241663
102890212.0300002,102890350.0,-137.9699998050928
102898713.00000022,102898930.0,-216.99999977648258
102898056.85000022,102898270.0,-213.14999978244305
102900236.9400002,102900470.0,-233.05999979376793
102896282.31000021,102896490.0,-207.68999978899956
102893172.75000018,102893360.0,-187.24999982118607
102896241.35000017,102896450.0,-208.64999982714653
102893473.31000017,102893670.0,-196.68999983370304
102898905.51000017,102899130.0,-224.4899998307228
102907082.41000018,102907340.0,-257.58999982476234
102905485.07000016,102905740.0,-254.92999984323978
102900826.17000017,102901070.0,-243.8299998342991
102903459.85000017,102903710.0,-250.14999982714653
102898791.29000016,102899040.0,-248.70999984443188
102898842.82000016,102899090.0,-247.17999984323978
102903115.03000014,102903370.0,-254.96999986469746
102905448.25000013,102905700.0,-251.74999986588955
102903502.87000012,102903750.0,-247.12999987602234
102903359.78000012,102903610.0,-250.21999987959862
102908329.22000013,102908570.0,-240.77999986708164
102900974.77000014,102901240.0,-265.2299998551607
102900864.72000013,102901130.0,-265.27999986708164
102892598.02000014,102892880.0,-281.9799998551607
102888376.97000015,102888670.0,-293.0299998521805
102891156.36000015,102891450.0,-293.63999985158443
102887284.89000015,102887580.0,-295.10999985039234
102883853.78000014,102884150.0,-296.21999986469746
102876808.93000011,102877100.0,-291.0699998885393
102877959.38000011,102878250.0,-290.6199998855591
102882159.92000012,102882460.0,-300.07999987900257
102881819.33000013,102882120.0,-300.6699998676777
102887104.94000015,102887430.0,-325.0599998533726
102889384.53000014,102889720.0,-335.46999986469746
102887941.34000014,102888270.0,-328.65999986231327
102886366.01000012,102886700.0,-333.9899998754263
102885502.60000014,102885830.0,-327.39999985694885
102887257.59000015,102887590.0,-332.4099998474121
102891035.94000016,102891380.0,-344.0599998384714
102895658.89000013,102896000.0,-341.1099998652935
102892777.40000013,102893120.0,-342.59999987483025
102888921.64000013,102889270.0,-348.3599998652935
102886906.96000014,102887250.0,-343.0399998575449
102885815.09000015,102886170.0,-354.9099998474121
102880971.63000016,102881330.0,-358.3699998408556
102884021.37000015,102884370.0,-348.62999984622
102882492.10000017,102882830.0,-337.89999982714653
102879559.95000017,102879900.0,-340.049999833107
102879129.66000016,102879470.0,-340.3399998396635
102877846.34000015,102878190.0,-343.6599998474121
102875473.56000015,102875840.0,-366.4399998486042
102879759.37000015,102880140.0,-380.62999984622
102874981.86000018,102875350.0,-368.1399998217821
102876977.48000017,102877360.0,-382.5199998319149
102875067.12000015,102875440.0,-372.87999984622
102876076.93000014,102876450.0,-373.069999858737
102880138.86000015,102880540.0,-401.13999985158443
102887300.43000014,102887700.0,-399.569999858737
102883460.81000015,102883850.0,-389.1899998486042
102886102.91000016,102886500.0,-397.0899998396635
102887135.26000015,102887540.0,-404.73999984562397
102893390.36000015,102893810.0,-419.63999985158443
102902620.30000015,102903030.0,-409.6999998539686
102908346.09000015,102908740.0,-393.9099998474121
102902752.42000015,102903180.0,-427.57999984920025
102904219.54000014,102904640.0,-420.45999985933304
102910551.91000015,102910950.0,-398.08999985456467
102910616.11000016,102911000.0,-383.8899998366833
102918368.60000019,102918700.0,-331.39999981224537
102916222.33000019,102916560.0,-337.66999980807304
102912031.25000021,102912410.0,-378.74999979138374
102907893.6600002,102908320.0,-426.33999979496
102912099.9700002,102912490.0,-390.02999979257584
102912080.56000021,102912480.0,-399.43999978899956
102918770.79000022,102919100.0,-329.20999978482723
102923519.3700002,102923800.0,-280.62999980151653
102926143.2000002,102926400.0,-256.7999998033047
102921576.91000019,102921900.0,-323.0899998098612
102922657.80000019,102922980.0,-322.19999980926514
102924133.40000018,102924440.0,-306.5999998152256
102924568.35000017,102924850.0,-281.64999982714653
102921999.73000017,102922340.0,-340.2699998319149
102920018.45000018,102920400.0,-381.54999981820583
102921282.88000016,102921640.0,-357.1199998408556
