qLearning net worth,Base case net worth,Difference
102977950.0,102977950.0,0.0
102972815.14000002,102972810.0,5.140000015497208
102978763.61999999,102978770.0,-6.38000001013279
102980781.76,102980790.0,-8.239999994635582
102977944.92000002,102977950.0,-5.0799999833106995
102974564.37000002,102974560.0,4.370000019669533
102973438.09000002,102973430.0,8.09000001847744
102970706.04000002,102970690.0,16.040000021457672
102966170.35000001,102966150.0,20.350000008940697
102965723.15,102965700.0,23.150000005960464
102965053.48000003,102965030.0,23.480000033974648
102964328.52000004,102964300.0,28.52000004053116
102969744.70000003,102969740.0,4.700000032782555
102968458.08000003,102968450.0,8.080000028014183
102974062.68000002,102974080.0,-17.31999997794628
102975903.82000004,102975930.0,-26.179999962449074
102976008.14000003,102976040.0,-31.85999996960163
102972103.24000004,102972110.0,-6.7599999606609344
102970661.42000003,102970660.0,1.4200000315904617
102967660.18000004,102967640.0,20.18000003695488
102974563.13000004,102974580.0,-16.869999960064888
102972921.77000004,102972930.0,-8.229999959468842
102971315.59000003,102971320.0,-4.409999966621399
102974587.94000003,102974610.0,-22.059999972581863
102978753.19000003,102978800.0,-46.80999997258186
102978015.35000004,102978060.0,-44.64999996125698
102973450.18000004,102973460.0,-9.81999996304512
102973359.64000005,102973370.0,-10.35999995470047
102972628.14000005,102972640.0,-11.85999995470047
102971029.54000004,102971030.0,-0.4599999636411667
102972797.36000006,102972810.0,-12.639999940991402
102965964.94000004,102965930.0,34.9400000423193
102960711.75000004,102960640.0,71.75000004470348
102964388.38000003,102964350.0,38.38000002503395
102965615.82000002,102965590.0,25.820000022649765
102964795.71000001,102964760.0,35.71000000834465
102964845.83000001,102964810.0,35.83000001311302
102969243.84000002,102969250.0,-6.15999998152256
102965297.10000002,102965270.0,27.100000023841858
102968879.00000001,102968890.0,-10.999999985098839
102970158.10000002,102970180.0,-21.899999976158142
102975080.11000001,102975150.0,-69.88999998569489
102974504.93000002,102974570.0,-65.06999997794628
102977505.46000001,102977600.0,-94.53999999165535
102977852.05000001,102977950.0,-97.94999998807907
102980503.64,102980620.0,-116.35999999940395
102979369.59,102979480.0,-110.40999999642372
102974850.21000001,102974930.0,-79.78999999165535
102976369.41000001,102976460.0,-90.58999998867512
102977790.52,102977890.0,-99.48000000417233
102977536.35999998,102977630.0,-93.64000001549721
102976286.92999998,102976380.0,-93.07000002264977
102976765.47999997,102976860.0,-94.52000002563
102977659.62999998,102977760.0,-100.37000001966953
102979438.01999997,102979550.0,-111.98000003397465
102979077.28999996,102979190.0,-112.71000003814697
102981522.41999996,102981650.0,-127.58000004291534
102980349.13999996,102980470.0,-120.86000004410744
102990247.18999997,102990400.0,-152.8100000321865
102990796.40999997,102990950.0,-153.5900000333786
102989199.65999995,102989350.0,-150.34000004827976
102989123.80999994,102989270.0,-146.19000005722046
102986456.07999995,102986600.0,-143.92000004649162
102984574.40999994,102984720.0,-145.59000006318092
102980417.58999991,102980560.0,-142.4100000858307
102982076.90999992,102982220.0,-143.09000007808208
102980428.05999991,102980570.0,-141.94000008702278
102979697.53999989,102979840.0,-142.46000011265278
102976918.20999987,102977050.0,-131.7900001257658
102974793.00999987,102974930.0,-136.99000012874603
102975179.13999987,102975320.0,-140.8600001335144
102973294.38999987,102973430.0,-135.6100001335144
102976246.04999985,102976400.0,-153.95000015199184
102979239.20999984,102979400.0,-160.79000015556812
102967999.28999983,102968130.0,-130.71000017225742
102969632.57999985,102969770.0,-137.42000015079975
102966973.38999987,102967090.0,-116.6100001335144
102961096.39999989,102961190.0,-93.60000011324883
102963208.0699999,102963320.0,-111.93000009655952
102964626.12999989,102964740.0,-113.8700001090765
102962382.27999988,102962490.0,-107.7200001180172
102965962.83999988,102966100.0,-137.160000115633
102966502.42999987,102966640.0,-137.5700001269579
102967550.40999988,102967700.0,-149.59000012278557
102965136.01999989,102965270.0,-133.98000010848045
102969415.13999988,102969590.0,-174.86000011861324
102968202.42999989,102968370.0,-167.57000011205673
102967896.23999989,102968060.0,-163.76000010967255
102964505.40999989,102964650.0,-144.5900001078844
102968168.65999989,102968340.0,-171.3400001078844
102964363.7299999,102964510.0,-146.2700001001358
102963977.52999991,102964120.0,-142.47000008821487
102964249.10999991,102964390.0,-140.890000090003
102967032.79999991,102967200.0,-167.2000000923872
102967534.0899999,102967700.0,-165.91000010073185
102966049.1699999,102966200.0,-150.83000010252
102965541.81999989,102965690.0,-148.18000011146069
102963942.9699999,102964080.0,-137.03000010550022
102961927.2199999,102962060.0,-132.78000010550022
102960729.78999989,102960850.0,-120.21000011265278
102958798.79999991,102958910.0,-111.2000000923872
102958543.71999992,102958660.0,-116.2800000756979
102958768.73999994,102958880.0,-111.26000006496906
102961937.82999992,102962070.0,-132.17000007629395
102964827.03999993,102964980.0,-152.9600000679493
102962901.73999994,102963040.0,-138.26000006496906
102966164.39999993,102966320.0,-155.60000006854534
102966332.84999992,102966480.0,-147.15000008046627
102969174.23999992,102969330.0,-155.76000007987022
102969306.20999992,102969470.0,-163.79000008106232
102972516.82999992,102972700.0,-183.17000007629395
102970746.00999992,102970920.0,-173.99000008404255
102971486.65999992,102971650.0,-163.34000007808208
102973290.47999993,102973470.0,-179.52000007033348
102971732.22999991,102971910.0,-177.77000008523464
102971647.88999991,102971820.0,-172.11000008881092
102971752.54999991,102971920.0,-167.4500000923872
102968951.93999991,102969120.0,-168.06000009179115
102967917.23999992,102968080.0,-162.76000007987022
102968581.09999992,102968760.0,-178.90000008046627
102967310.91999994,102967480.0,-169.0800000578165
102967915.40999994,102968100.0,-184.59000006318092
102971788.00999996,102971960.0,-171.99000003933907
102969806.70999998,102969980.0,-173.29000002145767
102969210.38999997,102969380.0,-169.61000002920628
102971107.55999996,102971270.0,-162.4400000423193
102970906.80999994,102971070.0,-163.19000005722046
102966361.60999995,102966530.0,-168.39000004529953
102965882.90999997,102966070.0,-187.0900000333786
102965689.81999996,102965890.0,-200.18000003695488
102967303.44999996,102967480.0,-176.55000004172325
102964452.46,102964650.0,-197.5400000065565
102964624.4,102964810.0,-185.59999999403954
102967048.96,102967220.0,-171.0400000065565
102966560.05,102966740.0,-179.95000000298023
102966892.75999998,102967070.0,-177.2400000244379
102966062.93999997,102966230.0,-167.0600000321865
102965086.38999999,102965270.0,-183.61000001430511
102963071.24999997,102963260.0,-188.75000002980232
102964141.51999998,102964340.0,-198.4800000190735
102962807.45999998,102963010.0,-202.54000002145767
102964252.32999995,102964460.0,-207.67000004649162
102966072.44999993,102966300.0,-227.55000007152557
102966749.46999994,102966980.0,-230.53000006079674
102967046.93999997,102967280.0,-233.0600000321865
102966729.66,102966970.0,-240.34000000357628
102963293.06,102963520.0,-226.9399999976158
102962509.62,102962750.0,-240.37999999523163
102964407.05999999,102964650.0,-242.94000001251698
102966846.64999998,102967090.0,-243.35000002384186
102969205.52999997,102969440.0,-234.47000002861023
102970082.39999995,102970300.0,-217.60000005364418
102968147.40999995,102968380.0,-232.59000004827976
102965824.54999995,102966050.0,-225.45000004768372
102964422.76999994,102964670.0,-247.23000006377697
102965558.76999994,102965830.0,-271.23000006377697
102967135.19999994,102967410.0,-274.8000000566244
102966975.50999996,102967240.0,-264.49000003933907
