qLearning net worth,Base case net worth,Difference
102977950.0,102977950.0,0.0
102972814.45000002,102972810.0,4.450000017881393
102978771.08000001,102978770.0,1.0800000131130219
102980791.07000001,102980790.0,1.0700000077486038
102977946.79000002,102977950.0,-3.209999978542328
102974553.02000001,102974560.0,-6.979999989271164
102973422.64000002,102973430.0,-7.359999984502792
102970684.12000002,102970690.0,-5.879999980330467
102966135.74000001,102966150.0,-14.259999990463257
102965686.97,102965700.0,-13.030000001192093
102965015.30000003,102965030.0,-14.69999997317791
102964289.30000004,102964300.0,-10.699999958276749
102969724.80000004,102969740.0,-15.199999958276749
102968431.54000005,102968450.0,-18.459999948740005
102974060.74000004,102974080.0,-19.259999960660934
102975908.04000005,102975930.0,-21.959999948740005
102976011.62000005,102976040.0,-28.379999950528145
102972091.05000006,102972110.0,-18.949999943375587
102970643.08000004,102970660.0,-16.919999957084656
102967627.95000002,102967640.0,-12.049999982118607
102974559.28000002,102974580.0,-20.719999983906746
102972910.51000002,102972930.0,-19.48999997973442
102971297.62,102971320.0,-22.37999999523163
102974584.39999999,102974610.0,-25.600000008940697
102978766.36999999,102978800.0,-33.63000001013279
102978024.73,102978060.0,-35.269999995827675
102973439.87000002,102973460.0,-20.129999980330467
102973350.43000002,102973370.0,-19.56999997794628
102972615.10000001,102972640.0,-24.899999991059303
102971009.47000001,102971030.0,-20.52999998629093
102972789.62000002,102972810.0,-20.379999980330467
102965933.66000001,102965930.0,3.6600000113248825
102960661.23,102960640.0,21.230000004172325
102964350.41,102964350.0,0.4099999964237213
102965586.14999999,102965590.0,-3.8500000089406967
102964761.71999998,102964760.0,1.719999983906746
102964809.35,102964810.0,-0.6500000059604645
102969224.91999999,102969250.0,-25.080000013113022
102965263.87999998,102965270.0,-6.120000019669533
102968863.24999999,102968890.0,-26.75000001490116
102970144.1,102970180.0,-35.900000005960464
102975087.72999999,102975150.0,-62.270000010728836
102974514.69999999,102974570.0,-55.30000001192093
102977526.90999998,102977600.0,-73.09000001847744
102977872.08999999,102977950.0,-77.91000001132488
102980533.35999997,102980620.0,-86.64000003039837
102979394.22999996,102979480.0,-85.77000004053116
102974851.36999997,102974930.0,-78.63000002503395
102976382.51999998,102976460.0,-77.48000001907349
102977808.86999996,102977890.0,-81.13000003993511
102977550.92999996,102977630.0,-79.07000003755093
102976300.52999996,102976380.0,-79.47000004351139
102976779.91999996,102976860.0,-80.08000004291534
102977683.37999997,102977760.0,-76.6200000345707
102979466.77999996,102979550.0,-83.22000004351139
102979104.39999998,102979190.0,-85.60000002384186
102981561.84999998,102981650.0,-88.15000002086163
102980385.80999997,102980470.0,-84.19000002741814
102990323.3,102990400.0,-76.70000000298023
102990870.66999999,102990950.0,-79.33000001311302
102989265.87999998,102989350.0,-84.12000001966953
102989185.88999997,102989270.0,-84.11000002920628
102986513.40999997,102986600.0,-86.5900000333786
102984626.85999995,102984720.0,-93.14000004529953
102980454.78999993,102980560.0,-105.2100000679493
102982112.88999994,102982220.0,-107.1100000590086
102980464.22999993,102980570.0,-105.77000007033348
102979732.08999993,102979840.0,-107.91000007092953
102976940.94999991,102977050.0,-109.05000008642673
102974805.58999988,102974930.0,-124.41000011563301
102975192.05999987,102975320.0,-127.94000013172626
102973293.04999986,102973430.0,-136.95000013709068
102976265.77999987,102976400.0,-134.22000013291836
102979284.77999987,102979400.0,-115.22000013291836
102967959.55999984,102968130.0,-170.4400001615286
102969604.47999987,102969770.0,-165.52000012993813
102966922.56999987,102967090.0,-167.43000012636185
102960982.61999989,102961190.0,-207.38000011444092
102963112.56999989,102963320.0,-207.43000011146069
102964546.58999988,102964740.0,-193.410000115633
102962278.14999986,102962490.0,-211.85000014305115
102965897.41999987,102966100.0,-202.5800001323223
102966447.37999985,102966640.0,-192.62000015377998
102967502.98999986,102967700.0,-197.01000013947487
102965057.08999987,102965270.0,-212.91000013053417
102969384.18999986,102969590.0,-205.81000013649464
102968157.08999987,102968370.0,-212.91000013053417
102967843.91999987,102968060.0,-216.0800001323223
102964411.17999986,102964650.0,-238.82000014185905
102968116.62999986,102968340.0,-223.37000013887882
102964263.95999987,102964510.0,-246.0400001257658
102963883.36999989,102964120.0,-236.63000011444092
102964155.19999988,102964390.0,-234.80000011622906
102966966.00999989,102967200.0,-233.99000011384487
102967476.34999987,102967700.0,-223.65000012516975
102965980.16999985,102966200.0,-219.83000014722347
102965465.43999986,102965690.0,-224.56000013649464
102963850.44999987,102964080.0,-229.55000013113022
102961804.13999987,102962060.0,-255.8600001335144
102960600.98999986,102960850.0,-249.01000013947487
102958650.06999987,102958910.0,-259.93000012636185
102958388.84999987,102958660.0,-271.15000012516975
102958618.01999989,102958880.0,-261.98000010848045
102961814.50999989,102962070.0,-255.49000011384487
102964724.74999988,102964980.0,-255.2500001192093
102962786.09999989,102963040.0,-253.9000001102686
102966074.59999989,102966320.0,-245.4000001102686
102966249.30999987,102966480.0,-230.69000013172626
102969119.50999987,102969330.0,-210.49000012874603
102969248.85999988,102969470.0,-221.14000011980534
102972486.25999989,102972700.0,-213.74000011384487
102970700.62999988,102970920.0,-219.37000012397766
102971458.2199999,102971650.0,-191.78000010550022
102973275.7299999,102973470.0,-194.2700001001358
102971695.20999987,102971910.0,-214.7900001257658
102971611.54999988,102971820.0,-208.45000012218952
102971722.17999987,102971920.0,-197.8200001269579
102968884.28999987,102969120.0,-235.71000012755394
102967841.0799999,102968080.0,-238.92000010609627
102968504.51999992,102968760.0,-255.48000007867813
102967223.60999992,102967480.0,-256.39000007510185
102967829.12999994,102968100.0,-270.870000064373
102971742.75999995,102971960.0,-217.24000005424023
102969740.61999996,102969980.0,-239.3800000399351
102969139.71999997,102969380.0,-240.28000003099442
102971056.13999996,102971270.0,-213.86000004410744
102970847.39999996,102971070.0,-222.60000003874302
102966266.25999996,102966530.0,-263.74000003933907
102965775.43999997,102966070.0,-294.5600000321865
102965573.52999997,102965890.0,-316.47000002861023
102967207.25999998,102967480.0,-272.7400000244379
102964327.82,102964650.0,-322.18000000715256
102964503.77,102964810.0,-306.2300000041723
102966948.09,102967220.0,-271.9099999964237
102966452.36000001,102966740.0,-287.6399999856949
102966787.61999999,102967070.0,-282.3800000101328
102965957.75999998,102966230.0,-272.2400000244379
102964972.84,102965270.0,-297.1599999964237
102962945.38,102963260.0,-314.6200000047684
102964019.89,102964340.0,-320.10999999940395
102962675.53999999,102963010.0,-334.46000000834465
102964129.40999998,102964460.0,-330.59000001847744
102965962.78999998,102966300.0,-337.2100000232458
102966644.41,102966980.0,-335.5900000035763
102966947.56000003,102967280.0,-332.4399999678135
102966623.02000006,102966970.0,-346.9799999445677
102963167.43000007,102963520.0,-352.5699999332428
102962377.10000007,102962750.0,-372.89999993145466
102964289.56000006,102964650.0,-360.43999993801117
102966742.73000005,102967090.0,-347.2699999511242
102969118.70000003,102969440.0,-321.29999996721745
102970007.19000004,102970300.0,-292.8099999576807
102968054.19000006,102968380.0,-325.80999994277954
102965719.77000006,102966050.0,-330.2299999445677
102964302.00000004,102964670.0,-367.9999999552965
102965443.13000005,102965830.0,-386.8699999451637
102967029.76000004,102967410.0,-380.23999996483326
102966868.83000006,102967240.0,-371.1699999421835
102966710.53000008,102967120.0,-409.4699999243021
102962705.69000006,102963140.0,-434.30999994277954
102962274.24000007,102962740.0,-465.7599999308586
102962449.2700001,102962890.0,-440.7299998998642
102964675.2100001,102965090.0,-414.7899999022484
102966805.0100001,102967250.0,-444.9899999052286
102973067.9600001,102973450.0,-382.0399999022484
102971755.32000011,102972140.0,-384.67999988794327
102972938.46000011,102973320.0,-381.5399998873472
102972141.24000011,102972540.0,-398.75999988615513
102973906.9900001,102974270.0,-363.0099999010563
102971544.9000001,102971940.0,-395.09999990463257
102976494.3200001,102976840.0,-345.67999990284443
102980465.90000011,102980770.0,-304.0999998897314
102979594.58000012,102979910.0,-315.41999988257885
102982979.02000012,102983250.0,-270.97999988496304
102982755.10000011,102983010.0,-254.89999988675117
102980101.8900001,102980380.0,-278.1099998950958
102979433.77000012,102979710.0,-276.22999988496304
102979915.84000011,102980170.0,-254.1599998921156
102978601.12000012,102978890.0,-288.87999987602234
102976709.99000011,102977010.0,-300.00999988615513
102971192.1300001,102971540.0,-347.86999990046024
102971693.11000013,102972020.0,-326.8899998664856
102970697.47000015,102971050.0,-352.5299998521805
102969347.85000014,102969710.0,-362.14999985694885
102969870.15000014,102970240.0,-369.8499998599291
102972974.97000015,102973300.0,-325.0299998521805
102968453.06000015,102968840.0,-386.9399998486042
102967380.29000017,102967780.0,-399.7099998295307
