qLearning net worth,Base case net worth,Difference
102944460.00000001,102944460.0,1.4901161193847656e-08
102943780.68,102943780.0,0.6800000071525574
102943311.37999998,102943310.0,1.3799999803304672
102947987.89,102947990.0,-2.1099999994039536
102952122.74,102952130.0,-7.260000005364418
102954586.37,102954600.0,-13.629999995231628
102950238.96000002,102950240.0,-1.0399999767541885
102951753.27000001,102951760.0,-6.729999989271164
102949665.62,102949670.0,-4.379999995231628
102948210.7,102948210.0,0.7000000029802322
102946123.73000002,102946120.0,3.7300000190734863
102949556.45000003,102949560.0,-3.5499999672174454
102946740.37000002,102946740.0,0.3700000196695328
102945882.21000002,102945880.0,2.2100000232458115
102946189.22000001,102946190.0,-0.7799999862909317
102940687.38000001,102940670.0,17.38000001013279
102940786.77000001,102940770.0,16.770000010728836
102940927.36000003,102940910.0,17.360000029206276
102940274.57000004,102940250.0,24.570000037550926
102939083.98000003,102939050.0,33.98000003397465
102941541.20000003,102941520.0,21.200000032782555
102940230.33000006,102940200.0,30.330000057816505
102937535.11000004,102937490.0,45.11000004410744
102939350.07000005,102939320.0,30.070000052452087
102939389.03000006,102939360.0,29.030000060796738
102939119.55000004,102939090.0,29.55000004172325
102940327.87000003,102940300.0,27.870000034570694
102938816.99000004,102938780.0,36.990000039339066
102941902.04000004,102941900.0,2.0400000363588333
102943940.09000003,102943960.0,-19.9099999666214
102943700.55000003,102943720.0,-19.44999997317791
102941358.36000001,102941370.0,-11.639999985694885
102942498.28000002,102942520.0,-21.719999983906746
102941107.25000001,102941130.0,-22.74999998509884
102947986.53000003,102948100.0,-113.46999996900558
102947372.02000001,102947470.0,-97.97999998927116
102949923.97000001,102950060.0,-136.02999998629093
102947717.39000002,102947830.0,-112.60999998450279
102950895.33000001,102951040.0,-144.66999998688698
102951845.94000001,102952000.0,-154.05999998748302
102949734.73000002,102949870.0,-135.2699999809265
102955937.93000004,102956130.0,-192.06999996304512
102957849.29000004,102958070.0,-220.70999996364117
102955461.77000003,102955670.0,-208.22999997437
102953543.41000003,102953730.0,-186.58999997377396
102952875.02000003,102953060.0,-184.97999997437
102954112.76000004,102954310.0,-197.23999996483326
102954970.05000003,102955170.0,-199.9499999731779
102952996.75000001,102953180.0,-183.24999998509884
102950736.48000002,102950910.0,-173.5199999809265
102951682.72000001,102951860.0,-177.27999998629093
102951666.63999999,102951840.0,-173.36000001430511
102951855.74,102952020.0,-164.26000000536442
102955941.54,102956150.0,-208.4599999934435
102956361.76,102956580.0,-218.23999999463558
102957171.79,102957400.0,-228.2099999934435
102956884.74000002,102957100.0,-215.2599999755621
102952602.63000001,102952780.0,-177.3699999898672
102953538.42000003,102953700.0,-161.57999996840954
102950140.95000003,102950240.0,-99.04999996721745
102950294.60000004,102950400.0,-105.39999996125698
102948595.79000004,102948670.0,-74.20999996364117
102947567.88000004,102947620.0,-52.11999996006489
102948406.34000003,102948460.0,-53.6599999666214
102948233.27000004,102948320.0,-86.72999995946884
102949114.28000005,102949190.0,-75.71999995410442
102947339.64000006,102947370.0,-30.35999993979931
102948750.19000007,102948800.0,-49.80999992787838
102948905.57000007,102949000.0,-94.42999993264675
102949848.37000006,102949940.0,-91.62999993562698
102946637.45000006,102946650.0,-12.549999937415123
102946977.41000007,102947000.0,-22.589999929070473
