qLearning net worth,Base case net worth,Difference
102944460.0,102944460.0,0.0
102943779.3,102943780.0,-0.7000000029802322
102943309.97999999,102943310.0,-0.02000001072883606
102947992.72,102947990.0,2.719999998807907
102952137.78,102952130.0,7.780000001192093
102954607.8,102954600.0,7.799999997019768
102950248.47999999,102950240.0,8.479999989271164
102951769.20999998,102951760.0,9.209999978542328
102949672.97999997,102949670.0,2.9799999743700027
102948217.29999997,102948210.0,7.299999967217445
102946125.28999998,102946120.0,5.2899999767541885
102949566.45,102949560.0,6.450000002980232
102946738.02000001,102946740.0,-1.979999989271164
102945877.05,102945880.0,-2.9500000029802322
102946185.28,102946190.0,-4.719999998807907
102940669.25999999,102940670.0,-0.7400000095367432
102940769.23999998,102940770.0,-0.7600000202655792
102940909.67000002,102940910.0,-0.32999998331069946
102940253.67000003,102940250.0,3.6700000315904617
102939058.37000003,102939050.0,8.370000034570694
102941519.39000003,102941520.0,-0.6099999696016312
102940206.04000005,102940200.0,6.0400000512599945
102937507.90000004,102937490.0,17.900000035762787
102939324.41000003,102939320.0,4.410000026226044
102939364.78000006,102939360.0,4.780000060796738
102939098.43000004,102939090.0,8.43000003695488
102940304.37000002,102940300.0,4.370000019669533
102938797.47000003,102938780.0,17.47000002861023
102941884.93,102941900.0,-15.069999992847443
102943924.20999998,102943960.0,-35.79000002145767
102943683.94999997,102943720.0,-36.05000002682209
102941348.55999996,102941370.0,-21.440000042319298
102942486.09999996,102942520.0,-33.90000003576279
102941100.98999998,102941130.0,-29.01000002026558
102948000.83999999,102948100.0,-99.16000001132488
102947379.31999996,102947470.0,-90.68000003695488
102949940.56999996,102950060.0,-119.43000003695488
102947731.10999997,102947830.0,-98.89000003039837
102950920.52999996,102951040.0,-119.47000004351139
102951871.58999994,102952000.0,-128.41000005602837
102949754.88999996,102949870.0,-115.11000004410744
102955983.03999996,102956130.0,-146.96000003814697
102957907.85999995,102958070.0,-162.14000004529953
102955518.94999993,102955670.0,-151.05000007152557
102953589.95999993,102953730.0,-140.04000006616116
102952917.51999995,102953060.0,-142.4800000488758
102954161.42999995,102954310.0,-148.5700000524521
102955020.97999994,102955170.0,-149.02000005543232
102953042.14999993,102953180.0,-137.85000006854534
102950766.88999994,102950910.0,-143.1100000590086
102951720.16999993,102951860.0,-139.83000007271767
102951700.8199999,102951840.0,-139.18000009655952
102951884.14999993,102952020.0,-135.85000006854534
102956006.19999991,102956150.0,-143.80000008642673
102956433.73999994,102956580.0,-146.26000006496906
102957245.93999994,102957400.0,-154.06000006198883
102956941.90999992,102957100.0,-158.09000007808208
102952629.58999991,102952780.0,-150.4100000858307
102953557.88999991,102953700.0,-142.11000008881092
102950110.58999993,102950240.0,-129.41000007092953
102950264.05999993,102950400.0,-135.94000007212162
102948543.93999992,102948670.0,-126.06000007688999
102947502.25999993,102947620.0,-117.74000006914139
102948340.23999994,102948460.0,-119.76000006496906
102948189.21999994,102948320.0,-130.78000006079674
102949061.78999995,102949190.0,-128.21000005304813
102947263.39999996,102947370.0,-106.60000003874302
102948680.38999997,102948800.0,-119.61000002920628
102948860.1,102949000.0,-139.90000000596046
102949812.61,102949940.0,-127.39000000059605
102946554.92,102946650.0,-95.07999999821186
102946904.68,102947000.0,-95.31999999284744
102945719.18,102945810.0,-90.81999999284744
102946249.25000003,102946340.0,-90.74999997019768
102942581.40000002,102942640.0,-58.599999979138374
102943183.89000002,102943250.0,-66.10999998450279
102942413.32000002,102942470.0,-56.679999977350235
102944755.77000001,102944840.0,-84.22999998927116
102944835.09000002,102944910.0,-74.90999998152256
102944415.56,102944480.0,-64.43999999761581
102947089.72,102947190.0,-100.2800000011921
102948503.45000002,102948610.0,-106.5499999821186
102946894.64,102946970.0,-75.35999999940395
102949586.18000002,102949680.0,-93.81999997794628
102946338.17000002,102946400.0,-61.8299999833107
102947127.53000003,102947200.0,-72.46999996900558
102945239.28000003,102945290.0,-50.719999969005585
102941544.49000004,102941550.0,-5.5099999606609344
102942111.70000002,102942130.0,-18.299999982118607
102944507.11000004,102944570.0,-62.88999995589256
102944531.51000005,102944610.0,-78.4899999499321
102944924.53000008,102944990.0,-65.4699999243021
102946734.56000008,102946860.0,-125.43999992311001
102945836.24000008,102945950.0,-113.75999991595745
102941864.08000007,102941930.0,-65.91999992728233
102939146.09000006,102939170.0,-23.909999936819077
102940196.77000006,102940250.0,-53.22999994456768
102941391.53000006,102941450.0,-58.46999993920326
102939727.41000007,102939750.0,-22.589999929070473
102939155.06000006,102939170.0,-14.93999993801117
102937819.50000004,102937810.0,9.500000044703484
102938971.37000005,102938970.0,1.3700000494718552
102935894.75000003,102935830.0,64.75000002980232
102937975.48000005,102937950.0,25.48000004887581
102939674.77000004,102939690.0,-15.229999959468842
102941331.22000003,102941380.0,-48.77999997138977
102938052.09000005,102938040.0,12.090000048279762
102936761.60000004,102936720.0,41.60000003874302
102933153.09000003,102933040.0,113.0900000333786
102936735.69000003,102936730.0,5.690000027418137
102938738.31000003,102938780.0,-41.68999996781349
102936935.57000004,102936920.0,15.570000037550926
102936473.35000002,102936420.0,53.35000002384186
102936527.76000004,102936450.0,77.76000003516674
102938561.45000002,102938540.0,21.450000017881393
102940079.05000003,102940080.0,-0.9499999731779099
102938981.94,102938930.0,51.939999997615814
102935357.82,102935190.0,167.81999999284744
102936742.10999998,102936610.0,132.1099999845028
102934791.99999999,102934590.0,201.99999998509884
102934371.30999999,102934150.0,221.30999998748302
102933298.80999997,102933060.0,238.80999997258186
102930929.62999998,102930610.0,319.62999998033047
102930756.91999997,102930420.0,336.9199999719858
102929692.27999997,102929350.0,342.27999997138977
102930876.69999996,102930570.0,306.69999995827675
102933412.46999994,102933190.0,222.46999993920326
102933003.6299999,102932780.0,223.62999990582466
102935607.91999991,102935480.0,127.91999991238117
102934706.87999992,102934530.0,176.87999992072582
102935692.86999993,102935550.0,142.86999993026257
102935769.76999989,102935650.0,119.76999989151955
102934769.42999987,102934570.0,199.4299998730421
102934255.97999988,102934070.0,185.97999988496304
102937280.29999988,102937200.0,80.29999987781048
102937233.66999985,102937150.0,83.66999985277653
102935539.98999985,102935420.0,119.98999984562397
102935151.78999984,102934990.0,161.78999984264374
102936396.20999986,102936310.0,86.20999985933304
102938075.52999985,102937980.0,95.52999985218048
102940530.36999986,102940510.0,20.36999985575676
102942795.53999987,102942790.0,5.53999987244606
102944020.00999987,102944090.0,-69.99000012874603
102942309.59999987,102942350.0,-40.400000125169754
102941677.64999986,102941660.0,17.649999856948853
102940973.78999987,102940950.0,23.78999987244606
102940327.79999985,102940280.0,47.799999848008156
102941603.50999986,102941580.0,23.509999856352806
102941627.83999984,102941610.0,17.839999839663506
102940533.09999983,102940490.0,43.09999983012676
102938279.78999981,102938160.0,119.78999981284142
102938083.7399998,102937960.0,123.73999980092049
102937554.87999982,102937420.0,134.8799998164177
102937803.8999998,102937670.0,133.8999997973442
102937522.4999998,102937390.0,132.4999998062849
102938686.7199998,102938580.0,106.71999980509281
102936354.5099998,102936190.0,164.50999979674816
102936972.22999981,102936840.0,132.22999981045723
102937014.0299998,102936870.0,144.02999979257584
102936983.46999978,102936820.0,163.4699997752905
102936227.1699998,102936000.0,227.16999979317188
102938824.7899998,102938700.0,124.78999979794025
102938465.16999981,102938320.0,145.16999980807304
102938907.46999982,102938760.0,147.46999981999397
102940421.49999982,102940290.0,131.49999982118607
102940876.97999983,102940740.0,136.9799998253584
102940590.09999982,102940470.0,120.0999998152256
102940257.99999984,102940130.0,127.99999983608723
102937171.80999982,102936970.0,201.80999982357025
102934036.43999982,102933760.0,276.4399998188019
102930901.53999984,102930560.0,341.53999984264374
102933875.97999987,102933620.0,255.97999987006187
102934316.27999985,102934000.0,316.2799998521805
102933026.70999986,102932690.0,336.70999985933304
102933788.00999987,102933460.0,328.00999987125397
102934352.15999989,102934030.0,322.1599998921156
102935347.6999999,102935090.0,257.6999998986721
102938972.9299999,102938820.0,152.92999990284443
102939057.0999999,102938900.0,157.09999990463257
102939913.6399999,102939750.0,163.63999989628792
102943169.86999989,102943110.0,59.86999988555908
102940315.2899999,102940170.0,145.28999990224838
102940072.10999991,102939940.0,132.109999909997
102941947.9899999,102941880.0,67.98999990522861
102941823.8999999,102941780.0,43.899999901652336
102940595.0399999,102940550.0,45.03999990224838
102938307.70999986,102938190.0,117.70999985933304
102938517.37999986,102938370.0,147.37999986112118
102935782.32999986,102935550.0,232.3299998641014
102935435.75999986,102935220.0,215.7599998563528
102934155.81999983,102933870.0,285.81999982893467
102933202.76999983,102932880.0,322.7699998319149
102934971.26999982,102934700.0,271.26999981701374
102931677.72999983,102931290.0,387.7299998253584
102930373.31999983,102929930.0,443.31999982893467
102933127.50999983,102932770.0,357.5099998265505
102932651.03999983,102932290.0,361.0399998277426
102933550.16999982,102933280.0,270.1699998229742
102932474.77999981,102932180.0,294.779999807477
102930057.7799998,102929670.0,387.77999979257584
102930395.14999981,102930010.0,385.14999981224537
102928368.29999979,102927890.0,478.2999997884035
102926350.78999977,102925760.0,590.7899997681379
102925847.32999974,102925260.0,587.3299997448921
102923141.85999973,102922440.0,701.859999731183
102921969.21999973,102921230.0,739.219999730587
102924526.90999973,102923850.0,676.9099997282028
102924634.40999971,102923950.0,684.4099997133017
102923700.94999972,102922990.0,710.9499997198582
102923082.70999971,102922320.0,762.7099997103214
102926413.2299997,102925780.0,633.2299997061491
102925642.4699997,102924980.0,662.4699997007847
102926860.2899997,102926360.0,500.2899996936321
102925674.05999967,102925230.0,444.05999967455864
102925657.84999967,102925230.0,427.849999666214
102928849.14999968,102928600.0,249.14999967813492
102928924.76999967,102928670.0,254.76999966800213
102927294.05999966,102926920.0,374.0599996596575
102927452.50999966,102927050.0,402.5099996626377
102926671.74999966,102926320.0,351.7499996572733
102929421.01999965,102929140.0,281.01999965310097
102930217.38999966,102929960.0,257.38999965786934
102929812.05999964,102929530.0,282.0599996447563
102930207.26999964,102929980.0,227.2699996381998
102926769.49999961,102926460.0,309.4999996125698
102924428.80999961,102924030.0,398.809999614954
102923358.00999962,102922930.0,428.0099996179342
102926566.33999962,102926290.0,276.3399996161461
102925121.0099996,102924800.0,321.00999960303307
102924015.10999961,102923600.0,415.10999961197376
102923416.74999961,102923040.0,376.7499996125698
102923181.90999961,102922730.0,451.90999960899353
102922766.85999961,102922310.0,456.85999961197376
102922232.53999963,102921740.0,492.5399996340275
102925305.80999961,102924940.0,365.809999614954
102927696.57999963,102927380.0,316.57999962568283
102926635.77999964,102926270.0,365.7799996435642
102927283.31999965,102926940.0,343.31999965012074
102926569.08999963,102926200.0,369.08999963104725
102924268.80999963,102923790.0,478.80999962985516
102923456.09999964,102922950.0,506.09999963641167
102921373.58999965,102920750.0,623.5899996459484
102919645.32999964,102918920.0,725.329999640584
102921586.96999966,102920970.0,616.9699996560812
102923632.79999962,102923120.0,512.7999996244907
102925096.6499996,102924600.0,496.6499996036291
102924458.75999957,102923950.0,508.75999957323074
102923426.20999958,102922840.0,586.209999576211
102923716.59999959,102923220.0,496.5999995917082
102924810.12999958,102924380.0,430.1299995779991
102924864.05999959,102924460.0,404.0599995851517
102926023.63999958,102925680.0,343.63999958336353
102927603.2899996,102927360.0,243.28999960422516
102926395.2699996,102926100.0,295.2699995934963
102927782.8299996,102927480.0,302.8299995958805
102926833.3799996,102926560.0,273.3799995929003
102924025.8199996,102923630.0,395.81999960541725
102922864.8499996,102922430.0,434.84999960660934
102924180.9999996,102923810.0,370.99999959766865
102925847.14999957,102925530.0,317.1499995738268
102924613.80999957,102924270.0,343.8099995702505
102923865.89999957,102923440.0,425.8999995738268
