qLearning net worth,Base case net worth,Difference
102928539.99999997,102928540.0,-2.9802322387695312e-08
102934184.35,102934190.0,-5.6500000059604645
102933326.07000001,102933330.0,-3.929999992251396
102933135.69999999,102933140.0,-4.300000011920929
102935040.9,102935050.0,-9.099999994039536
102939286.15,102939310.0,-23.849999994039536
102937769.16999999,102937790.0,-20.830000013113022
102937162.21999997,102937180.0,-17.780000030994415
102940976.14999998,102941010.0,-33.85000002384186
102935448.42999999,102935460.0,-11.570000007748604
102932874.80999999,102932880.0,-5.190000012516975
102929461.05000001,102929450.0,11.050000011920929
102924775.05,102924740.0,35.04999999701977
102918471.69,102918400.0,71.68999999761581
102918087.52,102918010.0,77.51999999582767
102921052.72,102921000.0,52.71999999880791
102925513.88,102925500.0,13.879999995231628
102919116.19,102919040.0,76.18999999761581
102917493.82,102917400.0,93.81999999284744
102916510.75999998,102916410.0,100.7599999755621
102921113.06999998,102921070.0,43.06999997794628
102922140.08,102922110.0,30.07999999821186
102923059.68000004,102923040.0,19.68000003695488
102921225.34000006,102921180.0,45.34000006318092
102915331.92000005,102915200.0,131.92000004649162
102906449.76000005,102906170.0,279.7600000500679
102904478.25000006,102904170.0,308.25000005960464
102910010.34000005,102909800.0,210.34000004827976
102910258.22000007,102910050.0,208.2200000733137
102906424.81000006,102906140.0,284.81000006198883
102905982.95000006,102905690.0,292.9500000625849
102911986.49000008,102911830.0,156.49000008404255
102913348.82000008,102913220.0,128.8200000822544
102916931.10000007,102916890.0,41.10000006854534
102919966.71000005,102920000.0,-33.289999946951866
102914579.75000003,102914490.0,89.75000002980232
102914750.11000003,102914670.0,80.11000002920628
102917900.69000004,102917900.0,0.6900000423192978
102907346.28000003,102907100.0,246.28000003099442
102909508.54000005,102909310.0,198.54000005126
102901551.53000005,102901150.0,401.5300000458956
102903345.61000004,102902980.0,365.61000004410744
102902773.55000004,102902390.0,383.55000004172325
102906245.54000004,102905960.0,285.54000003635883
102905472.36000003,102905160.0,312.3600000292063
102904270.84000003,102903930.0,340.8400000333786
102902128.33000001,102901730.0,398.330000013113
102897429.00000003,102896880.0,549.0000000298023
102893737.14,102893070.0,667.140000000596
102885406.57000001,102884450.0,956.5700000077486
102884841.46000004,102883880.0,961.460000038147
102890729.48000003,102889990.0,739.4800000339746
102892919.19000001,102892260.0,659.190000012517
102893278.66000001,102892630.0,648.6600000113249
102893147.15000002,102892490.0,657.1500000208616
102890928.92,102890200.0,728.9200000017881
102886453.36,102885560.0,893.359999999404
102886497.04999997,102885610.0,887.0499999672174
102890251.30999997,102889510.0,741.3099999725819
102886790.54999997,102885910.0,880.5499999672174
102881112.82999995,102880030.0,1082.8299999535084
102888453.30999997,102887650.0,803.3099999725819
102885795.46999995,102884900.0,895.4699999541044
102882233.61999995,102881210.0,1023.6199999451637
102877746.38999996,102876550.0,1196.3899999558926
102875543.51999997,102874260.0,1283.5199999660254
102873526.65999997,102872160.0,1366.6599999666214
102875766.86999996,102874490.0,1276.869999960065
102879755.74999999,102878650.0,1105.7499999850988
102876879.57999997,102875640.0,1239.5799999684095
102870319.28999998,102868780.0,1539.2899999767542
102861412.0,102859460.0,1952.0
102866198.67999999,102864470.0,1728.6799999922514
102867734.00999999,102866080.0,1654.0099999904633
102867960.52999999,102866320.0,1640.529999986291
102868727.11999997,102867130.0,1597.119999974966
102876139.21999997,102874920.0,1219.2199999690056
102878671.52999997,102877590.0,1081.5299999713898
102886803.11999996,102886130.0,673.1199999600649
102889694.14999995,102889170.0,524.1499999463558
102888885.13999996,102888320.0,565.1399999558926
102890821.04999995,102890350.0,471.0499999523163
102899002.19999997,102898930.0,72.19999997317791
102898376.90999997,102898270.0,106.9099999666214
102900498.54999997,102900470.0,28.549999967217445
102896692.71999995,102896490.0,202.71999995410442
102893683.35999995,102893360.0,323.35999995470047
102896656.05999993,102896450.0,206.05999992787838
102894003.14999993,102893670.0,333.14999993145466
102899236.21999994,102899130.0,106.21999993920326
102907090.05999994,102907340.0,-249.94000005722046
102905565.70999995,102905740.0,-174.29000005126
102901088.07999997,102901070.0,18.07999996840954
102903621.59999996,102903710.0,-88.40000003576279
102899157.02999994,102899040.0,117.02999994158745
102899202.88999994,102899090.0,112.8899999409914
102903314.13999993,102903370.0,-55.86000007390976
102905547.66999993,102905700.0,-152.33000007271767
102903700.80999993,102903750.0,-49.19000007212162
102903561.30999993,102903610.0,-48.69000007212162
102908295.68999994,102908570.0,-274.31000006198883
102901269.92999995,102901240.0,29.929999947547913
102901164.44999994,102901130.0,34.44999994337559
102893255.50999998,102892880.0,375.5099999755621
102889215.72,102888670.0,545.7199999988079
102891867.28,102891450.0,417.2800000011921
102888183.25,102887580.0,603.25
102884907.39999999,102884150.0,757.3999999910593
102878190.73999996,102877100.0,1090.7399999648333
102879282.55999997,102878250.0,1032.5599999725819
102883282.45999998,102882460.0,822.4599999785423
102882933.84999998,102882120.0,813.8499999791384
102887986.91999999,102887430.0,556.919999986887
102890171.44999999,102889720.0,451.44999998807907
102888813.38999999,102888270.0,543.3899999856949
102887319.57999998,102886700.0,619.5799999833107
102886494.79999998,102885830.0,664.7999999821186
102888167.22999999,102887590.0,577.2299999892712
102891748.94999999,102891380.0,368.94999998807907
