qLearning net worth,Base case net worth,Difference
102928540.0,102928540.0,0.0
102934190.00999999,102934190.0,0.009999990463256836
102933330.60999998,102933330.0,0.6099999845027924
102933141.35999997,102933140.0,1.3599999696016312
102935049.95999996,102935050.0,-0.04000003635883331
102939300.85999997,102939310.0,-9.140000030398369
102937784.98999996,102937790.0,-5.01000003516674
102937174.33999994,102937180.0,-5.660000056028366
102940996.24999994,102941010.0,-13.750000059604645
102935460.72999996,102935460.0,0.7299999594688416
102932885.57999997,102932880.0,5.579999968409538
102929465.90999997,102929450.0,15.909999966621399
102924764.51999997,102924740.0,24.519999966025352
102918440.91999996,102918400.0,40.919999957084656
102918057.15999995,102918010.0,47.15999995172024
102921039.41999997,102921000.0,39.41999997198582
102925523.86999997,102925500.0,23.86999997496605
102919092.83999997,102919040.0,52.839999973773956
102917459.95999998,102917400.0,59.95999997854233
102916465.28999998,102916410.0,55.28999997675419
102921101.58999996,102921070.0,31.589999958872795
102922138.34999996,102922110.0,28.349999964237213
102923063.18999998,102923040.0,23.189999982714653
102921209.71999997,102921180.0,29.719999969005585
102915249.85,102915200.0,49.849999994039536
102906251.18999998,102906170.0,81.18999998271465
102904256.83,102904170.0,86.82999999821186
102909859.78,102909800.0,59.78000000119209
102910109.58000001,102910050.0,59.58000001311302
102906218.71000001,102906140.0,78.71000000834465
102905770.19000001,102905690.0,80.19000001251698
102911873.82000004,102911830.0,43.820000037550926
102913264.51000002,102913220.0,44.51000002026558
102916915.08000004,102916890.0,25.080000042915344
102920013.08000006,102920000.0,13.080000057816505
102914526.66000006,102914490.0,36.660000056028366
102914706.44000004,102914670.0,36.4400000423193
102917918.56000003,102917900.0,18.560000032186508
102907142.61000004,102907100.0,42.61000004410744
102909346.52000006,102909310.0,36.52000005543232
102901208.72000003,102901150.0,58.72000002861023
102903030.54000002,102902980.0,50.54000002145767
102902440.21000002,102902390.0,50.21000002324581
102905996.93000002,102905960.0,36.93000002205372
102905202.82000002,102905160.0,42.820000022649765
102903975.86000001,102903930.0,45.860000014305115
102901789.05,102901730.0,59.04999999701977
102896960.83999999,102896880.0,80.83999998867512
102893171.85999997,102893070.0,101.85999996960163
102884593.82999995,102884450.0,143.82999995350838
102884036.59999998,102883880.0,156.59999997913837
102890108.07999998,102889990.0,118.0799999833107
102892358.27999997,102892260.0,98.27999997138977
102892723.60999995,102892630.0,93.60999995470047
102892592.89999999,102892490.0,102.8999999910593
102890325.61999999,102890200.0,125.61999998986721
102885724.43999997,102885560.0,164.4399999678135
102885773.21999997,102885610.0,163.21999996900558
102889631.14999996,102889510.0,121.14999996125698
102886068.33999996,102885910.0,158.3399999588728
102880198.47999999,102880030.0,168.47999998927116
102887776.47999999,102887650.0,126.47999998927116
102885044.38999996,102884900.0,144.38999995589256
102881389.73999998,102881210.0,179.73999997973442
102876741.42999998,102876550.0,191.42999997735023
102874466.20999998,102874260.0,206.20999997854233
102872354.79999998,102872160.0,194.7999999821186
102874657.10999998,102874490.0,167.1099999845028
102878783.31999998,102878650.0,133.31999997794628
102875802.14999999,102875640.0,162.1499999910593
102869014.88,102868780.0,234.87999999523163
102859793.32000001,102859460.0,333.3200000077486
102864738.18,102864470.0,268.18000000715256
102866317.78,102866080.0,237.7800000011921
102866528.35999998,102866320.0,208.3599999845028
102867316.75,102867130.0,186.75
102874988.24999999,102874920.0,68.24999998509884
102877641.53999999,102877590.0,51.53999999165535
102886067.00999999,102886130.0,-62.99000000953674
102889067.14,102889170.0,-102.85999999940395
102888238.82,102888320.0,-81.18000000715256
102890233.05,102890350.0,-116.95000000298023
102898709.21000001,102898930.0,-220.78999999165535
102898053.53999999,102898270.0,-216.46000000834465
102900234.94,102900470.0,-235.0600000023842
102896300.73,102896490.0,-189.26999999582767
102893191.56,102893360.0,-168.4399999976158
102896272.28,102896450.0,-177.7199999988079
102893501.57,102893670.0,-168.43000000715256
102898908.85999998,102899130.0,-221.1400000154972
102907062.15999998,102907340.0,-277.84000001847744
102905476.05,102905740.0,-263.95000000298023
102900833.43999998,102901070.0,-236.56000001728535
102903461.95999998,102903710.0,-248.04000002145767
102898820.30999999,102899040.0,-219.69000001251698
102898875.55999999,102899090.0,-214.44000001251698
102903126.33999997,102903370.0,-243.66000002622604
102905452.99999997,102905700.0,-247.00000002980232
102903530.16999999,102903750.0,-219.83000001311302
102903384.58999999,102903610.0,-225.41000001132488
102908328.69999999,102908570.0,-241.30000001192093
102901004.71,102901240.0,-235.2900000065565
102900888.21999998,102901130.0,-241.78000001609325
102892664.58,102892880.0,-215.42000000178814
102888449.86000001,102888670.0,-220.13999998569489
102891211.52000003,102891450.0,-238.47999997437
102887359.56000002,102887580.0,-220.43999998271465
102883932.23000002,102884150.0,-217.7699999809265
102876923.92,102877100.0,-176.07999999821186
102878059.94,102878250.0,-190.0600000023842
102882244.88,102882460.0,-215.12000000476837
102881909.00999999,102882120.0,-210.99000000953674
102887156.66,102887430.0,-273.3400000035763
102889427.67999999,102889720.0,-292.3200000077486
102888005.75999999,102888270.0,-264.24000000953674
102886428.43999998,102886700.0,-271.56000001728535
102885577.39999999,102885830.0,-252.6000000089407
102887330.19000001,102887590.0,-259.809999987483
102891063.64000002,102891380.0,-316.3599999845028
102895664.59999998,102896000.0,-335.4000000208616
102892808.63999999,102893120.0,-311.3600000143051
102888962.14999999,102889270.0,-307.8500000089407
102886967.78999999,102887250.0,-282.21000000834465
102885875.96000001,102886170.0,-294.03999999165535
102881080.78,102881330.0,-249.2199999988079
102884109.47000001,102884370.0,-260.52999998629093
102882596.99000002,102882830.0,-233.0099999755621
102879711.49000004,102879900.0,-188.50999996066093
102879278.71000005,102879470.0,-191.28999994695187
102877998.31000003,102878190.0,-191.6899999678135
102875613.17000003,102875840.0,-226.82999996840954
102879895.56000003,102880140.0,-244.4399999678135
102875141.41000003,102875350.0,-208.58999997377396
102877114.02000001,102877360.0,-245.97999998927116
102875199.25000003,102875440.0,-240.74999997019768
102876212.72000003,102876450.0,-237.27999997138977
102880246.53000003,102880540.0,-293.4699999690056
