qLearning net worth,Base case net worth,Difference
103000749.99999999,103000750.0,-1.4901161193847656e-08
103011046.49999999,103011040.0,6.499999985098839
103010895.94999999,103010890.0,5.949999988079071
103011466.14999998,103011460.0,6.149999976158142
103010113.28999998,103010110.0,3.2899999767541885
103009582.73999996,103009580.0,2.7399999648332596
103008466.59999996,103008460.0,6.599999964237213
103006845.38999997,103006840.0,5.389999970793724
103002442.15999997,103002440.0,2.159999966621399
103004050.34999998,103004050.0,0.34999997913837433
103001661.13999997,103001660.0,1.139999970793724
103001398.40999997,103001400.0,-1.590000033378601
102999532.76999997,102999530.0,2.7699999660253525
103001429.00999996,103001430.0,-0.9900000393390656
103003045.71999995,103003050.0,-4.2800000458955765
102995419.34999995,102995400.0,19.349999949336052
102991983.89999995,102991950.0,33.89999994635582
102993676.46999995,102993650.0,26.469999954104424
102993446.43999995,102993420.0,26.43999995291233
102990619.94999996,102990580.0,39.94999995827675
102984987.83999996,102984910.0,77.8399999588728
102987490.51999995,102987430.0,60.51999995112419
102989355.39999993,102989310.0,45.39999993145466
102990694.43999994,102990660.0,34.43999993801117
102986346.23999994,102986280.0,66.23999993503094
102981806.12999994,102981710.0,96.12999993562698
102979224.47999994,102979110.0,114.47999994456768
102977390.47999996,102977260.0,130.47999995946884
102977224.43999995,102977090.0,134.43999995291233
102978076.65999997,102977950.0,126.6599999666214
102972992.30999994,102972810.0,182.30999994277954
102978892.93999995,102978770.0,122.93999995291233
102980885.86999996,102980790.0,95.86999996006489
102978082.21999995,102977950.0,132.21999995410442
102974724.36999996,102974560.0,164.3699999600649
102973599.69999996,102973430.0,169.69999995827675
102970881.88999996,102970690.0,191.88999995589256
102966394.36999996,102966150.0,244.3699999600649
102965944.73999998,102965700.0,244.73999997973442
102965285.54999997,102965030.0,255.54999996721745
102964556.50999998,102964300.0,256.5099999755621
102969925.15999998,102969740.0,185.15999998152256
102968654.86999996,102968450.0,204.8699999600649
102974211.44999997,102974080.0,131.4499999731779
102976034.07999998,102975930.0,104.0799999833107
102976147.71,102976040.0,107.70999999344349
102972259.22,102972110.0,149.2199999988079
102970822.89000002,102970660.0,162.8900000154972
102967829.71000001,102967640.0,189.71000000834465
102974696.77000003,102974580.0,116.77000002563
102973068.40000004,102972930.0,138.4000000357628
102971476.11000004,102971320.0,156.11000004410744
102974731.10000004,102974610.0,121.10000003874302
102978880.77000004,102978800.0,80.77000004053116
102978153.27000004,102978060.0,93.27000004053116
102973580.98000003,102973460.0,120.98000003397465
102973485.71000005,102973370.0,115.71000005304813
102972770.87000006,102972640.0,130.87000006437302
102971174.90000007,102971030.0,144.9000000655651
102972930.21000007,102972810.0,120.2100000679493
102966106.07000007,102965930.0,176.07000006735325
102960873.29000007,102960640.0,233.29000006616116
102964556.08000009,102964350.0,206.08000008761883
102965778.02000007,102965590.0,188.02000007033348
102964951.27000007,102964760.0,191.27000007033348
102965001.08000007,102964810.0,191.08000007271767
102969393.08000007,102969250.0,143.08000007271767
102965445.48000006,102965270.0,175.48000006377697
102969026.77000006,102968890.0,136.77000005543232
102970313.88000005,102970180.0,133.88000005483627
102975241.85000004,102975150.0,91.85000003874302
102974670.28000006,102974570.0,100.28000006079674
102977684.59000006,102977600.0,84.59000006318092
102978030.05000006,102977950.0,80.05000005662441
102980677.99000007,102980620.0,57.99000006914139
102979548.44000007,102979480.0,68.44000007212162
102975038.47000009,102974930.0,108.47000008821487
102976546.45000008,102976460.0,86.45000007748604
102977967.31000008,102977890.0,77.31000007688999
102977715.7300001,102977630.0,85.73000009357929
102976469.42000009,102976380.0,89.4200000911951
102976941.59000011,102976860.0,81.5900001078844
