qLearning net worth,Base case net worth,Difference
102944459.99999999,102944460.0,-1.4901161193847656e-08
102943779.73,102943780.0,-0.26999999582767487
102943309.72999999,102943310.0,-0.27000001072883606
102947990.49999999,102947990.0,0.4999999850988388
102952134.30999997,102952130.0,4.309999972581863
102954606.38999997,102954600.0,6.389999970793724
102950241.89999999,102950240.0,1.8999999910593033
102951760.99999999,102951760.0,0.9999999850988388
102949672.82999998,102949670.0,2.8299999833106995
102948210.96999998,102948210.0,0.9699999839067459
102946121.31999998,102946120.0,1.3199999779462814
102949563.59999998,102949560.0,3.5999999791383743
102946740.86999996,102946740.0,0.869999960064888
102945878.77999997,102945880.0,-1.2200000286102295
102946189.24999997,102946190.0,-0.7500000298023224
102940670.15999997,102940670.0,0.15999996662139893
102940768.98999996,102940770.0,-1.0100000351667404
102940908.86999999,102940910.0,-1.1300000101327896
102940249.61,102940250.0,-0.39000000059604645
102939051.63,102939050.0,1.6299999952316284
102941518.13,102941520.0,-1.8700000047683716
102940200.62,102940200.0,0.6200000047683716
102937495.13,102937490.0,5.129999995231628
102939322.36,102939320.0,2.3599999994039536
102939363.36,102939360.0,3.3599999994039536
102939093.68,102939090.0,3.6800000071525574
102940300.24,102940300.0,0.23999999463558197
102938784.49,102938780.0,4.489999994635582
102941898.38,102941900.0,-1.6200000047683716
102943953.70999996,102943960.0,-6.290000036358833
102943715.71999995,102943720.0,-4.2800000458955765
102941369.84999995,102941370.0,-0.15000005066394806
102942518.25999995,102942520.0,-1.7400000542402267
102941129.88999994,102941130.0,-0.11000005900859833
102948090.86999997,102948100.0,-9.13000002503395
102947462.72999997,102947470.0,-7.270000025629997
102950049.25999998,102950060.0,-10.740000024437904
102947821.00999996,102947830.0,-8.990000039339066
102951027.03999996,102951040.0,-12.960000038146973
102951985.70999996,102952000.0,-14.290000036358833
102949859.90999997,102949870.0,-10.090000033378601
102956112.69999997,102956130.0,-17.30000002682209
102958052.52999999,102958070.0,-17.47000001370907
102955648.96999997,102955670.0,-21.030000030994415
102953708.63999997,102953730.0,-21.360000029206276
102953036.82999998,102953060.0,-23.1700000166893
102954288.42,102954310.0,-21.57999999821186
102955151.82999998,102955170.0,-18.1700000166893
102953154.37999998,102953180.0,-25.620000019669533
102950877.82,102950910.0,-32.18000000715256
102951829.53,102951860.0,-30.469999998807907
102951808.81,102951840.0,-31.189999997615814
102951991.8,102952020.0,-28.200000002980232
102956135.1,102956150.0,-14.900000005960464
102956563.63,102956580.0,-16.37000000476837
102957386.86999999,102957400.0,-13.13000001013279
102957091.08000001,102957100.0,-8.919999986886978
102952755.73000002,102952780.0,-24.269999980926514
102953685.34000003,102953700.0,-14.659999966621399
102950220.43000005,102950240.0,-19.56999994814396
102950380.13000005,102950400.0,-19.869999945163727
102948649.53000005,102948670.0,-20.469999954104424
102947600.35000007,102947620.0,-19.64999993145466
102948447.19000007,102948460.0,-12.80999992787838
102948290.49000007,102948320.0,-29.509999930858612
102949172.88000008,102949190.0,-17.119999915361404
102947360.9000001,102947370.0,-9.099999904632568
102948793.7900001,102948800.0,-6.209999904036522
102948970.8900001,102949000.0,-29.109999895095825
102949915.96000013,102949940.0,-24.03999987244606
102946636.19000012,102946650.0,-13.809999883174896
102946982.99000013,102947000.0,-17.009999871253967
102945792.22000012,102945810.0,-17.779999881982803
102946333.18000013,102946340.0,-6.819999873638153
102942611.88000011,102942640.0,-28.119999885559082
102943221.86000013,102943250.0,-28.139999866485596
102942448.64000013,102942470.0,-21.359999865293503
102944810.80000013,102944840.0,-29.19999986886978
102944888.73000012,102944910.0,-21.269999876618385
102944469.51000011,102944480.0,-10.489999890327454
102947178.2000001,102947190.0,-11.79999989271164
102948607.84000011,102948610.0,-2.159999892115593
102946983.5300001,102946970.0,13.530000105500221
102949698.83000012,102949680.0,18.83000011742115
102946421.58000012,102946400.0,21.58000011742115
102947223.49000014,102947200.0,23.490000143647194
102945316.05000016,102945290.0,26.05000016093254
102941569.20000017,102941550.0,19.200000166893005
102942142.55000015,102942130.0,12.55000014603138
102944578.18000016,102944570.0,8.18000015616417
102944602.14000016,102944610.0,-7.85999983549118
102945006.89000018,102944990.0,16.89000017940998
102946855.53000017,102946860.0,-4.469999834895134
102945938.72000016,102945950.0,-11.27999983727932
102941915.81000014,102941930.0,-14.189999863505363
102939152.8500001,102939170.0,-17.149999901652336
102940224.7100001,102940250.0,-25.289999902248383
102941426.46000011,102941450.0,-23.53999988734722
102939738.12000012,102939750.0,-11.879999876022339
102939155.13000011,102939170.0,-14.869999885559082
102937807.1900001,102937810.0,-2.8099998980760574
102938974.1400001,102938970.0,4.140000104904175
102935836.2900001,102935830.0,6.290000095963478
102937949.0000001,102937950.0,-0.9999998956918716
102939684.9100001,102939690.0,-5.08999989926815
102941372.5700001,102941380.0,-7.429999902844429
102938025.78000009,102938040.0,-14.21999990940094
102936712.75000009,102936720.0,-7.249999910593033
102933022.77000009,102933040.0,-17.229999914765358
102936691.63000008,102936730.0,-38.369999915361404
102938735.9100001,102938780.0,-44.08999989926815
102936887.66000009,102936920.0,-32.33999991416931
102936409.28000009,102936420.0,-10.71999990940094
102936454.04000011,102936450.0,4.040000110864639
102938558.87000012,102938540.0,18.87000012397766
102940114.33000012,102940080.0,34.33000011742115
102938974.2200001,102938930.0,44.220000103116035
102935253.3100001,102935190.0,63.310000106692314
102936678.0000001,102936610.0,68.00000010430813
102934669.30000009,102934590.0,79.30000008642673
102934225.68000008,102934150.0,75.68000008165836
102933134.63000007,102933060.0,74.63000006973743
102930705.7100001,102930610.0,95.71000009775162
102930518.87000011,102930420.0,98.8700001090765
102929431.76000011,102929350.0,81.76000010967255
102930648.25000009,102930570.0,78.25000008940697
102933257.50000007,102933190.0,67.5000000745058
102932837.25000007,102932780.0,57.250000074505806
102935524.83000009,102935480.0,44.83000008761883
102934599.67000009,102934530.0,69.6700000911951
102935615.8700001,102935550.0,65.87000009417534
102935707.86000009,102935650.0,57.86000008881092
102934681.03000009,102934570.0,111.03000009059906
102934168.9600001,102934070.0,98.96000009775162
102937256.78000009,102937200.0,56.78000009059906
102937211.53000006,102937150.0,61.53000006079674
102935472.91000007,102935420.0,52.91000007092953
102935062.59000006,102934990.0,72.59000006318092
102936331.42000008,102936310.0,21.420000076293945
102938045.06000008,102937980.0,65.06000007688999
102940585.35000007,102940510.0,75.35000006854534
102942895.92000006,102942790.0,105.92000006139278
102944163.12000006,102944090.0,73.12000006437302
102942401.18000007,102942350.0,51.1800000667572
102941740.36000007,102941660.0,80.36000007390976
102941030.83000007,102940950.0,80.83000007271767
102940374.85000007,102940280.0,94.85000006854534
102941677.45000006,102941580.0,97.45000006258488
102941699.28000005,102941610.0,89.28000004589558
102940579.29000005,102940490.0,89.29000005126
102938261.25000003,102938160.0,101.25000002980232
102938059.83000001,102937960.0,99.83000001311302
102937505.63000003,102937420.0,85.63000002503395
102937758.75000001,102937670.0,88.75000001490116
102937496.70000003,102937390.0,106.70000003278255
102938679.04000002,102938580.0,99.04000002145767
102936288.59000003,102936190.0,98.5900000333786
102936927.58000003,102936840.0,87.58000002801418
102936967.44000001,102936870.0,97.44000001251698
102936915.17,102936820.0,95.17000000178814
102936138.35000001,102936000.0,138.3500000089407
102938796.64000003,102938700.0,96.64000003039837
102938425.40000004,102938320.0,105.40000003576279
102938889.47000003,102938760.0,129.47000002861023
102940437.10000004,102940290.0,147.10000003874302
102940885.40000007,102940740.0,145.4000000655651
102940572.37000005,102940470.0,102.37000004947186
102940237.70000006,102940130.0,107.70000006258488
102937066.68000005,102936970.0,96.68000005185604
102933827.84000006,102933760.0,67.84000006318092
102930597.64000009,102930560.0,37.640000090003014
102933646.06000009,102933620.0,26.060000091791153
102934072.30000009,102934000.0,72.30000008642673
102932752.2500001,102932690.0,62.25000010430813
102933545.25000012,102933460.0,85.25000011920929
102934106.01000012,102934030.0,76.01000012457371
102935164.93000013,102935090.0,74.93000012636185
102938880.79000013,102938820.0,60.7900001257658
102938959.66000015,102938900.0,59.66000014543533
102939828.87000015,102939750.0,78.87000015377998
102943167.11000015,102943110.0,57.110000148415565
102940240.82000014,102940170.0,70.82000014185905
102939996.92000012,102939940.0,56.92000012099743
102941930.89000012,102941880.0,50.890000119805336
102941792.15000013,102941780.0,12.150000125169754
102940552.0600001,102940550.0,2.060000106692314
102938229.74000011,102938190.0,39.74000011384487
102938427.28000012,102938370.0,57.28000012040138
102935617.3600001,102935550.0,67.36000010371208
102935241.15000011,102935220.0,21.150000110268593
102933936.05000009,102933870.0,66.05000008642673
102932961.54000008,102932880.0,81.54000008106232
