qLearning net worth,Base case net worth,Difference
102928540.0,102928540.0,0.0
102934189.43,102934190.0,-0.5699999928474426
102933329.74000001,102933330.0,-0.25999999046325684
102933139.66,102933140.0,-0.3400000035762787
102935047.83999999,102935050.0,-2.1600000113248825
102939303.77999997,102939310.0,-6.2200000286102295
102937782.96999998,102937790.0,-7.030000016093254
102937174.59999998,102937180.0,-5.400000020861626
102941004.53,102941010.0,-5.469999998807907
102935462.4,102935460.0,2.4000000059604645
102932882.67999999,102932880.0,2.679999992251396
102929457.58,102929450.0,7.579999998211861
102924749.92,102924740.0,9.92000000178814
102918408.07000002,102918400.0,8.070000022649765
102918016.41000003,102918010.0,6.410000026226044
102920999.91000001,102921000.0,-0.08999998867511749
102925486.96000001,102925500.0,-13.03999999165535
102919049.11000003,102919040.0,9.110000029206276
102917416.64000003,102917400.0,16.64000003039837
102916430.97000001,102916410.0,20.97000001370907
102921062.16000001,102921070.0,-7.8399999886751175
102922095.78000002,102922110.0,-14.219999983906746
102923021.07000001,102923040.0,-18.929999992251396
102921172.22000001,102921180.0,-7.779999986290932
102915233.22000001,102915200.0,33.22000001370907
102906273.13000003,102906170.0,103.13000002503395
102904291.70000003,102904170.0,121.70000003278255
102909867.27000003,102909800.0,67.27000002563
102910114.92000005,102910050.0,64.92000004649162
102906251.36000003,102906140.0,111.36000002920628
102905808.88000001,102905690.0,118.88000001013279
102911877.18000004,102911830.0,47.18000003695488
102913248.08000003,102913220.0,28.080000028014183
102916875.51,102916890.0,-14.489999994635582
102919950.67999998,102920000.0,-49.320000022649765
102914500.08999996,102914490.0,10.089999958872795
102914677.72999996,102914670.0,7.7299999594688416
102917875.01999995,102917900.0,-24.98000004887581
102907180.07999994,102907100.0,80.07999993860722
102909368.18999995,102909310.0,58.18999995291233
102901292.96999994,102901150.0,142.96999993920326
102903100.81999995,102902980.0,120.81999994814396
102902520.31999995,102902390.0,130.31999994814396
102906046.17999993,102905960.0,86.17999993264675
102905254.71999992,102905160.0,94.7199999243021
102904037.67999993,102903930.0,107.67999993264675
102901867.98999992,102901730.0,137.98999992012978
102897088.41999991,102896880.0,208.41999991238117
102893341.16999991,102893070.0,271.1699999123812
102884860.78999992,102884450.0,410.78999991714954
102884301.68999994,102883880.0,421.68999993801117
102890301.48999995,102889990.0,311.4899999499321
102892526.13999994,102892260.0,266.1399999409914
102892893.30999994,102892630.0,263.30999994277954
102892760.23999996,102892490.0,270.23999996483326
102890518.38999996,102890200.0,318.38999995589256
102885955.61999993,102885560.0,395.61999993026257
102886004.75999992,102885610.0,394.75999991595745
102889834.79999991,102889510.0,324.7999999076128
102886296.42999992,102885910.0,386.4299999177456
102880499.58999993,102880030.0,469.5899999290705
102887998.76999994,102887650.0,348.76999993622303
102885297.7599999,102884900.0,397.7599999010563
102881677.12999992,102881210.0,467.1299999207258
102877078.32999992,102876550.0,528.329999923706
102874823.37999994,102874260.0,563.379999935627
102872744.88999994,102872160.0,584.8899999409914
102875025.00999995,102874490.0,535.0099999457598
102879104.74999994,102878650.0,454.74999994039536
102876156.56999995,102875640.0,516.569999948144
102869447.60999995,102868780.0,667.6099999547005
102860344.44999999,102859460.0,884.4499999880791
102865231.06999998,102864470.0,761.0699999779463
102866794.76999997,102866080.0,714.7699999660254
102867007.95999996,102866320.0,687.9599999636412
102867789.11999997,102867130.0,659.119999974966
102875379.37999998,102874920.0,459.37999998033047
102877991.76999998,102877590.0,401.7699999809265
102886323.02999997,102886130.0,193.02999997138977
102889280.16999996,102889170.0,110.16999995708466
102888450.37999995,102888320.0,130.37999995052814
102890421.43999997,102890350.0,71.43999996781349
102898808.57999998,102898930.0,-121.4200000166893
102898167.86999997,102898270.0,-102.13000002503395
102900322.30999996,102900470.0,-147.6900000423193
