qLearning net worth,Base case net worth,Difference
103000750.00000001,103000750.0,1.4901161193847656e-08
103011031.67000003,103011040.0,-8.329999968409538
103010882.28000002,103010890.0,-7.719999983906746
103011451.45000002,103011460.0,-8.549999982118607
103010104.67000002,103010110.0,-5.3299999833106995
103009575.80000001,103009580.0,-4.199999988079071
103008454.11,103008460.0,-5.8900000005960464
103006841.55,103006840.0,1.5499999970197678
103002455.62,103002440.0,15.620000004768372
103004059.28999999,103004050.0,9.28999999165535
103001681.77999999,103001660.0,21.77999998629093
103001427.05,103001400.0,27.049999997019768
102999565.78,102999530.0,35.78000000119209
103001456.54,103001430.0,26.54000000655651
103003073.79,103003050.0,23.79000000655651
102995457.27,102995400.0,57.269999995827675
102992022.01999998,102991950.0,72.01999998092651
102993713.28,102993650.0,63.28000000119209
102993483.67,102993420.0,63.67000000178814
102990657.35000002,102990580.0,77.35000002384186
102985027.61000003,102984910.0,117.61000002920628
102987528.77000003,102987430.0,98.77000002563
102989396.05000001,102989310.0,86.05000001192093
102990735.79000002,102990660.0,75.79000002145767
102986386.31000003,102986280.0,106.31000003218651
102981845.73000002,102981710.0,135.7300000190735
102979261.29000002,102979110.0,151.29000002145767
102977425.66000004,102977260.0,165.6600000411272
102977262.97000003,102977090.0,172.97000002861023
102978115.76000004,102977950.0,165.76000003516674
102973033.19000004,102972810.0,223.1900000423193
102978943.46000005,102978770.0,173.46000005304813
102980940.88000007,102980790.0,150.88000006973743
102978130.97000006,102977950.0,180.97000005841255
102974773.95000005,102974560.0,213.95000004768372
102973651.41000004,102973430.0,221.4100000411272
102970925.34000002,102970690.0,235.34000001847744
102966422.53,102966150.0,272.5300000011921
102965975.91000003,102965700.0,275.91000002622604
102965313.37000003,102965030.0,283.3700000345707
102964585.34000002,102964300.0,285.34000001847744
102969959.38000001,102969740.0,219.3800000101328
102968692.16000001,102968450.0,242.16000001132488
102974247.24,102974080.0,167.23999999463558
102976075.02,102975930.0,145.01999999582767
102976189.39999999,102976040.0,149.3999999910593
102972324.38,102972110.0,214.37999999523163
102970888.51,102970660.0,228.51000000536442
102967907.86,102967640.0,267.85999999940395
102974753.75999998,102974580.0,173.7599999755621
102973127.49999997,102972930.0,197.49999997019768
102971547.24999997,102971320.0,227.24999997019768
102974794.03999996,102974610.0,184.03999996185303
102978892.76999995,102978800.0,92.76999995112419
102978169.21999997,102978060.0,109.21999996900558
102973672.46999998,102973460.0,212.46999998390675
102973580.50999999,102973370.0,210.50999999046326
102972857.66999999,102972640.0,217.66999998688698
102971281.30999999,102971030.0,251.30999998748302
102973044.88999999,102972810.0,234.88999998569489
102966313.88,102965930.0,383.8799999952316
102961138.08,102960640.0,498.07999999821186
102964766.53999999,102964350.0,416.53999999165535
102965992.35999998,102965590.0,402.3599999845028
102965173.2,102964760.0,413.20000000298023
102965210.61999999,102964810.0,400.6199999898672
102969553.13,102969250.0,303.1299999952316
102965657.74999997,102965270.0,387.7499999701977
102969203.58999999,102968890.0,313.5899999886751
102970460.20999996,102970180.0,280.20999996364117
102975319.06999995,102975150.0,169.06999994814396
102974779.39999995,102974570.0,209.39999994635582
102977710.92999995,102977600.0,110.92999994754791
102978041.59999995,102977950.0,91.59999994933605
102980641.17999993,102980620.0,21.17999993264675
102979532.28999992,102979480.0,52.289999917149544
102975062.50999993,102974930.0,132.5099999308586
102976579.97999993,102976460.0,119.97999992966652
102977984.65999997,102977890.0,94.6599999666214
102977718.68999995,102977630.0,88.68999995291233
102976515.75999996,102976380.0,135.75999996066093
102976963.51999995,102976860.0,103.51999995112419
102977861.75999995,102977760.0,101.75999994575977
102979598.62999997,102979550.0,48.629999965429306
102979247.51999998,102979190.0,57.519999980926514
102981657.61,102981650.0,7.6099999994039536
102980513.32000001,102980470.0,43.320000007748604
102990149.26000002,102990400.0,-250.73999997973442
102990667.05000001,102990950.0,-282.94999998807907
102989104.95000002,102989350.0,-245.0499999821186
102988995.47000003,102989270.0,-274.52999997138977
102986417.57000001,102986600.0,-182.4299999922514
102984607.76,102984720.0,-112.23999999463558
102980568.47,102980560.0,8.469999998807907
102982151.66999999,102982220.0,-68.33000001311302
102980553.47999999,102980570.0,-16.520000010728836
102979847.53999998,102979840.0,7.5399999767541885
102977101.50999996,102977050.0,51.509999960660934
102975056.39999995,102974930.0,126.39999994635582
102975436.48999995,102975320.0,116.4899999499321
102973611.34999993,102973430.0,181.3499999344349
102976519.32999991,102976400.0,119.3299999088049
102979419.14999992,102979400.0,19.149999916553497
102968496.43999991,102968130.0,366.43999990820885
102970085.60999992,102969770.0,315.60999992489815
102967457.96999994,102967090.0,367.96999993920326
102961784.17999995,102961190.0,594.1799999475479
102963857.34999995,102963320.0,537.349999949336
102965204.04999994,102964740.0,464.0499999374151
102963044.69999993,102962490.0,554.6999999284744
102966544.65999992,102966100.0,444.6599999219179
102967051.00999992,102966640.0,411.00999991595745
102968079.87999992,102967700.0,379.8799999207258
102965749.00999995,102965270.0,479.0099999457598
102969914.42999993,102969590.0,324.42999993264675
102968758.16999996,102968370.0,388.16999995708466
102968457.11999995,102968060.0,397.1199999451637
102965179.61999993,102964650.0,529.6199999302626
102968726.97999994,102968340.0,386.9799999445677
102965048.81999996,102964510.0,538.8199999630451
102964651.04999998,102964120.0,531.0499999821186
102964896.31999998,102964390.0,506.3199999779463
102967626.52999997,102967200.0,426.52999997138977
102968074.41999997,102967700.0,374.4199999719858
102966603.16999996,102966200.0,403.16999995708466
102966131.10999997,102965690.0,441.10999996960163
102964569.57999997,102964080.0,489.57999996840954
102962686.43999997,102962060.0,626.4399999678135
102961491.54999995,102960850.0,641.5499999523163
102959635.05999999,102958910.0,725.059999987483
102959434.17999999,102958660.0,774.1799999922514
102959615.53000003,102958880.0,735.5300000309944
102962690.93000002,102962070.0,620.9300000220537
102965491.42000002,102964980.0,511.4200000166893
102963617.66000003,102963040.0,577.660000026226
102966756.04000005,102966320.0,436.04000005126
102966875.65000004,102966480.0,395.6500000357628
102969603.76000004,102969330.0,273.76000003516674
102969764.67000005,102969470.0,294.6700000464916
102972879.30000006,102972700.0,179.3000000566244
102971172.77000007,102970920.0,252.77000007033348
102971813.16000006,102971650.0,163.16000005602837
102973605.36000007,102973470.0,135.36000007390976
102972122.98000006,102971910.0,212.98000006377697
102972019.74000007,102971820.0,199.7400000691414
102972099.15000007,102971920.0,179.1500000655651
102969445.10000007,102969120.0,325.10000006854534
102968421.37000008,102968080.0,341.3700000792742
102969129.80000009,102968760.0,369.80000008642673
102967872.97000012,102967480.0,392.9700001180172
102968505.32000013,102968100.0,405.3200001269579
102972140.84000012,102971960.0,180.84000012278557
102970249.85000011,102969980.0,269.8500001132488
102969671.08000012,102969380.0,291.08000011742115
102971455.82000013,102971270.0,185.8200001269579
102971263.78000015,102971070.0,193.7800001502037
102966947.86000015,102966530.0,417.86000014841557
102966551.71000016,102966070.0,481.71000015735626
102966407.05000016,102965890.0,517.0500001609325
102967882.72000018,102967480.0,402.72000017762184
102965213.42000018,102964650.0,563.4200001806021
102965343.36000018,102964810.0,533.3600001782179
102967626.04000019,102967220.0,406.04000018537045
102967184.3100002,102966740.0,444.3100001960993
102967486.43000019,102967070.0,416.4300001859665
102966672.65000018,102966230.0,442.6500001847744
102965791.6400002,102965270.0,521.6400001943111
102963883.90000018,102963260.0,623.9000001847744
102964931.3800002,102964340.0,591.3800002038479
102963684.14000021,102963010.0,674.1400002092123
102965065.74000022,102964460.0,605.740000218153
102966863.70000023,102966300.0,563.7000002264977
102967523.14000025,102966980.0,543.1400002539158
102967827.93000026,102967280.0,547.9300002604723
102967548.80000028,102966970.0,578.8000002801418
102964241.9900003,102963520.0,721.9900002926588
102963549.23000029,102962750.0,799.2300002872944
102965367.4100003,102964650.0,717.410000294447
102967672.0200003,102967090.0,582.0200002938509
102969884.4800003,102969440.0,444.48000030219555
102970662.5400003,102970300.0,362.54000030457973
102968879.53000031,102968380.0,499.5300003141165
102966664.37000032,102966050.0,614.3700003176928
102965420.07000032,102964670.0,750.070000320673
102966585.48000033,102965830.0,755.4800003319979
102968080.23000033,102967410.0,670.2300003319979
102967892.78000034,102967240.0,652.7800003439188
102967868.52000034,102967120.0,748.5200003385544
102964106.79000033,102963140.0,966.7900003343821
