qLearning net worth,Base case net worth,Difference
103000749.99999999,103000750.0,-1.4901161193847656e-08
103011029.71000001,103011040.0,-10.28999999165535
103010880.09000002,103010890.0,-9.90999998152256
103011448.86000001,103011460.0,-11.139999985694885
103010104.26000002,103010110.0,-5.739999979734421
103009577.09000005,103009580.0,-2.9099999517202377
103008457.01000005,103008460.0,-2.9899999499320984
103006847.30000006,103006840.0,7.3000000566244125
103002477.13000008,103002440.0,37.130000084638596
103004075.58000006,103004050.0,25.580000057816505
103001706.74000007,103001660.0,46.74000006914139
103001454.06000006,103001400.0,54.06000006198883
102999601.56000006,102999530.0,71.56000006198883
103001483.57000008,103001430.0,53.57000008225441
103003095.3700001,103003050.0,45.37000009417534
102995515.15000011,102995400.0,115.15000011026859
102992094.2200001,102991950.0,144.22000010311604
102993776.61000012,102993650.0,126.61000011861324
102993547.05000012,102993420.0,127.05000011622906
102990732.34000012,102990580.0,152.34000012278557
102985143.14000012,102984910.0,233.14000011980534
102987627.20000012,102987430.0,197.20000012218952
102989483.8300001,102989310.0,173.83000010252
102990812.85000011,102990660.0,152.85000011324883
102986496.04000013,102986280.0,216.0400001257658
102981993.43000011,102981710.0,283.4300001114607
102979428.59000012,102979110.0,318.59000012278557
102977605.64000013,102977260.0,345.6400001347065
102977442.98000012,102977090.0,352.9800001233816
102978288.06000014,102977950.0,338.06000013649464
102973244.49000013,102972810.0,434.49000012874603
102979096.66000013,102978770.0,326.6600001305342
102981075.62000012,102980790.0,285.62000012397766
102978288.60000013,102977950.0,338.60000012815
102974966.86000012,102974560.0,406.86000011861324
102973855.15000011,102973430.0,425.1500001102686
102971160.1400001,102970690.0,470.1400001049042
102966707.31000009,102966150.0,557.3100000917912
102966266.4000001,102965700.0,566.4000000953674
102965609.7700001,102965030.0,579.7700001001358
102964888.7100001,102964300.0,588.7100000977516
102970209.28000009,102969740.0,469.28000009059906
102968953.86000009,102968450.0,503.8600000888109
102974454.63000005,102974080.0,374.6300000548363
102976265.04000007,102975930.0,335.04000006616116
102976371.37000008,102976040.0,331.3700000792742
102972541.26000008,102972110.0,431.2600000798702
102971118.36000007,102970660.0,458.36000007390976
102968171.49000007,102967640.0,531.4900000691414
102974953.02000007,102974580.0,373.0200000703335
102973340.87000006,102972930.0,410.870000064373
102971772.73000005,102971320.0,452.7300000488758
102974988.78000003,102974610.0,378.7800000309944
102979045.51000004,102978800.0,245.51000003516674
102978328.13000005,102978060.0,268.1300000548363
102973876.28000006,102973460.0,416.28000006079674
102973785.43000007,102973370.0,415.4300000667572
102973063.43000007,102972640.0,423.4300000667572
102971502.67000006,102971030.0,472.6700000613928
102973240.35000007,102972810.0,430.35000006854534
102966580.82000007,102965930.0,650.8200000673532
102961462.66000007,102960640.0,822.6600000709295
102965049.01000006,102964350.0,699.0100000649691
102966257.60000007,102965590.0,667.6000000685453
102965448.16000007,102964760.0,688.1600000709295
102965491.47000007,102964810.0,681.4700000733137
102969780.70000006,102969250.0,530.7000000625849
102965926.27000006,102965270.0,656.2700000554323
102969428.75000006,102968890.0,538.7500000596046
102970674.57000005,102970180.0,494.5700000524521
102975466.91000004,102975150.0,316.9100000411272
102974923.30000004,102974570.0,353.30000004172325
102977822.69000004,102977600.0,222.6900000423193
102978159.52000004,102977950.0,209.52000004053116
102980729.97000003,102980620.0,109.97000002861023
102979635.34000002,102979480.0,155.34000001847744
102975238.24000002,102974930.0,308.2400000244379
102976722.79000004,102976460.0,262.79000003635883
102978118.49000005,102977890.0,228.49000005424023
102977857.49000004,102977630.0,227.49000003933907
102976664.37000005,102976380.0,284.37000004947186
102977114.76000005,102976860.0,254.7600000500679
102977982.49000004,102977760.0,222.49000003933907
102979698.32000005,102979550.0,148.3200000524521
