Random net worth,Base case net worth,Difference
102943960.00000001,102943960.0,1.4901161193847656e-08
102943718.89000002,102943720.0,-1.1099999845027924
102941366.41000001,102941370.0,-3.5899999886751175
102942517.04,102942520.0,-2.959999993443489
102941127.33,102941130.0,-2.6700000017881393
102948096.16,102948100.0,-3.8400000035762787
102947466.30999999,102947470.0,-3.6900000125169754
102950060.36999999,102950060.0,0.3699999898672104
102947829.13,102947830.0,-0.8700000047683716
102951041.59,102951040.0,1.5900000035762787
102952002.14,102952000.0,2.1400000005960464
102949871.29999998,102949870.0,1.2999999821186066
102956138.41,102956130.0,8.409999996423721
102958084.42,102958070.0,14.42000000178814
102955680.58,102955670.0,10.57999999821186
102953736.62,102953730.0,6.620000004768372
102953064.33000001,102953060.0,4.330000013113022
102954319.06000002,102954310.0,9.060000017285347
102955181.10000002,102955170.0,11.100000023841858
102953182.14999999,102953180.0,2.1499999910593033
102950903.72000003,102950910.0,-6.2799999713897705
102951855.38000003,102951860.0,-4.619999974966049
102951833.39000006,102951840.0,-6.609999939799309
102952011.06000008,102952020.0,-8.939999923110008
102956159.30000006,102956150.0,9.300000056624413
102956589.84000006,102956580.0,9.840000063180923
102957415.43000007,102957400.0,15.430000066757202
102957112.91000006,102957100.0,12.910000056028366
102952784.34000005,102952780.0,4.340000048279762
102953699.14000006,102953700.0,-0.8599999397993088
102950229.58000006,102950240.0,-10.419999942183495
102950392.85000007,102950400.0,-7.1499999314546585
102948662.38000008,102948670.0,-7.619999915361404
102947609.27000009,102947620.0,-10.729999914765358
102948449.0400001,102948460.0,-10.959999904036522
102948314.2700001,102948320.0,-5.729999899864197
102949181.52000009,102949190.0,-8.479999914765358
102947353.92000008,102947370.0,-16.079999923706055
102948788.50000007,102948800.0,-11.499999925494194
102948994.8600001,102949000.0,-5.139999896287918
102949930.83000012,102949940.0,-9.16999988257885
102946625.29000013,102946650.0,-24.7099998742342
102946976.27000012,102947000.0,-23.729999884963036
102945786.5300001,102945810.0,-23.46999989449978
102946319.5600001,102946340.0,-20.439999893307686
102942606.13000011,102942640.0,-33.86999988555908
102943221.59000014,102943250.0,-28.40999986231327
102942434.84000014,102942470.0,-35.15999986231327
102944814.94000015,102944840.0,-25.059999853372574
102944886.90000014,102944910.0,-23.099999859929085
102944457.00000012,102944480.0,-22.99999988079071
102947178.86000012,102947190.0,-11.139999881386757
102948602.22000013,102948610.0,-7.779999867081642
102946952.49000013,102946970.0,-17.509999871253967
102949672.63000011,102949680.0,-7.369999885559082
102946377.32000011,102946400.0,-22.679999887943268
102947182.27000013,102947200.0,-17.729999870061874
102945266.10000013,102945290.0,-23.899999871850014
102941516.12000014,102941550.0,-33.87999986112118
102942095.83000015,102942130.0,-34.16999985277653
102944548.55000015,102944570.0,-21.44999985396862
102944592.38000014,102944610.0,-17.61999985575676
102944973.89000016,102944990.0,-16.10999983549118
102946858.87000015,102946860.0,-1.1299998462200165
102945945.83000015,102945950.0,-4.169999852776527
102941916.22000016,102941930.0,-13.77999983727932
102939150.18000016,102939170.0,-19.81999984383583
102940234.41000016,102940250.0,-15.589999839663506
102941433.10000014,102941450.0,-16.899999856948853
102939731.00000013,102939750.0,-18.99999986588955
102939151.46000014,102939170.0,-18.5399998575449
102937795.53000014,102937810.0,-14.469999864697456
102938955.48000014,102938970.0,-14.519999861717224
102935809.42000014,102935830.0,-20.57999986410141
102937935.87000014,102937950.0,-14.129999861121178
102939685.66000013,102939690.0,-4.339999869465828
102941382.86000013,102941380.0,2.8600001335144043
102938029.59000014,102938040.0,-10.40999986231327
102936704.59000014,102936720.0,-15.40999986231327
102933003.27000014,102933040.0,-36.72999985516071
102936716.39000012,102936730.0,-13.609999880194664
102938777.64000013,102938780.0,-2.359999865293503
102936902.31000014,102936920.0,-17.689999863505363
102936389.65000013,102936420.0,-30.349999874830246
102936412.87000012,102936450.0,-37.12999987602234
102938519.47000015,102938540.0,-20.52999985218048
102940065.81000014,102940080.0,-14.189999863505363
102938898.58000013,102938930.0,-31.41999986767769
102935128.84000014,102935190.0,-61.15999986231327
102936561.29000014,102936610.0,-48.70999985933304
102934522.48000014,102934590.0,-67.51999986171722
102934075.79000016,102934150.0,-74.20999984443188
102932978.93000016,102933060.0,-81.06999984383583
102930510.86000018,102930610.0,-99.13999982178211
102930315.08000016,102930420.0,-104.91999983787537
102929244.34000018,102929350.0,-105.65999981760979
102930472.07000019,102930570.0,-97.92999981343746
102933110.84000017,102933190.0,-79.15999983251095
102932697.82000017,102932780.0,-82.17999982833862
102935418.14000018,102935480.0,-61.85999982059002
102934457.68000017,102934530.0,-72.31999982893467
102935487.38000014,102935550.0,-62.61999985575676
102935594.19000015,102935650.0,-55.809999853372574
102934501.57000017,102934570.0,-68.42999982833862
102934005.61000016,102934070.0,-64.38999983668327
102937155.35000016,102937200.0,-44.64999984204769
102937107.27000016,102937150.0,-42.72999984025955
102935369.58000018,102935420.0,-50.419999822974205
102934930.57000017,102934990.0,-59.42999982833862
102936258.29000019,102936310.0,-51.709999814629555
102937928.0600002,102937980.0,-51.93999980390072
102940476.38000019,102940510.0,-33.619999811053276
102942760.75000018,102942790.0,-29.249999821186066
102944075.80000018,102944090.0,-14.199999824166298
102942332.28000018,102942350.0,-17.719999819993973
102941627.30000018,102941660.0,-32.6999998241663
102940916.1600002,102940950.0,-33.83999979496002
102940236.5000002,102940280.0,-43.499999806284904
102941543.58000019,102941580.0,-36.419999808073044
102941577.51000021,102941610.0,-32.489999786019325
102940450.43000019,102940490.0,-39.56999981403351
102938096.5900002,102938160.0,-63.409999802708626
102937895.88000019,102937960.0,-64.11999981105328
102937352.70000018,102937420.0,-67.29999981820583
102937607.77000017,102937670.0,-62.22999982535839
102937324.98000017,102937390.0,-65.0199998319149
102938528.80000016,102938580.0,-51.19999983906746
102936115.87000015,102936190.0,-74.12999984622002
102936776.61000015,102936840.0,-63.389999851584435
102936806.83000013,102936870.0,-63.16999986767769
102936746.70000017,102936820.0,-73.299999833107
102935906.10000014,102936000.0,-93.89999985694885
102938632.51000014,102938700.0,-67.48999986052513
102938246.15000014,102938320.0,-73.84999985992908
102938690.58000015,102938760.0,-69.41999985277653
102940227.22000015,102940290.0,-62.77999985218048
102940677.69000015,102940740.0,-62.309999853372574
102940410.41000015,102940470.0,-59.58999985456467
102940063.53000014,102940130.0,-66.46999986469746
102936870.51000012,102936970.0,-99.48999987542629
102933634.87000011,102933760.0,-125.1299998909235
102930413.89000012,102930560.0,-146.10999988019466
102933498.47000012,102933620.0,-121.5299998819828
102933870.78000012,102934000.0,-129.21999987959862
102932557.00000013,102932690.0,-132.99999986588955
102933334.37000012,102933460.0,-125.62999987602234
102933904.32000011,102934030.0,-125.67999988794327
102934978.16000012,102935090.0,-111.83999988436699
102938729.73000011,102938820.0,-90.26999989151955
102938806.1600001,102938900.0,-93.83999989926815
102939656.8700001,102939750.0,-93.12999990582466
102943042.11000009,102943110.0,-67.88999991118908
102940079.2900001,102940170.0,-90.70999990403652
102939848.82000011,102939940.0,-91.17999988794327
102941808.68000011,102941880.0,-71.31999988853931
102941709.38000011,102941780.0,-70.61999988555908
102940472.6300001,102940550.0,-77.36999990046024
102938093.4300001,102938190.0,-96.56999990344048
102938266.85000008,102938370.0,-103.1499999165535
102935419.54000008,102935550.0,-130.45999991893768
102935091.53000009,102935220.0,-128.46999990940094
102933724.33000009,102933870.0,-145.66999991238117
102932722.9000001,102932880.0,-157.09999990463257
102934558.36000012,102934700.0,-141.63999988138676
102931118.09000011,102931290.0,-171.9099998921156
102929742.4100001,102929930.0,-187.58999989926815
102932604.44000013,102932770.0,-165.55999986827374
102932122.64000013,102932290.0,-167.3599998652935
102933125.84000014,102933280.0,-154.15999986231327
102932019.14000013,102932180.0,-160.8599998652935
102929488.01000015,102929670.0,-181.98999984562397
102929830.42000017,102930010.0,-179.5799998342991
102927694.93000017,102927890.0,-195.06999982893467
102925542.91000018,102925760.0,-217.08999982476234
102925044.28000018,102925260.0,-215.71999981999397
102922204.85000017,102922440.0,-235.14999982714653
102920984.11000018,102921230.0,-245.8899998217821
102923621.05000016,102923850.0,-228.94999983906746
102923720.10000016,102923950.0,-229.8999998420477
102922749.07000016,102922990.0,-240.92999984323978
102922065.85000014,102922320.0,-254.14999985694885
102925559.95000014,102925780.0,-220.04999986290932
102924757.07000013,102924980.0,-222.9299998730421
102926154.38000011,102926360.0,-205.61999988555908
102925031.04000013,102925230.0,-198.9599998742342
102925033.34000014,102925230.0,-196.65999986231327
102928434.96000014,102928600.0,-165.0399998575449
102928508.47000013,102928670.0,-161.52999986708164
102926738.85000014,102926920.0,-181.14999985694885
102926867.61000013,102927050.0,-182.3899998664856
102926140.87000015,102926320.0,-179.12999984622002
102928978.46000016,102929140.0,-161.53999984264374
