Random net worth,Base case net worth,Difference
102934450.00000001,102934450.0,1.4901161193847656e-08
102927896.37000002,102927890.0,6.370000019669533
102924998.21000001,102924990.0,8.21000000834465
102918775.14000002,102918760.0,15.140000015497208
102918015.13,102918000.0,15.129999995231628
102921298.17999998,102921280.0,18.179999977350235
102915793.84999996,102915780.0,13.849999964237213
102928354.06999995,102928330.0,24.06999994814396
102938341.79999995,102938320.0,21.799999952316284
102928562.58999994,102928540.0,22.589999943971634
102934214.38999994,102934190.0,24.3899999409914
102933357.38999994,102933330.0,27.3899999409914
102933165.50999993,102933140.0,25.509999930858612
102935076.44999994,102935050.0,26.449999943375587
102939333.33999994,102939310.0,23.339999943971634
102937814.21999994,102937790.0,24.219999939203262
102937206.40999997,102937180.0,26.4099999666214
102941036.55999997,102941010.0,26.559999972581863
102935490.15999998,102935460.0,30.15999998152256
102932908.17999998,102932880.0,28.179999977350235
102929483.08999997,102929450.0,33.089999973773956
102924780.30999996,102924740.0,40.3099999576807
102918453.16999996,102918400.0,53.169999957084656
102918065.60999995,102918010.0,55.60999995470047
102921047.60999994,102921000.0,47.60999993979931
102925535.41999994,102925500.0,35.419999942183495
102919087.99999996,102919040.0,47.999999955296516
102917451.05999997,102917400.0,51.05999997258186
102916461.19999997,102916410.0,51.19999997317791
102921104.38999999,102921070.0,34.389999985694885
102922140.44999999,102922110.0,30.44999998807907
102923064.08999997,102923040.0,24.089999973773956
102921210.79999997,102921180.0,30.799999967217445
102915267.17999998,102915200.0,67.17999997735023
102906283.29999998,102906170.0,113.2999999821186
102904292.01999997,102904170.0,122.01999996602535
102909878.51999995,102909800.0,78.51999995112419
102910116.90999997,102910050.0,66.9099999666214
102906243.06999996,102906140.0,103.06999996304512
102905789.12999997,102905690.0,99.1299999654293
102911900.82999994,102911830.0,70.82999993860722
102913272.24999994,102913220.0,52.249999940395355
102916928.70999995,102916890.0,38.709999948740005
102920016.99999996,102920000.0,16.999999955296516
102914541.14999995,102914490.0,51.14999994635582
102914722.57999995,102914670.0,52.57999995350838
102917945.17999995,102917900.0,45.17999994754791
102907211.56999992,102907100.0,111.56999991834164
102909408.44999991,102909310.0,98.44999991357327
102901287.1299999,102901150.0,137.12999990582466
102903112.65999989,102902980.0,132.6599998921156
102902527.98999989,102902390.0,137.98999989032745
102906076.31999987,102905960.0,116.31999987363815
102905274.44999988,102905160.0,114.44999988377094
102904052.85999987,102903930.0,122.8599998652935
102901863.29999988,102901730.0,133.29999987781048
102897049.04999988,102896880.0,169.04999987781048
102893267.66999985,102893070.0,197.66999985277653
102884737.88999985,102884450.0,287.88999985158443
102884164.19999987,102883880.0,284.1999998688698
102890208.73999985,102889990.0,218.73999984562397
102892460.79999985,102892260.0,200.79999984800816
102892830.03999986,102892630.0,200.0399998575449
102892680.92999987,102892490.0,190.9299998730421
102890409.35999988,102890200.0,209.35999988019466
102885800.54999986,102885560.0,240.54999986290932
102885852.87999988,102885610.0,242.87999987602234
102889734.25999987,102889510.0,224.25999987125397
102886149.59999989,102885910.0,239.5999998897314
102880353.2799999,102880030.0,323.27999989688396
102887896.21999991,102887650.0,246.21999990940094
102885175.2899999,102884900.0,275.2899999022484
102881514.50999989,102881210.0,304.50999988615513
102876905.45999989,102876550.0,355.45999988913536
102874635.01999989,102874260.0,375.01999989151955
102872575.83999988,102872160.0,415.839999884367
102874884.70999989,102874490.0,394.70999988913536
102878992.5099999,102878650.0,342.5099999010563
102876011.4199999,102875640.0,371.41999989748
102869221.34999989,102868780.0,441.3499998897314
102860001.62999988,102859460.0,541.6299998760223
102864963.04999986,102864470.0,493.0499998629093
102866569.62999986,102866080.0,489.6299998611212
102866823.68999985,102866320.0,503.6899998486042
102867634.37999986,102867130.0,504.3799998611212
102875369.71999985,102874920.0,449.7199998497963
102877989.39999986,102877590.0,399.39999985694885
102886442.04999983,102886130.0,312.049999833107
102889446.30999984,102889170.0,276.3099998384714
102888593.60999982,102888320.0,273.60999982059
102890607.98999982,102890350.0,257.98999981582165
102899102.30999981,102898930.0,172.3099998086691
102898459.62999982,102898270.0,189.6299998164177
102900635.55999984,102900470.0,165.5599998384714
102896688.74999985,102896490.0,198.7499998509884
102893597.35999985,102893360.0,237.35999985039234
102896637.74999985,102896450.0,187.7499998509884
102893898.22999987,102893670.0,228.22999987006187
102899310.21999985,102899130.0,180.2199998497963
