Approx net worth,Base case net worth,Difference
102943960.0,102943960.0,0.0
102943720.24000001,102943720.0,0.24000000953674316
102941372.36000001,102941370.0,2.3600000143051147
102942518.25000003,102942520.0,-1.7499999701976776
102941129.91000003,102941130.0,-0.0899999737739563
102948066.76000002,102948100.0,-33.23999997973442
102947443.04000002,102947470.0,-26.959999978542328
102950018.39000002,102950060.0,-41.60999998450279
102947802.77000001,102947830.0,-27.229999989271164
102950991.08,102951040.0,-48.92000000178814
102951947.11999996,102952000.0,-52.88000003993511
102949830.74999996,102949870.0,-39.250000044703484
102956040.38999996,102956130.0,-89.61000004410744
102957943.10999995,102958070.0,-126.89000004529953
102955565.48999995,102955670.0,-104.5100000500679
102953658.20999995,102953730.0,-71.79000005126
102953000.86999995,102953060.0,-59.13000005483627
102954230.27999993,102954310.0,-79.72000007331371
102955077.35999994,102955170.0,-92.64000006020069
102953125.26999994,102953180.0,-54.73000006377697
102950881.08999993,102950910.0,-28.910000070929527
102951822.25999995,102951860.0,-37.74000005424023
102951809.83999996,102951840.0,-30.160000041127205
102951994.35999995,102952020.0,-25.64000004529953
102956067.25999996,102956150.0,-82.74000003933907
102956491.04999997,102956580.0,-88.95000003278255
102957300.50999998,102957400.0,-99.4900000244379
102957009.48999996,102957100.0,-90.51000003516674
102952744.98999996,102952780.0,-35.01000003516674
102953666.16999997,102953700.0,-33.83000002801418
102950272.32999998,102950240.0,32.3299999833107
102950428.48999998,102950400.0,28.48999997973442
102948727.24999999,102948670.0,57.24999998509884
102947694.14,102947620.0,74.14000000059605
102948524.56,102948460.0,64.56000000238419
102948376.89999999,102948320.0,56.8999999910593
102949242.60000001,102949190.0,52.6000000089407
102947445.36,102947370.0,75.35999999940395
102948858.66000001,102948800.0,58.66000001132488
102949047.32000002,102949000.0,47.320000022649765
102949982.58,102949940.0,42.57999999821186
102946721.25,102946650.0,71.25
102947067.96999997,102947000.0,67.96999996900558
102945886.67999999,102945810.0,76.6799999922514
102946410.33999999,102946340.0,70.33999998867512
102942733.02,102942640.0,93.01999999582767
102943339.68,102943250.0,89.68000000715256
102942561.86,102942470.0,91.85999999940395
102944921.64000002,102944840.0,81.64000001549721
102944987.13000001,102944910.0,77.13000001013279
102944552.97000001,102944480.0,72.97000001370907
102947257.00000001,102947190.0,67.00000001490116
102948679.42,102948610.0,69.42000000178814
102947039.70000002,102946970.0,69.7000000178814
102949735.34,102949680.0,55.34000000357628
102946468.76,102946400.0,68.76000000536442
102947262.52,102947200.0,62.519999995827675
102945370.84999996,102945290.0,80.84999996423721
102941640.54999997,102941550.0,90.54999996721745
102942212.82999997,102942130.0,82.82999996840954
102944647.36999997,102944570.0,77.36999997496605
102944681.88999999,102944610.0,71.88999998569489
102945057.01,102944990.0,67.01000000536442
102946920.7,102946860.0,60.70000000298023
102946018.47999999,102945950.0,68.47999998927116
102941998.35000002,102941930.0,68.35000002384186
102939249.64000003,102939170.0,79.64000003039837
102940328.94000004,102940250.0,78.9400000423193
102941540.90000004,102941450.0,90.90000003576279
102939837.64999999,102939750.0,87.6499999910593
102939259.28999998,102939170.0,89.28999997675419
102937891.82999998,102937810.0,81.8299999833107
102939060.35999998,102938970.0,90.35999998450279
102935896.70999998,102935830.0,66.70999997854233
102938036.41999997,102937950.0,86.41999997198582
102939785.58999999,102939690.0,95.58999998867512
102941491.18999998,102941380.0,111.18999998271465
102938117.37999998,102938040.0,77.37999998033047
102936783.33999999,102936720.0,63.33999998867512
102933082.41,102933040.0,42.40999999642372
102936806.65999997,102936730.0,76.6599999666214
102938875.36999997,102938780.0,95.36999997496605
102936996.44,102936920.0,76.43999999761581
102936496.89999998,102936420.0,76.89999997615814
102936528.62999997,102936450.0,78.6299999654293
102938627.31999995,102938540.0,87.31999994814396
102940189.53999996,102940080.0,109.53999996185303
102939031.39999996,102938930.0,101.39999996125698
102935242.90999997,102935190.0,52.9099999666214
102936676.07999998,102936610.0,66.0799999833107
102934630.01999998,102934590.0,40.019999980926514
102934196.73,102934150.0,46.730000004172325
102933081.01,102933060.0,21.010000005364418
102930586.04999998,102930610.0,-23.950000017881393
102930398.08999997,102930420.0,-21.910000026226044
102929322.83999997,102929350.0,-27.160000026226044
102930563.49999997,102930570.0,-6.500000029802322
102933225.05999994,102933190.0,35.05999994277954
102932810.30999996,102932780.0,30.309999957680702
102935559.61999993,102935480.0,79.61999993026257
102934591.89999992,102934530.0,61.8999999165535
102935633.11999992,102935550.0,83.1199999153614
102935726.53999992,102935650.0,76.53999991714954
102934613.95999992,102934570.0,43.95999991893768
102934094.73999994,102934070.0,24.739999935030937
102937286.33999993,102937200.0,86.33999992907047
102937227.23999995,102937150.0,77.2399999499321
102935479.13999996,102935420.0,59.13999995589256
102935047.52999996,102934990.0,57.52999995648861
102936404.88999994,102936310.0,94.8899999409914
102938088.26999994,102937980.0,108.26999993622303
102940627.18999995,102940510.0,117.18999995291233
102942928.08999996,102942790.0,138.0899999588728
102944235.14999998,102944090.0,145.14999997615814
102942477.26999998,102942350.0,127.26999998092651
102941786.85999995,102941660.0,126.85999995470047
102941064.41999999,102940950.0,114.41999998688698
102940387.21999998,102940280.0,107.21999998390675
102941701.13,102941580.0,121.12999999523163
102941730.55,102941610.0,120.54999999701977
102940610.21,102940490.0,120.20999999344349
102938274.56000002,102938160.0,114.56000001728535
102938074.35000002,102937960.0,114.35000002384186
102937536.16000003,102937420.0,116.16000002622604
102937783.89000002,102937670.0,113.89000001549721
102937498.59000003,102937390.0,108.5900000333786
102938696.56000003,102938580.0,116.56000003218651
102936278.70000003,102936190.0,88.70000003278255
102936944.44000003,102936840.0,104.44000002741814
102936973.60000005,102936870.0,103.60000005364418
102936938.07000005,102936820.0,118.07000005245209
102936100.99000007,102936000.0,100.99000006914139
102938842.16000007,102938700.0,142.16000007092953
102938453.63000007,102938320.0,133.63000006973743
102938884.3500001,102938760.0,124.35000009834766
102940433.8300001,102940290.0,143.83000010252
102940894.92000009,102940740.0,154.9200000911951
102940628.55000009,102940470.0,158.55000008642673
102940292.89000009,102940130.0,162.890000090003
102937110.26000006,102936970.0,140.26000006496906
102933872.14000009,102933760.0,112.14000009000301
102930653.35000007,102930560.0,93.35000006854534
102933744.06000006,102933620.0,124.06000006198883
102934129.52000006,102934000.0,129.52000005543232
102932798.72000006,102932690.0,108.72000005841255
102933577.66000006,102933460.0,117.66000005602837
102934163.72000003,102934030.0,133.72000002861023
102935227.06000002,102935090.0,137.06000001728535
102939020.64,102938820.0,200.64000000059605
102939088.65999998,102938900.0,188.65999998152256
102939943.89999999,102939750.0,193.8999999910593
102943349.73999998,102943110.0,239.73999997973442
102940366.65999997,102940170.0,196.6599999666214
102940136.92999996,102939940.0,196.92999996244907
102942095.52999996,102941880.0,215.5299999564886
102942001.04999997,102941780.0,221.04999996721745
102940760.56999998,102940550.0,210.56999997794628
102938375.54999998,102938190.0,185.5499999821186
102938565.45000002,102938370.0,195.4500000178814
102935726.95000002,102935550.0,176.9500000178814
102935397.57000002,102935220.0,177.57000002264977
102934040.62000005,102933870.0,170.62000004947186
102933035.68000007,102932880.0,155.6800000667572
102934875.10000007,102934700.0,175.10000006854534
102931426.04000007,102931290.0,136.04000006616116
102930043.64000006,102929930.0,113.64000006020069
102932926.96000007,102932770.0,156.9600000679493
102932437.42000008,102932290.0,147.42000007629395
102933440.04000007,102933280.0,160.04000006616116
102932320.28000008,102932180.0,140.2800000756979
102929757.44000007,102929670.0,87.44000007212162
102930105.48000006,102930010.0,95.48000006377697
102927941.3400001,102927890.0,51.340000092983246
102925774.8300001,102925760.0,14.830000102519989
102925275.13000013,102925260.0,15.13000012934208
102922394.87000015,102922440.0,-45.12999984622002
102921156.09000015,102921230.0,-73.90999984741211
102923831.21000016,102923850.0,-18.789999842643738
102923936.41000015,102923950.0,-13.589999854564667
102922950.67000012,102922990.0,-39.32999987900257
102922259.57000014,102922320.0,-60.429999858140945
102925808.51000012,102925780.0,28.510000124573708
102924989.39000013,102924980.0,9.390000134706497
102926414.79000014,102926360.0,54.79000014066696
102925239.41000013,102925230.0,9.410000130534172
102925236.03000015,102925230.0,6.030000150203705
102928693.87000014,102928600.0,93.87000013887882
102928761.76000014,102928670.0,91.76000013947487
102926962.74000017,102926920.0,42.740000173449516
102927099.47000016,102927050.0,49.47000016272068
102926334.91000019,102926320.0,14.910000190138817
102929233.0300002,102929140.0,93.03000019490719
102930072.71000017,102929960.0,112.71000017225742
102929636.02000019,102929530.0,106.02000018954277
102930088.32000022,102929980.0,108.32000021636486
102926491.24000022,102926460.0,31.240000218153
102924006.56000023,102924030.0,-23.439999774098396
102922893.76000023,102922930.0,-36.239999771118164
102926338.72000024,102926290.0,48.720000237226486
102924823.41000023,102924800.0,23.4100002348423
102923612.19000024,102923600.0,12.190000236034393
102923035.69000022,102923040.0,-4.309999778866768
102922717.7700002,102922730.0,-12.229999795556068
102922278.19000022,102922310.0,-31.809999778866768
102921700.33000022,102921740.0,-39.66999977827072
102924981.43000022,102924940.0,41.430000215768814
102927495.39000021,102927380.0,115.3900002092123
102926354.8200002,102926270.0,84.8200002014637
102927045.74000019,102926940.0,105.74000018835068
102926288.82000019,102926200.0,88.82000018656254
102923815.10000017,102923790.0,25.10000017285347
102922954.66000015,102922950.0,4.660000145435333
102920713.46000016,102920750.0,-36.53999984264374
102918844.67000015,102918920.0,-75.32999984920025
102920950.33000015,102920970.0,-19.669999852776527
102923154.18000016,102923120.0,34.18000015616417
102924680.88000017,102924600.0,80.88000017404556
102924005.63000019,102923950.0,55.630000188946724
102922865.25000021,102922840.0,25.250000208616257
102923257.61000021,102923220.0,37.61000020802021
102924455.71000025,102924380.0,75.71000024676323
102924530.85000023,102924460.0,70.85000023245811
102925787.77000022,102925680.0,107.77000021934509
102927504.03000021,102927360.0,144.03000020980835
102926215.11000022,102926100.0,115.11000022292137
102927634.97000022,102927480.0,154.97000022232533
102926689.61000024,102926560.0,129.61000023782253
102923693.82000025,102923630.0,63.82000024616718
102922465.86000024,102922430.0,35.86000023782253
102923874.02000025,102923810.0,64.02000024914742
102925636.62000027,102925530.0,106.62000027298927
102924344.48000024,102924270.0,74.4800002425909
102923493.52000023,102923440.0,53.520000234246254
102922629.68000025,102922600.0,29.680000245571136
102922582.00000022,102922550.0,32.00000022351742
102919653.89000024,102919700.0,-46.109999760985374
102916408.25000024,102916540.0,-131.74999976158142
102915857.81000024,102916020.0,-162.18999975919724
102911853.81000024,102912140.0,-286.18999975919724
102908907.28000024,102909270.0,-362.7199997603893
102907928.74000022,102908320.0,-391.259999781847
102912557.31000021,102912790.0,-232.68999978899956
102909398.41000022,102909750.0,-351.58999978005886
102903926.15000024,102904470.0,-543.849999755621
102902468.67000026,102903060.0,-591.3299997448921
102902835.11000024,102903420.0,-584.8899997621775
102905554.15000024,102906030.0,-475.84999975562096
102904962.82000028,102905460.0,-497.1799997240305
102903475.56000027,102904020.0,-544.4399997293949
102904252.55000027,102904770.0,-517.4499997347593
102903967.83000025,102904500.0,-532.1699997484684
102901774.17000024,102902400.0,-625.8299997597933
102898579.33000024,102899350.0,-770.6699997633696
102897433.47000024,102898250.0,-816.5299997627735
102895404.23000026,102896320.0,-915.7699997425079
102893307.75000022,102894300.0,-992.2499997764826
102897565.65000024,102898370.0,-804.349999755621
