Approx net worth,Base case net worth,Difference
102943959.99999999,102943960.0,-1.4901161193847656e-08
102943720.23999996,102943720.0,0.23999996483325958
102941369.77999997,102941370.0,-0.2200000286102295
102942519.66999997,102942520.0,-0.33000002801418304
102941129.62999998,102941130.0,-0.3700000196695328
102948093.29999995,102948100.0,-6.700000047683716
102947465.43999995,102947470.0,-4.560000047087669
102950049.04999994,102950060.0,-10.950000062584877
102947823.14999993,102947830.0,-6.8500000685453415
102951031.19999993,102951040.0,-8.800000071525574
102951991.49999991,102952000.0,-8.500000089406967
102949864.9499999,102949870.0,-5.050000101327896
102956117.94999987,102956130.0,-12.050000131130219
102958050.32999986,102958070.0,-19.67000013589859
102955655.78999986,102955670.0,-14.210000142455101
102953722.18999986,102953730.0,-7.8100001364946365
102953053.70999986,102953060.0,-6.290000140666962
102954302.93999986,102954310.0,-7.0600001364946365
102955161.63999988,102955170.0,-8.360000118613243
102953176.2299999,102953180.0,-3.7700001001358032
102950913.02999991,102950910.0,3.0299999117851257
102951860.4199999,102951860.0,0.419999897480011
102951841.1599999,102951840.0,1.1599999070167542
102952020.4399999,102952020.0,0.43999989330768585
102956141.9399999,102956150.0,-8.060000106692314
102956569.62999988,102956580.0,-10.370000123977661
102957389.04999988,102957400.0,-10.950000122189522
102957090.18999991,102957100.0,-9.810000091791153
102952779.04999991,102952780.0,-0.9500000923871994
102953698.1499999,102953700.0,-1.8500000983476639
102950239.1099999,102950240.0,-0.8900001049041748
102950399.5499999,102950400.0,-0.4500001072883606
102948673.14999989,102948670.0,3.149999886751175
102947625.63999988,102947620.0,5.639999881386757
102948464.15999988,102948460.0,4.159999877214432
102948324.5799999,102948320.0,4.579999893903732
102949193.83999987,102949190.0,3.839999869465828
102947372.19999985,102947370.0,2.1999998539686203
102948802.29999985,102948800.0,2.299999848008156
102949004.75999984,102949000.0,4.759999841451645
102949944.07999983,102949940.0,4.0799998342990875
102946655.64999984,102946650.0,5.649999842047691
102947005.76999982,102947000.0,5.7699998170137405
102945816.69999981,102945810.0,6.699999809265137
102946344.19999982,102946340.0,4.199999824166298
102942649.43999982,102942640.0,9.43999981880188
102943259.57999982,102943250.0,9.579999819397926
102942478.09999982,102942470.0,8.099999815225601
102944849.99999979,102944840.0,9.999999791383743
102944918.14999981,102944910.0,8.149999812245369
102944485.98999982,102944480.0,5.989999815821648
102947193.75999981,102947190.0,3.7599998116493225
102948612.73999982,102948610.0,2.7399998158216476
102946973.81999981,102946970.0,3.8199998140335083
102949679.87999982,102949680.0,-0.12000018358230591
102946406.45999981,102946400.0,6.459999814629555
102947204.31999981,102947200.0,4.319999814033508
102945298.12999983,102945290.0,8.129999831318855
102941559.94999984,102941550.0,9.949999839067459
102942139.94999985,102942130.0,9.94999985396862
102944582.58999984,102944570.0,12.589999839663506
102944622.82999983,102944610.0,12.829999834299088
102945000.26999982,102944990.0,10.26999981701374
102946868.04999982,102946860.0,8.049999818205833
102945960.93999983,102945950.0,10.939999833703041
102941934.85999984,102941930.0,4.85999983549118
102939171.28999983,102939170.0,1.2899998277425766
102940254.61999983,102940250.0,4.619999825954437
102941459.76999983,102941450.0,9.769999831914902
102939755.1099998,102939750.0,5.109999805688858
102939174.90999979,102939170.0,4.909999787807465
102937806.42999978,102937810.0,-3.5700002163648605
102938969.48999979,102938970.0,-0.5100002139806747
102935815.2199998,102935830.0,-14.780000194907188
