Approx net worth,Base case net worth,Difference
102906140.00000001,102906140.0,1.4901161193847656e-08
102905689.83000001,102905690.0,-0.16999998688697815
102911841.21000002,102911830.0,11.210000023245811
102913235.14000003,102913220.0,15.140000030398369
102916919.24000002,102916890.0,29.240000024437904
102920037.27000006,102920000.0,37.27000005543232
102914514.25000007,102914490.0,24.250000074505806
102914693.29000007,102914670.0,23.290000066161156
102917922.81000006,102917900.0,22.81000006198883
102907132.79000005,102907100.0,32.790000051259995
102909336.59000003,102909310.0,26.5900000333786
102901189.85000005,102901150.0,39.85000005364418
102903019.13000005,102902980.0,39.13000005483627
102902428.50000006,102902390.0,38.500000059604645
102906004.26000008,102905960.0,44.260000079870224
102905202.96000008,102905160.0,42.960000082850456
102903973.34000008,102903930.0,43.340000078082085
102901766.1800001,102901730.0,36.180000096559525
102896896.82000011,102896880.0,16.820000112056732
102893062.65000013,102893070.0,-7.349999874830246
102884380.49000013,102884450.0,-69.50999987125397
102883805.9400001,102883880.0,-74.05999989807606
102889970.6800001,102889990.0,-19.319999903440475
102892267.09000012,102892260.0,7.090000122785568
102892636.71000011,102892630.0,6.710000112652779
102892497.33000013,102892490.0,7.330000132322311
102890173.49000014,102890200.0,-26.509999856352806
102885470.73000017,102885560.0,-89.2699998319149
102885519.99000016,102885610.0,-90.00999984145164
102889468.63000019,102889510.0,-41.369999811053276
102885826.79000019,102885910.0,-83.20999981462955
102879864.24000019,102880030.0,-165.75999981164932
102887589.33000019,102887650.0,-60.669999808073044
102884793.33000019,102884900.0,-106.66999980807304
102881042.07000019,102881210.0,-167.92999981343746
102876314.28000018,102876550.0,-235.71999981999397
102873987.23000017,102874260.0,-272.7699998319149
102871845.28000018,102872160.0,-314.719999819994
102874221.73000015,102874490.0,-268.26999984681606
102878470.21000014,102878650.0,-179.7899998575449
102875397.53000014,102875640.0,-242.46999986469746
102868387.05000012,102868780.0,-392.94999988377094
102858847.92000009,102859460.0,-612.0799999088049
102863977.1800001,102864470.0,-492.8199999034405
102865620.0300001,102866080.0,-459.9699998944998
102865870.58000012,102866320.0,-449.41999988257885
102866700.70000014,102867130.0,-429.2999998629093
102874684.77000014,102874920.0,-235.2299998551607
102877446.49000016,102877590.0,-143.50999984145164
102886229.30000016,102886130.0,99.30000016093254
102889361.92000017,102889170.0,191.9200001657009
102888497.07000017,102888320.0,177.07000017166138
102890579.96000017,102890350.0,229.96000017225742
102899351.86000015,102898930.0,421.86000014841557
102898666.97000015,102898270.0,396.9700001478195
102900906.91000016,102900470.0,436.9100001603365
102896847.24000014,102896490.0,357.2400001436472
102893657.50000016,102893360.0,297.5000001639128
102896816.01000017,102896450.0,366.0100001692772
102893984.03000015,102893670.0,314.0300001502037
102899532.68000016,102899130.0,402.68000015616417
102907865.47000013,102907340.0,525.4700001329184
102906249.24000013,102905740.0,509.24000012874603
102901514.75000013,102901070.0,444.75000013411045
102904184.02000013,102903710.0,474.0200001299381
102899458.63000014,102899040.0,418.63000014424324
102899512.87000015,102899090.0,422.87000015378
102903833.53000018,102903370.0,463.530000180006
102906189.00000018,102905700.0,489.00000017881393
102904225.36000015,102903750.0,475.36000014841557
102904081.29000016,102903610.0,471.2900001555681
102909076.33000013,102908570.0,506.3300001323223
102901696.30000012,102901240.0,456.30000011622906
102901589.97000012,102901130.0,459.9700001180172
102893307.89000012,102892880.0,427.89000011980534
102889070.91000012,102888670.0,400.910000115633
102891868.90000011,102891450.0,418.9000001102686
102887972.3000001,102887580.0,392.3000001013279
102884511.57000011,102884150.0,361.57000011205673
102877396.74000014,102877100.0,296.7400001436472
102878562.98000015,102878250.0,312.98000015318394
102882824.95000014,102882460.0,364.9500001370907
102882491.27000014,102882120.0,371.2700001448393
102887866.26000014,102887430.0,436.26000013947487
102890184.04000014,102889720.0,464.04000014066696
102888714.20000014,102888270.0,444.2000001370907
102887117.62000017,102886700.0,417.62000016868114
102886240.80000018,102885830.0,410.8000001758337
102888018.34000018,102887590.0,428.3400001823902
102891847.70000018,102891380.0,467.70000018179417
102896513.7400002,102896000.0,513.7400002032518
102893607.81000021,102893120.0,487.81000021100044
102889728.79000023,102889270.0,458.79000023007393
102887695.98000023,102887250.0,445.98000022768974
102886608.35000023,102886170.0,438.3500002324581
102881734.10000025,102881330.0,404.1000002473593
102884805.03000025,102884370.0,435.03000025451183
102883256.16000025,102882830.0,426.16000024974346
102880292.91000025,102879900.0,392.91000024974346
102879861.75000022,102879470.0,391.7500002235174
102878566.52000025,102878190.0,376.5200002491474
102876170.65000024,102875840.0,330.65000024437904
102880526.25000025,102880140.0,386.25000025331974
102875668.00000028,102875350.0,318.00000028312206
102877704.32000029,102877360.0,344.32000029087067
102875753.5100003,102875440.0,313.51000030338764
102876783.41000028,102876450.0,333.4100002795458
102880943.58000028,102880540.0,403.5800002813339
102888253.55000028,102887700.0,553.5500002801418
102884334.43000029,102883850.0,484.4300002902746
102887022.55000027,102886500.0,522.5500002652407
102888071.63000025,102887540.0,531.6300002485514
102894423.32000023,102893810.0,613.320000231266
102903770.63000023,102903030.0,740.6300002336502
102909560.26000024,102908740.0,820.260000243783
102903923.24000023,102903180.0,743.2400002330542
102905401.61000024,102904640.0,761.6100002378225
102911775.02000022,102910950.0,825.0200002193451
102911833.1000002,102911000.0,833.1000002026558
102919602.22000018,102918700.0,902.2200001776218
102917442.89000016,102916560.0,882.8900001645088
102913262.04000016,102912410.0,852.0400001555681
102909147.12000017,102908320.0,827.1200001686811
102913332.23000018,102912490.0,842.2300001829863
102913316.17000021,102912480.0,836.1700002104044
102919952.2900002,102919100.0,852.2900002002716
102924657.23000021,102923800.0,857.2300002127886
102927252.18000022,102926400.0,852.1800002157688
102922748.74000022,102921900.0,848.740000218153
102923817.73000023,102922980.0,837.7300002276897
102925269.93000022,102924440.0,829.9300002157688
102925687.69000024,102924850.0,837.6900002360344
102923183.56000024,102922340.0,843.5600002408028
102921248.14000022,102920400.0,848.1400002241135
102922484.95000023,102921640.0,844.9500002264977
102923367.40000024,102922530.0,837.400000244379
102920076.69000024,102919220.0,856.6900002360344
102920493.96000023,102919640.0,853.9600002318621
102922856.59000023,102922020.0,836.5900002270937
102921702.84000026,102920860.0,842.840000256896
102918552.14000025,102917690.0,862.1400002539158
102918475.69000027,102917620.0,855.6900002658367
102913845.22000027,102912990.0,855.2200002670288
102912948.62000027,102912090.0,858.6200002729893
102923403.50000027,102922550.0,853.5000002682209
102923345.94000024,102922500.0,845.9400002360344
102921718.78000025,102920860.0,858.7800002545118
102919443.46000025,102918600.0,843.4600002467632
102919472.62000024,102918630.0,842.620000243187
102916275.42000024,102915440.0,835.4200002402067
102915798.38000025,102914960.0,838.3800002485514
102920225.72000025,102919390.0,835.7200002521276
102919875.67000026,102919030.0,845.6700002551079
102917258.39000025,102916420.0,838.3900002539158
102915049.82000025,102914210.0,839.8200002461672
102907751.94000022,102906930.0,821.9400002211332
102908753.46000022,102907930.0,823.4600002169609
102903044.45000023,102902250.0,794.4500002264977
102908448.84000021,102907620.0,828.8400002121925
102907625.07000023,102906810.0,815.070000231266
102906859.93000023,102906050.0,809.93000023067
102902501.76000023,102901730.0,771.7600002288818
102901904.88000022,102901140.0,764.880000218749
102906701.90000023,102905890.0,811.9000002294779
102912700.91000022,102911840.0,860.9100002199411
