Approx net worth,Base case net worth,Difference
102906140.0,102906140.0,0.0
102905689.75,102905690.0,-0.25
102911842.17000003,102911830.0,12.170000031590462
102913237.42000008,102913220.0,17.420000076293945
102916915.20000008,102916890.0,25.200000077486038
102920027.51000008,102920000.0,27.510000079870224
102914517.09000008,102914490.0,27.090000078082085
102914697.15000008,102914670.0,27.15000008046627
102917932.5700001,102917900.0,32.57000009715557
102907122.33000012,102907100.0,22.33000011742115
102909335.63000016,102909310.0,25.6300001591444
102901165.35000013,102901150.0,15.350000128149986
102902999.93000014,102902980.0,19.930000141263008
102902410.00000015,102902390.0,20.000000149011612
102905981.68000016,102905960.0,21.68000015616417
102905180.30000016,102905160.0,20.30000016093254
102903950.72000013,102903930.0,20.720000132918358
102901746.80000015,102901730.0,16.80000014603138
102896885.82000016,102896880.0,5.820000156760216
102893063.51000015,102893070.0,-6.48999984562397
102884407.19000015,102884450.0,-42.809999853372574
102883834.62000017,102883880.0,-45.379999831318855
102889968.30000016,102889990.0,-21.69999983906746
102892246.89000015,102892260.0,-13.109999850392342
102892617.75000015,102892630.0,-12.249999850988388
102892476.49000016,102892490.0,-13.509999841451645
102890177.19000016,102890200.0,-22.809999838471413
102885513.07000017,102885560.0,-46.92999982833862
102885563.37000014,102885610.0,-46.62999986112118
102889484.45000015,102889510.0,-25.549999848008156
102885869.09000018,102885910.0,-40.90999981760979
102879971.15000015,102880030.0,-58.849999845027924
102887622.41000016,102887650.0,-27.589999839663506
102884864.16000018,102884900.0,-35.839999824762344
102881156.60000019,102881210.0,-53.39999981224537
102876474.22000016,102876550.0,-75.77999983727932
102874168.86000016,102874260.0,-91.13999983668327
102872058.66000016,102872160.0,-101.3399998396635
102874399.08000016,102874490.0,-90.91999983787537
102878572.74000017,102878650.0,-77.25999982655048
102875554.30000016,102875640.0,-85.69999983906746
102868667.58000016,102868780.0,-112.41999983787537
102859303.12000014,102859460.0,-156.87999986112118
102864342.93000011,102864470.0,-127.06999988853931
102865963.65000011,102866080.0,-116.34999988973141
102866210.77000013,102866320.0,-109.22999987006187
102867025.83000012,102867130.0,-104.16999988257885
102874839.02000013,102874920.0,-80.97999987006187
102877503.60000013,102877590.0,-86.39999987185001
102886064.7000001,102886130.0,-65.29999989271164
102889108.0000001,102889170.0,-61.99999989569187
102888252.87000012,102888320.0,-67.12999987602234
102890288.33000012,102890350.0,-61.66999988257885
102898873.4900001,102898930.0,-56.50999990105629
102898217.85000013,102898270.0,-52.149999871850014
102900415.65000014,102900470.0,-54.349999859929085
102896434.35000014,102896490.0,-55.64999985694885
102893304.26000012,102893360.0,-55.73999987542629
102896393.64000012,102896450.0,-56.359999880194664
102893616.66000012,102893670.0,-53.33999988436699
102899085.30000013,102899130.0,-44.69999986886978
102907295.13000011,102907340.0,-44.86999988555908
102905695.85000013,102905740.0,-44.149999871850014
102901025.34000011,102901070.0,-44.65999989211559
102903667.5000001,102903710.0,-42.49999989569187
102898986.23000012,102899040.0,-53.769999876618385
102899035.27000013,102899090.0,-54.729999870061874
102903323.65000013,102903370.0,-46.349999874830246
102905655.63000014,102905700.0,-44.36999985575676
102903702.32000016,102903750.0,-47.679999843239784
102903562.48000015,102903610.0,-47.51999984681606
102908531.32000014,102908570.0,-38.679999858140945
102901195.88000016,102901240.0,-44.1199998408556
102901087.25000013,102901130.0,-42.74999986588955
102892828.23000012,102892880.0,-51.769999876618385
102888613.94000012,102888670.0,-56.059999883174896
102891401.44000013,102891450.0,-48.559999868273735
102887525.99000013,102887580.0,-54.00999987125397
102884089.25000012,102884150.0,-60.74999988079071
102877014.20000017,102877100.0,-85.799999833107
102878170.74000016,102878250.0,-79.25999984145164
102882402.79000016,102882460.0,-57.20999984443188
102882059.89000016,102882120.0,-60.10999983549118
102887391.1400002,102887430.0,-38.85999980568886
102889687.64000018,102889720.0,-32.35999982059002
102888232.53000018,102888270.0,-37.46999981999397
102886655.95000015,102886700.0,-44.049999848008156
102885781.24000017,102885830.0,-48.759999826550484
102887550.76000017,102887590.0,-39.23999983072281
102891360.23000017,102891380.0,-19.7699998319149
102895998.95000018,102896000.0,-1.0499998182058334
102893110.31000017,102893120.0,-9.689999833703041
102889246.57000016,102889270.0,-23.429999843239784
102887216.47000015,102887250.0,-33.52999985218048
102886129.87000017,102886170.0,-40.129999831318855
102881266.69000016,102881330.0,-63.30999983847141
102884320.01000014,102884370.0,-49.98999986052513
102882775.23000012,102882830.0,-54.769999876618385
102879834.51000014,102879900.0,-65.48999986052513
102879401.74000011,102879470.0,-68.25999988615513
102878115.42000014,102878190.0,-74.57999986410141
102875754.09000015,102875840.0,-85.90999984741211
102880078.35000016,102880140.0,-61.64999984204769
102875264.16000015,102875350.0,-85.83999985456467
102877283.52000014,102877360.0,-76.47999985516071
102875356.10000017,102875440.0,-83.89999982714653
102876370.96000016,102876450.0,-79.03999984264374
102880486.75000016,102880540.0,-53.24999983608723
102887677.41000019,102887700.0,-22.589999809861183
102883813.16000019,102883850.0,-36.83999980986118
102886475.88000017,102886500.0,-24.119999825954437
102887522.48000015,102887540.0,-17.519999846816063
102893837.72000018,102893810.0,27.72000017762184
102903105.46000017,102903030.0,75.46000017225742
102908838.4600002,102908740.0,98.46000020205975
102903261.7600002,102903180.0,81.76000019907951
102904724.62000021,102904640.0,84.62000021338463
102911068.21000022,102910950.0,118.2100002169609
102911118.3900002,102911000.0,118.39000019431114
102918848.05000018,102918700.0,148.0500001758337
102916701.05000016,102916560.0,141.05000016093254
102912544.26000017,102912410.0,134.2600001692772
102908444.76000017,102908320.0,124.76000016927719
102912630.05000016,102912490.0,140.05000016093254
102912622.39000018,102912480.0,142.39000017940998
102919251.7900002,102919100.0,151.7900002002716
102923958.1500002,102923800.0,158.15000019967556
102926556.8100002,102926400.0,156.81000019609928
102922053.23000018,102921900.0,153.23000018298626
102923139.53000018,102922980.0,159.53000018000603
102924605.49000019,102924440.0,165.49000018835068
102925014.9800002,102924850.0,164.98000019788742
102922506.4600002,102922340.0,166.46000020205975
102920569.34000021,102920400.0,169.34000021219254
102921809.48000021,102921640.0,169.48000021278858
102922705.81000021,102922530.0,175.81000021100044
102919384.25000024,102919220.0,164.25000023841858
102919807.03000022,102919640.0,167.0300002247095
102922197.99000023,102922020.0,177.99000023305416
102921034.77000023,102920860.0,174.77000023424625
102917858.27000025,102917690.0,168.27000024914742
102917789.74000025,102917620.0,169.74000024795532
102913145.96000026,102912990.0,155.9600002616644
102912239.88000026,102912090.0,149.88000026345253
102922729.22000028,102922550.0,179.22000028192997
102922680.85000029,102922500.0,180.85000029206276
102921034.73000029,102920860.0,174.7300002872944
102918773.8100003,102918600.0,173.8100003004074
102918804.4700003,102918630.0,174.47000029683113
102915603.1200003,102915440.0,163.1200003027916
102915121.60000032,102914960.0,161.60000032186508
102919560.11000033,102919390.0,170.1100003272295
102919197.23000033,102919030.0,167.23000033199787
102916588.54000033,102916420.0,168.54000033438206
102914374.64000031,102914210.0,164.64000031352043
102907075.28000028,102906930.0,145.28000028431416
102908078.5800003,102907930.0,148.58000029623508
102902385.3600003,102902250.0,135.36000029742718
102907763.1000003,102907620.0,143.10000030696392
102906951.91000028,102906810.0,141.91000027954578
102906192.31000029,102906050.0,142.31000028550625
102901867.21000028,102901730.0,137.21000027656555
102901275.23000026,102901140.0,135.23000025749207
102906037.98000024,102905890.0,147.9800002425909
102911998.66000026,102911840.0,158.66000026464462
102914125.44000028,102913960.0,165.44000028073788
102915954.14000025,102915790.0,164.1400002539158
102916969.42000026,102916810.0,159.42000025510788
102922481.42000024,102922310.0,171.42000024020672
102926582.99000022,102926400.0,182.990000218153
102923678.7900002,102923500.0,178.7900002002716
102923569.7600002,102923390.0,179.7600001990795
102921433.28000022,102921260.0,173.2800002247095
102923358.10000019,102923180.0,178.10000018775463
102922326.46000019,102922150.0,176.46000018715858
102922107.02000019,102921930.0,177.02000018954277
102916031.54000019,102915870.0,161.54000018537045
102914907.6000002,102914750.0,157.6000002026558
102915954.3000002,102915790.0,164.30000020563602
102916774.04000022,102916610.0,164.04000021517277
102918498.8000002,102918330.0,168.80000020563602
102922681.3200002,102922510.0,171.3200002014637
102922557.4800002,102922380.0,177.48000019788742
102922556.50000021,102922380.0,176.50000020861626
102925803.80000022,102925620.0,183.80000022053719
102929457.28000021,102929260.0,197.28000020980835
102931894.40000021,102931700.0,194.40000021457672
102933264.6900002,102933070.0,194.69000020623207
102931563.89000021,102931370.0,193.8900002092123
102931413.88000022,102931220.0,193.88000021874905
102932078.24000022,102931880.0,198.240000218153
102932439.4400002,102932240.0,199.44000020623207
102928851.98000018,102928650.0,201.98000018298626
102934770.67000018,102934560.0,210.67000018060207
102931669.77000019,102931460.0,209.77000018954277
102930739.3600002,102930530.0,209.36000019311905
102933518.02000016,102933300.0,218.02000015974045
102938553.04000017,102938320.0,233.04000017046928
102940456.08000018,102940220.0,236.0800001770258
102942798.54000016,102942560.0,238.54000015556812
102937582.66000016,102937340.0,242.6600001603365
102937351.81000017,102937110.0,241.81000016629696
102935944.67000017,102935710.0,234.6700001657009
102935793.98000014,102935560.0,233.98000013828278
102927042.18000014,102926820.0,222.180000141263
102930990.30000013,102930760.0,230.30000013113022
102925049.42000014,102924820.0,229.4200001358986
102921913.27000013,102921690.0,223.27000012993813
102921730.05000015,102921510.0,220.05000014603138
102921916.16000016,102921700.0,216.1600001603365
102921688.78000015,102921470.0,218.7800001502037
102918829.30000016,102918610.0,219.30000016093254
102922328.14000016,102922100.0,228.14000016450882
102925484.33000015,102925250.0,234.33000014722347
102924703.71000014,102924470.0,233.7100001424551
102926453.88000014,102926220.0,233.88000014424324
102927018.20000014,102926780.0,238.20000013709068
102923987.41000015,102923750.0,237.41000014543533
102932072.39000016,102931830.0,242.39000016450882
102930321.82000016,102930080.0,241.82000015676022
102936258.64000016,102936020.0,238.64000016450882
102941528.00000016,102941300.0,228.00000016391277
102940171.16000015,102939940.0,231.16000014543533
102941230.12000014,102941000.0,230.12000013887882
102938852.34000014,102938620.0,232.34000013768673
102942451.24000013,102942220.0,231.24000012874603
102940971.98000014,102940740.0,231.98000013828278
102938606.13000014,102938370.0,236.13000014424324
102936449.07000014,102936210.0,239.07000014185905
102937320.76000012,102937080.0,240.7600001245737
102937013.08000013,102936770.0,243.0800001323223
102942347.9300001,102942100.0,247.93000009655952
102943407.2700001,102943160.0,247.2700001001358
