Approx net worth,Base case net worth,Difference
102977950.0,102977950.0,0.0
102972804.86,102972810.0,-5.1400000005960464
102978776.75000001,102978770.0,6.750000014901161
102980802.84000002,102980790.0,12.84000001847744
102977951.53000002,102977950.0,1.530000016093254
102974545.87,102974560.0,-14.129999995231628
102973411.63000001,102973430.0,-18.36999998986721
102970660.18000002,102970690.0,-29.81999997794628
102966091.40000005,102966150.0,-58.59999994933605
102965638.31000005,102965700.0,-61.68999995291233
102964960.60000007,102965030.0,-69.39999993145466
102964226.22000006,102964300.0,-73.77999994158745
102969724.82000005,102969740.0,-15.179999947547913
102968417.60000007,102968450.0,-32.39999993145466
102974121.0400001,102974080.0,41.04000009596348
102975995.42000012,102975930.0,65.42000012099743
102976102.39000012,102976040.0,62.390000119805336
102972127.26000012,102972110.0,17.260000124573708
102970663.57000013,102970660.0,3.5700001269578934
102967616.56000012,102967640.0,-23.439999878406525
102974614.13000011,102974580.0,34.13000011444092
102972952.09000012,102972930.0,22.09000012278557
102971325.33000013,102971320.0,5.330000132322311
102974641.28000012,102974610.0,31.280000120401382
102978876.50000013,102978800.0,76.50000013411045
102978125.7000001,102978060.0,65.70000010728836
102973482.70000009,102973460.0,22.7000000923872
102973389.8300001,102973370.0,19.83000010251999
102972657.57000011,102972640.0,17.570000112056732
102971036.6000001,102971030.0,6.600000098347664
102972815.2000001,102972810.0,5.200000107288361
102965883.0600001,102965930.0,-46.939999893307686
102960553.2000001,102960640.0,-86.79999989271164
102964296.09000011,102964350.0,-53.90999989211559
102965538.11000012,102965590.0,-51.88999988138676
102964701.58000012,102964760.0,-58.41999988257885
102964761.08000013,102964810.0,-48.91999986767769
102969249.42000014,102969250.0,-0.5799998641014099
102965222.94000016,102965270.0,-47.05999983847141
102968883.05000016,102968890.0,-6.949999839067459
102970196.24000014,102970180.0,16.240000143647194
102975212.68000014,102975150.0,62.68000014126301
102974606.59000012,102974570.0,36.59000012278557
102977669.81000015,102977600.0,69.8100001513958
102978032.48000014,102977950.0,82.48000013828278
102980729.46000016,102980620.0,109.46000015735626
102979582.98000015,102979480.0,102.98000015318394
102975021.80000015,102974930.0,91.80000014603138
102976544.39000016,102976460.0,84.39000016450882
102977982.66000018,102977890.0,92.66000017523766
102977728.10000016,102977630.0,98.10000015795231
102976461.99000014,102976380.0,81.9900001436472
102976943.54000014,102976860.0,83.54000014066696
102977835.18000014,102977760.0,75.18000014126301
102979630.08000013,102979550.0,80.08000013232231
102979265.32000013,102979190.0,75.3200001269579
102981722.02000013,102981650.0,72.02000012993813
102980542.72000013,102980470.0,72.72000013291836
102990491.52000013,102990400.0,91.52000012993813
102991053.87000014,102990950.0,103.87000013887882
102989464.11000015,102989350.0,114.11000014841557
102989402.87000014,102989270.0,132.87000013887882
102986727.01000017,102986600.0,127.01000016927719
102984848.87000014,102984720.0,128.87000013887882
102980707.89000015,102980560.0,147.89000014960766
102982375.73000017,102982220.0,155.7300001680851
102980726.85000016,102980570.0,156.8500001579523
102979997.24000019,102979840.0,157.24000018835068
102977225.2100002,102977050.0,175.21000020205975
102975101.4600002,102974930.0,171.46000020205975
102975494.97000022,102975320.0,174.97000022232533
102973604.95000024,102973430.0,174.9500002413988
102976569.30000024,102976400.0,169.30000023543835
102979579.17000026,102979400.0,179.17000025510788
102968272.17000026,102968130.0,142.17000025510788
102969919.54000023,102969770.0,149.54000023007393
102967242.7700002,102967090.0,152.77000020444393
102961293.40000018,102961190.0,103.4000001847744
102963438.6100002,102963320.0,118.61000019311905
102964878.4300002,102964740.0,138.43000020086765
102962606.71000022,102962490.0,116.7100002169609
102966245.94000019,102966100.0,145.9400001913309
102966803.11000021,102966640.0,163.1100002080202
102967870.9100002,102967700.0,170.91000020503998
102965411.55000019,102965270.0,141.55000019073486
102969781.2900002,102969590.0,191.2900002002716
102968533.9700002,102968370.0,163.97000020742416
102968225.66000022,102968060.0,165.66000021994114
102964781.9100002,102964650.0,131.91000020503998
102968505.35000023,102968340.0,165.35000023245811
102964644.58000022,102964510.0,134.58000022172928
102964256.12000023,102964120.0,136.1200002282858
102964534.21000022,102964390.0,144.2100002169609
102967365.95000023,102967200.0,165.95000022649765
102967886.33000019,102967700.0,186.33000019192696
102966384.3400002,102966200.0,184.34000019729137
102965864.2800002,102965690.0,174.2800001949072
102964240.1700002,102964080.0,160.17000019550323
102962190.06000018,102962060.0,130.06000018119812
102960978.45000017,102960850.0,128.450000166893
102959011.91000018,102958910.0,101.91000017523766
102958752.70000017,102958660.0,92.700000166893
102958981.60000017,102958880.0,101.60000017285347
102962215.74000017,102962070.0,145.74000017344952
102965165.73000018,102964980.0,185.73000018298626
102963202.2500002,102963040.0,162.2500001937151
102966535.0400002,102966320.0,215.0400002002716
102966708.76000023,102966480.0,228.76000022888184
102969600.08000022,102969330.0,270.0800002217293
102969732.86000022,102969470.0,262.86000022292137
102972998.73000021,102972700.0,298.7300002127886
102971200.4100002,102970920.0,280.41000020504
102971957.22000019,102971650.0,307.220000192523
102973781.95000018,102973470.0,311.95000018179417
102972205.98000023,102971910.0,295.98000022768974
102972118.05000024,102971820.0,298.05000023543835
102972223.1200002,102971920.0,303.12000019848347
102969403.2600002,102969120.0,283.2600001990795
102968361.17000021,102968080.0,281.1700002104044
102969032.03000018,102968760.0,272.030000180006
102967749.37000018,102967480.0,269.3700001835823
102968363.26000018,102968100.0,263.26000018417835
102972274.81000018,102971960.0,314.8100001811981
102970274.4300002,102969980.0,294.43000020086765
