Approx net worth,Base case net worth,Difference
102977950.0,102977950.0,0.0
102972814.84000002,102972810.0,4.84000001847744
102978774.86,102978770.0,4.8599999994039536
102980792.75999999,102980790.0,2.759999990463257
102977953.95999998,102977950.0,3.959999978542328
102974567.12999998,102974560.0,7.129999980330467
102973437.92999999,102973430.0,7.929999992251396
102970694.85,102970690.0,4.8499999940395355
102966155.27000001,102966150.0,5.270000010728836
102965704.98,102965700.0,4.980000004172325
102965033.66000003,102965030.0,3.6600000262260437
102964302.77000003,102964300.0,2.7700000256299973
102969744.35000004,102969740.0,4.350000038743019
102968458.12000003,102968450.0,8.120000034570694
102974091.68000002,102974080.0,11.680000022053719
102975943.91000001,102975930.0,13.910000011324883
102976056.19000001,102976040.0,16.190000012516975
102972135.18,102972110.0,25.180000007152557
102970685.32,102970660.0,25.319999992847443
102967666.58000001,102967640.0,26.580000013113022
102974609.86000001,102974580.0,29.860000014305115
102972958.41000003,102972930.0,28.410000026226044
102971353.95000003,102971320.0,33.950000032782555
102974644.48000002,102974610.0,34.480000019073486
102978826.50000003,102978800.0,26.500000029802322
102978087.52000004,102978060.0,27.52000004053116
102973501.28000005,102973460.0,41.28000004589558
102973411.27000006,102973370.0,41.27000005543232
102972681.99000007,102972640.0,41.99000006914139
102971074.82000005,102971030.0,44.82000005245209
102972854.82000002,102972810.0,44.820000022649765
102966001.32000004,102965930.0,71.32000003755093
102960725.46000004,102960640.0,85.46000003814697
102964428.93000005,102964350.0,78.93000005185604
102965669.61000006,102965590.0,79.6100000590086
102964839.58000007,102964760.0,79.58000007271767
102964886.40000008,102964810.0,76.40000008046627
102969311.22000009,102969250.0,61.220000088214874
102965348.34000012,102965270.0,78.34000012278557
102968958.44000012,102968890.0,68.4400001168251
102970244.26000011,102970180.0,64.26000010967255
102975196.6100001,102975150.0,46.61000010371208
102974621.0700001,102974570.0,51.07000009715557
102977629.04000008,102977600.0,29.040000081062317
102977976.0000001,102977950.0,26.00000010430813
102980631.07000008,102980620.0,11.07000008225441
102979498.73000008,102979480.0,18.73000007867813
102974966.84000008,102974930.0,36.840000078082085
102976493.94000006,102976460.0,33.94000005722046
102977919.55000007,102977890.0,29.550000071525574
102977659.97000006,102977630.0,29.970000058412552
102976417.30000007,102976380.0,37.300000071525574
102976891.58000004,102976860.0,31.580000042915344
102977790.72000003,102977760.0,30.72000002861023
102979573.44000006,102979550.0,23.44000005722046
102979214.86000007,102979190.0,24.86000007390976
102981663.74000008,102981650.0,13.74000008404255
102980493.52000009,102980470.0,23.520000085234642
102990372.80000009,102990400.0,-27.199999913573265
102990920.07000008,102990950.0,-29.92999991774559
102989330.71000007,102989350.0,-19.289999932050705
102989247.97000007,102989270.0,-22.029999926686287
102986590.85000007,102986600.0,-9.149999931454659
102984721.55000009,102984720.0,1.550000086426735
102980578.01000006,102980560.0,18.010000064969063
102982235.35000008,102982220.0,15.350000083446503
102980591.13000007,102980570.0,21.130000069737434
102979864.1800001,102979840.0,24.180000096559525
102977079.0600001,102977050.0,29.060000106692314
102974966.30000012,102974930.0,36.30000011622906
102975357.18000013,102975320.0,37.18000012636185
102973468.9300001,102973430.0,38.930000096559525
102976435.69000012,102976400.0,35.690000116825104
102979427.23000011,102979400.0,27.230000108480453
102968194.6900001,102968130.0,64.69000010192394
102969831.6300001,102969770.0,61.63000009953976
102967154.2700001,102967090.0,64.2700001001358
102961268.43000008,102961190.0,78.43000008165836
102963396.85000008,102963320.0,76.8500000834465
102964812.5500001,102964740.0,72.5500001013279
102962572.31000009,102962490.0,82.31000009179115
102966174.20000009,102966100.0,74.2000000923872
102966712.20000009,102966640.0,72.2000000923872
102967772.40000008,102967700.0,72.40000008046627
102965343.04000005,102965270.0,73.04000005126
102969665.58000004,102969590.0,75.58000004291534
102968444.38000003,102968370.0,74.38000002503395
102968135.11000003,102968060.0,75.11000002920628
102964726.95000003,102964650.0,76.95000003278255
102968419.90000004,102968340.0,79.90000003576279
102964590.24000005,102964510.0,80.24000005424023
102964200.41000004,102964120.0,80.4100000411272
102964471.19000003,102964390.0,81.19000002741814
102967283.00000003,102967200.0,83.00000002980232
102967784.22000003,102967700.0,84.22000002861023
102966285.66000003,102966200.0,85.66000002622604
102965774.64,102965690.0,84.64000000059605
102964163.65,102964080.0,83.65000000596046
102962140.07000001,102962060.0,80.0700000077486
102960928.17999999,102960850.0,78.1799999922514
102958985.05999999,102958910.0,75.05999998748302
102958734.35,102958660.0,74.34999999403954
102958954.44999999,102958880.0,74.44999998807907
102962153.85999998,102962070.0,83.85999998450279
102965067.88,102964980.0,87.87999999523163
102963128.09999998,102963040.0,88.09999997913837
102966414.07999998,102966320.0,94.0799999833107
102966574.27999999,102966480.0,94.27999998629093
102969423.69999999,102969330.0,93.69999998807907
102969565.13999999,102969470.0,95.13999998569489
102972790.63999997,102972700.0,90.63999997079372
102971014.69999997,102970920.0,94.69999997317791
102971741.59999996,102971650.0,91.59999996423721
102973560.41999994,102973470.0,90.4199999421835
102972005.01999994,102971910.0,95.01999993622303
102971914.10999994,102971820.0,94.10999993979931
102972014.60999991,102971920.0,94.60999990999699
102969222.6699999,102969120.0,102.66999989748001
102968184.76999989,102968080.0,104.76999989151955
102968864.50999989,102968760.0,104.50999988615513
102967587.6699999,102967480.0,107.66999989748001
102968206.3099999,102968100.0,106.30999989807606
102972057.6299999,102971960.0,97.62999990582466
102970083.54999991,102969980.0,103.5499999076128
102969484.18999992,102969380.0,104.18999992311001
102971372.45999993,102971270.0,102.45999993383884
102971172.21999995,102971070.0,102.21999995410442
102966644.69999996,102966530.0,114.69999995827675
102966187.63999993,102966070.0,117.63999992609024
102966008.49999993,102965890.0,118.4999999254942
102967595.8199999,102967480.0,115.81999990344048
102964774.76999989,102964650.0,124.76999989151955
102964934.06999989,102964810.0,124.06999988853931
102967341.19999988,102967220.0,121.19999988377094
102966862.5799999,102966740.0,122.57999989390373
102967192.52999988,102967070.0,122.5299998819828
102966353.76999988,102966230.0,123.76999987661839
102965395.14999986,102965270.0,125.14999985694885
102963386.78999987,102963260.0,126.78999987244606
102964467.42999987,102964340.0,127.4299998730421
102963137.8099999,102963010.0,127.80999989807606
102964586.55999988,102964460.0,126.5599998831749
102966424.3199999,102966300.0,124.31999990344048
102967103.09999989,102966980.0,123.09999988973141
102967402.47999987,102967280.0,122.47999987006187
102967093.10999988,102966970.0,123.10999988019466
102963646.58999987,102963520.0,126.58999986946583
