AAPL percent,boston humidity,WEN price,microsoft trend,MSFT price,SHAK price,MSFT volume,TSLA percent,AMZN price,apple trend,MCD price,AMZN percent,MCD volume,AAPL volume,SHAK volume,new york city humidity,WEN percent,NFLX percent,MCD percent,FB price,AAPL price,boston temperature,TSLA price,NFLX price,TSLA volume,AMZN volume,amazon trend,FB volume,los angeles temperature,FB percent,SHAK percent,new york city temperature,los angeles humidity,MSFT percent,facebook trend,WEN volume,minutes,NFLX volume
0.0165,52.0,17.08,5.0,105.88,47.88,2722863.0,0.0049,1644.29,16.0,182.75,0.0093,176240.0,7607185.0,65298.0,65.0,0.0018,0.0152,0.0012,141.95,165.71,33.0,359.73,269.18,785119.0,596688.0,48.0,2877303.0,60.0,0.033,0.001,31.0,54.0,0.0101,55.0,144935.0,606,946381.0
0.0166,52.0,17.05,5.0,105.89,47.89,2765711.0,0.0041,1638.45,16.0,182.66,0.0057,179356.0,7687463.0,66698.0,65.0,0.0035,0.0143,0.0016,141.9,165.69,33.0,359.44,268.92,792949.0,605945.0,48.0,2920787.0,60.0,0.033,0.0008,31.0,54.0,0.0102,55.0,147535.0,607,959058.0
0.0162,52.0,17.05,5.0,105.73,47.89,2797111.0,0.0047,1637.4,16.0,182.39,0.0051,179940.0,7761668.0,66698.0,65.0,0.0038,0.0086,0.0031,141.73,165.73,33.0,359.66,267.41,794629.0,609319.0,50.0,2950231.0,60.0,0.0314,0.0008,31.0,54.0,0.0087,54.0,147735.0,608,980932.0
0.0182,52.0,17.04,5.0,105.74,47.73,2825636.0,0.0004,1633.7,16.0,182.29,0.0028,180340.0,7819752.0,67098.0,65.0,0.0044,0.0073,0.0037,141.63,165.42,33.0,358.13,267.08,807053.0,614535.0,50.0,2971796.0,60.0,0.0306,0.0042,31.0,54.0,0.0088,54.0,148435.0,609,991499.0
0.0191,52.0,17.05,5.0,105.81,47.77,2874499.0,0.0,1633.26,16.0,182.23,0.0025,184340.0,7883875.0,67298.0,65.0,0.0035,0.0066,0.004,141.65,165.28,33.0,357.96,266.99,832360.0,620179.0,48.0,3004780.0,60.0,0.0307,0.0033,31.0,54.0,0.0093,55.0,151793.0,610,1011258.0
0.0192,52.0,17.07,5.0,105.84,47.73,2906046.0,0.0002,1636.3,16.0,182.21,0.0044,184740.0,7949265.0,68498.0,65.0,0.0023,0.0072,0.0041,141.77,165.26,33.0,358.05,267.05,837062.0,623396.0,48.0,3032465.0,60.0,0.0316,0.0042,31.0,54.0,0.0097,55.0,153193.0,611,1026489.0
0.0204,52.0,16.98,5.0,105.74,47.72,2926251.0,0.0,1632.13,16.0,181.97,0.0018,187140.0,8045421.0,68898.0,65.0,0.0076,0.0057,0.0054,141.57,165.05,33.0,357.96,266.66,847780.0,626216.0,48.0,3052890.0,60.0,0.0302,0.0044,31.0,54.0,0.0088,55.0,162452.0,612,1032356.0
0.0177,52.0,17.01,5.0,105.95,47.59,2958290.0,0.0001,1642.02,16.0,182.11,0.0079,191130.0,8117368.0,69098.0,65.0,0.0058,0.0114,0.0046,142.0,165.5,33.0,358.0,268.15,875897.0,634734.0,50.0,3090711.0,60.0,0.0333,0.0071,31.0,54.0,0.0108,54.0,165485.0,613,1044735.0
0.0158,52.0,17.05,5.0,106.14,47.78,2995394.0,0.0041,1648.6,16.0,182.23,0.012,197916.0,8225737.0,69898.0,65.0,0.0035,0.015,0.004,142.16,165.82,33.0,359.43,269.11,891833.0,642369.0,50.0,3186410.0,60.0,0.0345,0.0031,31.0,54.0,0.0125,54.0,168357.0,614,1062594.0
0.0176,52.0,17.05,4.0,105.97,47.69,3025179.0,0.0029,1641.24,16.0,182.06,0.0074,201416.0,8300913.0,70098.0,65.0,0.0035,0.0113,0.0049,141.85,165.53,33.0,359.02,268.13,904982.0,652552.0,48.0,3267521.0,60.0,0.0322,0.005,31.0,54.0,0.011,54.0,172657.0,615,1074557.0
