Random net worth,Base case net worth,Difference
102934450.00000001,102934450.0,1.4901161193847656e-08
102927889.92000002,102927890.0,-0.07999998331069946
102924988.73000002,102924990.0,-1.2699999809265137
102918759.73,102918760.0,-0.26999999582767487
102918000.23,102918000.0,0.23000000417232513
102921273.86000003,102921280.0,-6.139999970793724
102915785.05000001,102915780.0,5.050000011920929
102928295.09,102928330.0,-34.90999999642372
102938251.83999999,102938320.0,-68.16000001132488
102928507.6,102928540.0,-32.400000005960464
102934138.50999998,102934190.0,-51.490000024437904
102933277.72,102933330.0,-52.28000000119209
102933089.52999999,102933140.0,-50.47000001370907
102934990.36999999,102935050.0,-59.63000001013279
102939234.49999999,102939310.0,-75.50000001490116
102937724.34999998,102937790.0,-65.65000002086163
102937112.08999997,102937180.0,-67.91000002622604
102940918.09999998,102941010.0,-91.90000002086163
102935392.13999999,102935460.0,-67.86000001430511
102932831.64,102932880.0,-48.35999999940395
102929422.47,102929450.0,-27.530000001192093
102924746.47999999,102924740.0,6.479999989271164
102918447.64999999,102918400.0,47.6499999910593
102918062.96,102918010.0,52.95999999344349
102921033.39,102921000.0,33.39000000059605
102925498.96000002,102925500.0,-1.0399999767541885
102919086.19000001,102919040.0,46.190000012516975
102917453.19000001,102917400.0,53.190000012516975
102916465.59,102916410.0,55.59000000357628
102921085.73000002,102921070.0,15.730000019073486
102922116.13000003,102922110.0,6.130000025033951
102923037.96,102923040.0,-2.040000006556511
102921185.59,102921180.0,5.590000003576279
102915252.73,102915200.0,52.730000004172325
102906294.61000001,102906170.0,124.61000001430511
102904306.17000003,102904170.0,136.17000003159046
102909894.33000003,102909800.0,94.33000002801418
102910137.17000003,102910050.0,87.17000003159046
102906261.90000002,102906140.0,121.90000002086163
102905812.90000004,102905690.0,122.90000003576279
102911915.24000005,102911830.0,85.24000005424023
102913288.61000006,102913220.0,68.6100000590086
102916937.82000007,102916890.0,47.82000006735325
102920025.66000007,102920000.0,25.660000070929527
102914552.22000007,102914490.0,62.22000007331371
102914726.97000007,102914670.0,56.97000007331371
102917936.45000009,102917900.0,36.4500000923872
102907219.9700001,102907100.0,119.97000010311604
