AAPL percent,boston humidity,WEN price,microsoft trend,MSFT price,SHAK price,MSFT volume,TSLA percent,AMZN price,apple trend,MCD price,AMZN percent,MCD volume,AAPL volume,SHAK volume,new york city humidity,WEN percent,NFLX percent,MCD percent,FB price,AAPL price,boston temperature,TSLA price,NFLX price,TSLA volume,AMZN volume,amazon trend,FB volume,los angeles temperature,FB percent,SHAK percent,new york city temperature,los angeles humidity,MSFT percent,facebook trend,WEN volume,minutes,NFLX volume
0.0123,57.0,17.03,5.0,109.95,45.8,2314485.0,0.0092,1677.28,15.0,185.52,0.0083,124812.0,2111431.0,21754.0,69.0,0.0003,0.0007,0.0111,144.62,171.17,24.0,369.99,275.06,754766.0,322688.0,45.0,1634904.0,54.0,0.0008,0.0024,34.0,71.0,0.008,46.0,90666.0,602,765750.0
0.0137,57.0,17.04,5.0,109.98,45.9,2422384.0,0.0086,1678.42,15.0,185.83,0.0089,129212.0,2206773.0,23154.0,69.0,0.0006,0.0036,0.0128,144.75,171.41,24.0,369.77,275.86,766036.0,327541.0,45.0,1659208.0,54.0,0.0017,0.0002,34.0,71.0,0.0083,46.0,93380.0,603,780026.0
0.0154,57.0,17.07,4.0,110.17,45.9,2447169.0,0.0109,1678.65,14.0,186.2,0.0091,137522.0,2310952.0,23154.0,69.0,0.0023,0.0033,0.0148,144.92,171.7,24.0,370.6,275.8,780421.0,332379.0,45.0,1677399.0,54.0,0.0029,0.0002,34.0,71.0,0.0099,49.0,94080.0,604,784289.0
0.0147,57.0,17.07,4.0,110.09,45.9,2491800.0,0.0105,1677.89,14.0,186.24,0.0086,140708.0,2400044.0,23154.0,69.0,0.0023,0.0016,0.015,145.03,171.58,24.0,370.44,275.32,788696.0,338539.0,45.0,1707638.0,54.0,0.0037,0.0002,34.0,71.0,0.0093,49.0,95880.0,605,791739.0
0.015,57.0,17.1,4.0,110.27,45.9,2535134.0,0.012,1679.46,14.0,186.37,0.0096,141922.0,2471201.0,23154.0,69.0,0.0041,0.0031,0.0157,145.03,171.63,24.0,371.01,275.72,803746.0,343099.0,45.0,1731119.0,54.0,0.0037,0.0002,34.0,71.0,0.0109,49.0,97480.0,606,800998.0
0.015,57.0,17.11,5.0,110.34,46.29,2571715.0,0.0124,1678.42,16.0,186.28,0.0089,148286.0,2520026.0,23354.0,69.0,0.0047,0.0057,0.0153,145.0,171.63,24.0,370.95,276.45,819403.0,347270.0,49.0,1744906.0,54.0,0.0035,0.0083,34.0,71.0,0.0114,51.0,98880.0,607,820060.0
0.0154,57.0,17.06,5.0,110.34,46.07,2601043.0,0.0136,1677.46,16.0,186.33,0.0084,174944.0,2596338.0,24954.0,69.0,0.0018,0.0044,0.0155,145.04,171.7,24.0,371.58,276.1,835923.0,352405.0,49.0,1756712.0,54.0,0.0037,0.0034,34.0,71.0,0.0115,51.0,99780.0,608,833546.0
0.0148,57.0,17.06,5.0,110.3,46.01,2649823.0,0.0127,1677.65,16.0,186.33,0.0085,180144.0,2672709.0,25554.0,69.0,0.0018,0.0041,0.0155,145.08,171.61,24.0,371.25,276.02,848632.0,354940.0,49.0,1765812.0,54.0,0.004,0.0022,34.0,71.0,0.0111,51.0,100180.0,609,842395.0
0.0155,57.0,17.06,5.0,110.38,45.9,2684389.0,0.0118,1676.89,16.0,186.35,0.008,182544.0,2733582.0,25754.0,69.0,0.0018,0.0042,0.0156,145.24,171.73,24.0,370.92,276.05,859175.0,358154.0,46.0,1782322.0,54.0,0.0051,0.0003,34.0,71.0,0.0119,51.0,100180.0,610,853796.0
0.0166,57.0,17.07,5.0,110.46,45.83,2714305.0,0.012,1676.28,16.0,186.44,0.0077,187226.0,2863529.0,26354.0,69.0,0.0021,0.0058,0.0161,145.29,171.91,24.0,371.0,276.47,864573.0,360618.0,46.0,1806912.0,54.0,0.0055,0.0017,34.0,71.0,0.0125,51.0,101580.0,611,862261.0
0.0177,57.0,17.09,5.0,110.68,45.93,2779037.0,0.0147,1682.39,16.0,186.58,0.0113,193838.0,3017434.0,29954.0,69.0,0.0035,0.0144,0.0169,145.43,172.1,24.0,372.0,278.84,890190.0,372589.0,46.0,1840149.0,54.0,0.0064,0.0004,34.0,71.0,0.0147,51.0,104410.0,612,907506.0
0.0193,57.0,17.08,4.0,110.78,46.03,2824488.0,0.0155,1681.69,16.0,186.63,0.0109,213190.0,3111398.0,30354.0,69.0,0.0029,0.0134,0.0172,145.44,172.37,24.0,372.3,278.57,912817.0,382687.0,48.0,1872303.0,54.0,0.0065,0.0026,34.0,71.0,0.0156,51.0,106010.0,613,929094.0
0.0187,57.0,17.07,4.0,110.72,46.03,2887172.0,0.0169,1682.05,16.0,186.57,0.0111,225268.0,3203812.0,30354.0,69.0,0.0023,0.0131,0.0168,145.48,172.27,24.0,372.79,278.48,972821.0,387203.0,48.0,1894605.0,54.0,0.0068,0.0026,34.0,71.0,0.015,51.0,107340.0,614,937111.0
0.0187,57.0,17.04,4.0,110.73,46.03,2922065.0,0.0178,1680.61,16.0,186.59,0.0103,228672.0,3242680.0,30354.0,69.0,0.0006,0.0119,0.017,145.56,172.27,24.0,373.14,278.14,989976.0,389703.0,48.0,1914429.0,54.0,0.0073,0.0026,34.0,71.0,0.0151,51.0,108084.0,615,948521.0
0.0183,57.0,17.02,4.0,110.62,45.84,2952962.0,0.0194,1680.23,16.0,186.51,0.01,236960.0,3266984.0,31354.0,69.0,0.0006,0.0112,0.0165,145.5,172.2,24.0,373.7,277.96,1009588.0,393164.0,46.0,1936924.0,54.0,0.0069,0.0015,34.0,71.0,0.0141,50.0,109884.0,616,959192.0
0.0189,57.0,17.01,4.0,110.64,45.84,2994826.0,0.0153,1680.66,16.0,186.64,0.0103,239700.0,3328176.0,32554.0,69.0,0.0012,0.0106,0.0172,145.36,172.3,24.0,372.21,277.8,1023514.0,396684.0,46.0,1952172.0,54.0,0.006,0.0015,34.0,71.0,0.0143,50.0,110284.0,617,961442.0
0.0186,57.0,17.02,4.0,110.59,45.82,3037312.0,0.0153,1679.2,16.0,186.73,0.0094,240300.0,3363433.0,32754.0,69.0,0.0009,0.0103,0.0177,145.29,172.25,24.0,372.22,277.72,1036089.0,403096.0,46.0,1977618.0,54.0,0.0054,0.002,34.0,71.0,0.0138,50.0,113884.0,618,970292.0
0.0182,57.0,17.01,5.0,110.43,45.84,3108746.0,0.0158,1675.82,16.0,186.62,0.0074,250836.0,3511172.0,33754.0,69.0,0.0012,0.0076,0.0171,145.18,172.17,24.0,372.39,276.98,1061890.0,410324.0,46.0,2009036.0,54.0,0.0047,0.0016,34.0,71.0,0.0124,50.0,115784.0,621,995777.0
0.02,57.0,17.02,5.0,110.42,45.84,3123751.0,0.016,1676.96,16.0,186.49,0.0081,255826.0,3575469.0,33754.0,69.0,0.0006,0.0082,0.0164,145.26,172.48,24.0,372.45,277.13,1071779.0,412137.0,46.0,2016183.0,54.0,0.0052,0.0016,34.0,71.0,0.0122,50.0,117300.0,622,1005068.0
0.0192,57.0,17.01,5.0,110.19,45.84,3154026.0,0.0158,1675.0,16.0,186.5,0.0069,258310.0,3645495.0,33754.0,69.0,0.0012,0.0083,0.0165,145.23,172.34,24.0,372.39,277.16,1073724.0,415527.0,46.0,2022867.0,54.0,0.0051,0.0016,34.0,71.0,0.0101,50.0,118000.0,623,1014131.0
0.018,57.0,17.02,6.0,110.09,45.85,3186453.0,0.0182,1674.42,16.0,186.1,0.0065,270924.0,3699596.0,34454.0,69.0,0.0006,0.0085,0.0143,145.31,172.14,24.0,373.25,277.22,1087069.0,423842.0,45.0,2038897.0,54.0,0.0056,0.0013,34.0,71.0,0.0093,50.0,119700.0,625,1026485.0
